Data;Country;Tot. N.;Age;Deaths;Note;Link report
05/04/22;Scotland;10;11 months to 5 years old;;;https://www.who.int/emergencies/disease-outbreak-news/item/acute-hepatitis-of-unknown-aetiology---the-united-kingdom-of-great-britain-and-northern-ireland
08/04/22;United Kingdom;74;10 years old;;Six children have undergone liver transplantation;https://www.who.int/emergencies/disease-outbreak-news/item/acute-hepatitis-of-unknown-aetiology---the-united-kingdom-of-great-britain-and-northern-ireland
21/04/22;United Kingdom;114;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Spain;13;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Israel;12;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;USA;9;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Denmark;6;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Ireland;<5;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Netherlands;4;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Italy;4;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Norway ;2;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;France;2;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Romania;1;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Belgium;1;;;;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
21/04/22;Total;169;1 month to 16 years old;1;Seventeen children (approximately 10%) have required liver transplantation;https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376
