Data;Decessi per settimana
10 - 16 mar;0
17 - 23 mar;0
24 - 30 mar;6
31 mar - 6 apr;15
7 - 13 apr;2
14 - 20 apr;3
21 - 27 apr;4
28 apr - 4 mag;2
5 - 11 mag;1
12 - 18 mag;0
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;0
15 - 21 set;0
22 - 28 set;0
29 set - 5 ott;0
6 - 12 ott;1
13 - 19 ott;0
20 - 26 ott;2
27 ott - 2 nov;0
3 - 9 nov;6
10 - 16 nov;4
17 - 23 nov;9
24 - 30 nov;8
1 - 7 dic;15
8 - 14 dic;2
15 - 21 dic;-1
22 - 28 dic;0
29 dic - 4 gen;1
5 -11 gen;1
12 - 18 gen;2
19 - 25 gen;4
26 gen - 1 feb;0
2 - 8 feb;4
9 - 15 feb;3
16 - 22 feb;2
23 feb - 1 mar;2
2 - 8 mar;1
9 - 15 mar;5
16 - 22 mar;2
23 - 29 mar;2
30 mar - 5 apr;-2
6 - 12 apr;2
13 - 19 apr;3
20 - 26 apr;4
27 apr - 3 mag;6
4 - 10 mag;8
11 - 17 mag;3
18 - 24 mag;2
25 - 31 mag;4
1 - 7 giu;1
8 - 14 giu;1
15 - 21 giu;2
22 - 28 giu;1
29 giu - 5 lug;1
6 - 12 lug;0
