Settimana del;Positivi;Sintomatici
2020-02-10;NA;NA
2020-02-11;NA;NA
2020-02-12;NA;NA
2020-02-13;NA;NA
2020-02-14;NA;NA
2020-02-15;NA;NA
2020-02-16;NA;NA
2020-02-17;NA;NA
2020-02-18;NA;NA
2020-02-19;NA;NA
2020-02-20;NA;NA
2020-02-21;NA;NA
2020-02-22;NA;NA
2020-02-23;NA;NA
2020-02-24;NA;NA
2020-02-25;NA;NA
2020-02-26;NA;NA
2020-02-27;NA;NA
2020-02-28;NA;NA
2020-02-29;NA;NA
2020-03-01;NA;NA
2020-03-02;NA;NA
2020-03-03;NA;NA
2020-03-04;NA;NA
2020-03-05;NA;NA
2020-03-06;NA;NA
2020-03-07;NA;NA
2020-03-08;NA;NA
2020-03-09;NA;NA
2020-03-10;NA;NA
2020-03-11;NA;NA
2020-03-12;NA;NA
2020-03-13;NA;NA
2020-03-14;NA;NA
2020-03-15;NA;NA
2020-03-16;NA;NA
2020-03-17;NA;NA
2020-03-18;NA;NA
2020-03-19;1,72;1,70
2020-03-20;1,51;1,47
2020-03-21;1,41;1,36
2020-03-22;1,33;1,27
2020-03-23;1,26;1,20
2020-03-24;1,25;1,18
2020-03-25;1,27;1,20
2020-03-26;1,32;1,25
2020-03-27;1,35;1,29
2020-03-28;1,37;1,33
2020-03-29;1,38;1,35
2020-03-30;1,36;1,34
2020-03-31;1,33;1,34
2020-04-01;1,31;1,33
2020-04-02;1,30;1,34
2020-04-03;1,27;1,31
2020-04-04;1,19;1,23
2020-04-05;1,11;1,16
2020-04-06;1,03;1,08
2020-04-07;0,90;0,95
2020-04-08;0,76;0,80
2020-04-09;0,67;0,70
2020-04-10;0,59;0,62
2020-04-11;0,53;0,55
2020-04-12;0,48;0,50
2020-04-13;0,46;0,47
2020-04-14;0,44;0,45
2020-04-15;0,41;0,41
2020-04-16;0,38;0,38
2020-04-17;0,39;0,39
2020-04-18;0,43;0,43
2020-04-19;0,46;0,46
2020-04-20;0,50;0,50
2020-04-21;0,56;0,56
2020-04-22;0,61;0,61
2020-04-23;0,61;0,61
2020-04-24;0,64;0,64
2020-04-25;0,66;0,66
2020-04-26;0,71;0,71
2020-04-27;0,78;0,78
2020-04-28;0,85;0,85
2020-04-29;0,85;0,85
2020-04-30;0,74;0,74
2020-05-01;0,59;0,59
2020-05-02;0,48;0,48
2020-05-03;0,41;0,41
2020-05-04;0,37;0,37
2020-05-05;0,35;0,35
2020-05-06;0,36;0,36
2020-05-07;NA;NA
2020-05-08;NA;NA
2020-05-09;NA;NA
2020-05-10;NA;NA
2020-05-11;NA;NA
2020-05-12;NA;NA
2020-05-13;NA;NA
2020-05-14;NA;NA
2020-05-15;NA;NA
2020-05-16;NA;NA
2020-05-17;NA;NA
2020-05-18;NA;NA
2020-05-19;NA;NA
2020-05-20;NA;NA
2020-05-21;NA;NA
2020-05-22;NA;NA
2020-05-23;NA;NA
2020-05-24;NA;NA
2020-05-25;NA;NA
2020-05-26;NA;NA
2020-05-27;NA;NA
2020-05-28;NA;NA
2020-05-29;NA;NA
