Settimana del;Positivi;Sintomatici
27/02/20;NA;NA
28/02/20;NA;NA
29/02/20;NA;NA
01/03/20;NA;NA
02/03/20;NA;NA
03/03/20;NA;NA
04/03/20;NA;NA
05/03/20;NA;NA
06/03/20;NA;NA
07/03/20;NA;NA
08/03/20;NA;NA
09/03/20;NA;NA
10/03/20;NA;NA
11/03/20;NA;NA
12/03/20;NA;NA
13/03/20;NA;NA
14/03/20;NA;NA
15/03/20;NA;NA
16/03/20;NA;NA
17/03/20;NA;NA
18/03/20;NA;NA
19/03/20;NA;NA
20/03/20;NA;NA
21/03/20;NA;NA
22/03/20;NA;NA
23/03/20;1,71;NA
24/03/20;1,53;1,71
25/03/20;1,35;1,53
26/03/20;1,2;1,35
27/03/20;1,06;1,2
28/03/20;0,94;1,06
29/03/20;0,84;0,94
30/03/20;0,74;0,84
31/03/20;0,65;0,74
01/04/20;0,57;0,65
02/04/20;0,49;0,57
03/04/20;0,45;0,49
04/04/20;0,43;0,45
05/04/20;0,42;0,43
06/04/20;0,41;0,42
07/04/20;0,42;0,41
08/04/20;0,43;0,42
09/04/20;0,43;0,43
10/04/20;0,44;0,43
11/04/20;0,43;0,44
12/04/20;0,43;0,43
13/04/20;0,43;0,43
14/04/20;0,43;0,43
15/04/20;0,42;0,43
16/04/20;0,33;0,42
17/04/20;0,16;0,33
18/04/20;0,07;0,16
19/04/20;0,06;0,07
20/04/20;0,03;0,06
21/04/20;0,02;0,03
22/04/20;0,02;0,02
23/04/20;0,03;0,02
24/04/20;0,05;0,03
25/04/20;0,1;0,05
26/04/20;0,17;0,1
27/04/20;0,28;0,17
28/04/20;0,45;0,28
29/04/20;0,69;0,45
30/04/20;0,91;0,69
01/05/20;0,89;0,91
02/05/20;0,87;0,89
03/05/20;NA;0,87
04/05/20;NA;NA
05/05/20;NA;NA
06/05/20;NA;NA
07/05/20;NA;NA
08/05/20;NA;NA
09/05/20;NA;NA
10/05/20;NA;NA
11/05/20;NA;NA
12/05/20;NA;NA
13/05/20;NA;NA
14/05/20;NA;NA
15/05/20;NA;NA
16/05/20;NA;NA
17/05/20;NA;NA
18/05/20;NA;NA
19/05/20;NA;NA
20/05/20;NA;NA
21/05/20;NA;NA
22/05/20;NA;NA
23/05/20;NA;NA
24/05/20;NA;NA
25/05/20;NA;NA
26/05/20;NA;NA
27/05/20;NA;NA
28/05/20;NA;NA
29/05/20;NA;NA
30/05/20;NA;NA
31/05/20;NA;NA
01/06/20;NA;NA
02/06/20;NA;NA
03/06/20;NA;NA
