Settimana del;Positivi;Sintomatici
2020-01-30;NA;NA
2020-01-31;NA;NA
2020-02-01;NA;NA
2020-02-02;NA;NA
2020-02-03;NA;NA
2020-02-04;NA;NA
2020-02-05;NA;NA
2020-02-06;NA;NA
2020-02-07;NA;NA
2020-02-08;NA;NA
2020-02-09;NA;NA
2020-02-10;NA;NA
2020-02-11;NA;NA
2020-02-12;NA;NA
2020-02-13;NA;NA
2020-02-14;NA;NA
2020-02-15;NA;NA
2020-02-16;NA;NA
2020-02-17;NA;NA
2020-02-18;NA;NA
2020-02-19;NA;NA
2020-02-20;NA;NA
2020-02-21;NA;NA
2020-02-22;NA;NA
2020-02-23;NA;NA
2020-02-24;NA;NA
2020-02-25;NA;NA
2020-02-26;NA;NA
2020-02-27;NA;NA
2020-02-28;NA;NA
2020-02-29;NA;NA
2020-03-01;NA;NA
2020-03-02;NA;NA
2020-03-03;NA;NA
2020-03-04;NA;NA
2020-03-05;NA;NA
2020-03-06;3,48;3,48
2020-03-07;3,46;3,46
2020-03-08;3,33;3,33
2020-03-09;3,35;3,35
2020-03-10;3,27;3,27
2020-03-11;3,09;3,09
2020-03-12;2,80;2,80
2020-03-13;2,55;2,54
2020-03-14;2,42;2,41
2020-03-15;2,30;2,29
2020-03-16;2,21;2,19
2020-03-17;2,10;2,08
2020-03-18;1,97;1,94
2020-03-19;1,84;1,80
2020-03-20;1,71;1,67
2020-03-21;1,57;1,53
2020-03-22;1,46;1,41
2020-03-23;1,35;1,31
2020-03-24;1,25;1,21
2020-03-25;1,17;1,12
2020-03-26;1,10;1,04
2020-03-27;1,05;0,99
2020-03-28;1,00;0,93
2020-03-29;0,95;0,88
2020-03-30;0,91;0,84
2020-03-31;0,88;0,81
2020-04-01;0,84;0,78
2020-04-02;0,81;0,76
2020-04-03;0,78;0,73
2020-04-04;0,75;0,71
2020-04-05;0,72;0,70
2020-04-06;0,69;0,67
2020-04-07;0,66;0,64
2020-04-08;0,63;0,62
2020-04-09;0,59;0,58
2020-04-10;0,53;0,53
2020-04-11;0,48;0,48
2020-04-12;0,43;0,43
2020-04-13;0,38;0,36
2020-04-14;0,36;0,33
2020-04-15;0,35;0,32
2020-04-16;0,36;0,31
2020-04-17;0,35;0,30
2020-04-18;0,35;0,28
2020-04-19;0,36;0,25
2020-04-20;0,36;0,23
2020-04-21;0,40;0,24
2020-04-22;0,43;0,26
2020-04-23;0,46;0,30
2020-04-24;0,49;0,35
2020-04-25;0,53;0,41
2020-04-26;0,56;0,46
2020-04-27;0,53;0,45
2020-04-28;0,53;0,47
2020-04-29;0,54;0,51
2020-04-30;0,57;0,57
2020-05-01;0,66;0,71
2020-05-02;0,73;0,82
2020-05-03;0,77;0,89
2020-05-04;0,83;1,01
2020-05-05;0,90;1,14
2020-05-06;0,93;1,23
2020-05-07;0,93;1,27
2020-05-08;0,95;1,32
2020-05-09;0,98;1,37
2020-05-10;0,99;1,36
2020-05-11;0,94;1,27
2020-05-12;0,89;1,12
2020-05-13;0,85;0,98
2020-05-14;0,80;0,83
2020-05-15;0,74;0,67
2020-05-16;0,69;0,61
2020-05-17;0,65;0,61
2020-05-18;0,64;0,62
2020-05-19;0,60;0,66
2020-05-20;0,56;0,69
2020-05-21;0,51;0,70
2020-05-22;0,49;0,73
2020-05-23;0,48;0,77
2020-05-24;0,50;0,82
2020-05-25;0,53;0,89
2020-05-26;0,49;0,93
2020-05-27;0,48;0,98
2020-05-28;0,50;1,04
2020-05-29;0,48;0,95
2020-05-30;0,48;0,87
2020-05-31;0,51;0,74
2020-06-01;NA;NA
2020-06-02;NA;NA
2020-06-03;NA;NA
2020-06-04;NA;NA
2020-06-05;NA;NA
2020-06-06;NA;NA
2020-06-07;NA;NA
2020-06-08;NA;NA
2020-06-09;NA;NA
2020-06-10;NA;NA
2020-06-11;NA;NA
2020-06-12;NA;NA
2020-06-13;NA;NA
2020-06-14;NA;NA
2020-06-15;NA;NA
2020-06-16;NA;NA
2020-06-17;2,33;2,28
2020-06-18;2,46;2,30
2020-06-19;2,56;2,33
2020-06-20;2,61;2,33
2020-06-21;2,56;2,26
2020-06-22;2,42;2,12
2020-06-23;2,20;1,90
2020-06-24;1,93;1,67
2020-06-25;1,77;1,53
2020-06-26;1,56;1,36
2020-06-27;1,34;1,17
2020-06-28;1,23;1,02
2020-06-29;1,11;0,90
2020-06-30;0,99;0,80
2020-07-01;0,88;0,72
2020-07-02;0,75;0,61
2020-07-03;0,61;0,50
2020-07-04;0,47;0,36
2020-07-05;0,38;0,27
2020-07-06;0,32;0,21
2020-07-07;0,33;0,19
2020-07-08;0,32;NA
2020-07-09;0,33;NA
2020-07-10;0,41;NA
2020-07-11;0,49;NA
2020-07-12;0,53;NA
2020-07-13;0,60;NA
2020-07-14;0,71;NA
2020-07-15;0,81;NA
2020-07-16;0,90;NA
2020-07-17;0,95;NA
2020-07-18;0,93;NA
2020-07-19;0,91;NA
2020-07-20;0,88;NA
2020-07-21;0,82;NA
2020-07-22;0,71;NA
2020-07-23;0,63;NA
2020-07-24;NA;NA
2020-07-25;NA;NA
2020-07-26;NA;NA
2020-07-27;NA;NA
2020-07-28;NA;NA
2020-07-29;NA;NA
2020-07-30;NA;NA
2020-07-31;NA;NA
2020-08-01;NA;NA
2020-08-02;NA;NA
2020-08-03;NA;NA
2020-08-04;NA;NA
2020-08-05;NA;NA
2020-08-06;NA;NA
2020-08-07;NA;NA
2020-08-08;NA;NA
2020-08-09;NA;NA
2020-08-10;NA;NA
2020-08-11;NA;NA
2020-08-12;3,29;NA
2020-08-13;3,39;NA
2020-08-14;3,35;NA
2020-08-15;3,19;NA
2020-08-16;2,92;3,30
2020-08-17;2,74;2,98
2020-08-18;2,49;2,57
2020-08-19;2,15;2,08
2020-08-20;1,93;1,83
2020-08-21;1,67;1,55
2020-08-22;1,58;1,48
2020-08-23;1,48;1,40
2020-08-24;1,37;1,31
2020-08-25;1,26;1,22
2020-08-26;1,17;1,15
2020-08-27;1,08;1,08
2020-08-28;1,02;1,02
2020-08-29;0,97;0,96
2020-08-30;0,94;0,91
2020-08-31;0,89;0,86
2020-09-01;0,86;0,82
2020-09-02;0,83;0,78
2020-09-03;0,80;0,74
2020-09-04;0,78;0,71
2020-09-05;0,76;0,67
2020-09-06;0,74;0,63
2020-09-07;0,74;0,62
2020-09-08;0,74;0,62
2020-09-09;0,73;0,59
2020-09-10;0,72;0,60
2020-09-11;0,73;0,63
2020-09-12;0,75;0,68
2020-09-13;0,79;0,74
2020-09-14;0,85;0,84
2020-09-15;0,91;0,95
2020-09-16;0,99;1,06
2020-09-17;1,07;1,15
2020-09-18;1,14;1,25
2020-09-19;1,23;1,29
2020-09-20;1,28;1,28
2020-09-21;1,31;1,24
2020-09-22;1,35;1,24
2020-09-23;1,37;1,21
2020-09-24;1,37;1,16
2020-09-25;1,30;1,10
2020-09-26;1,25;1,06
2020-09-27;1,17;1,00
2020-09-28;1,11;1,00
2020-09-29;1,06;1,00
2020-09-30;1,03;1,06
2020-10-01;1,01;1,12
2020-10-02;1,04;1,24
2020-10-03;1,06;1,35
2020-10-04;1,08;1,45
2020-10-05;1,13;1,54
2020-10-06;1,24;1,71
2020-10-07;1,37;1,89
2020-10-08;1,50;2,03
2020-10-09;1,58;2,09
2020-10-10;1,76;2,16
2020-10-11;1,96;2,18
2020-10-12;2,14;2,18
2020-10-13;2,27;2,14
2020-10-14;2,36;2,11
2020-10-15;2,41;2,03
2020-10-16;2,44;1,94
2020-10-17;2,43;1,89
2020-10-18;2,35;1,82
2020-10-19;2,29;1,78
2020-10-20;2,20;1,73
2020-10-21;2,11;1,69
