Data;0-39;40-59;60-79;80-89;>= 90
20/02/20;0;0;0;100,00%;0
21/02/20;0;0;50,00%;0;50,00%
22/02/20;0;0;100,00%;0;0
23/02/20;0;0;33,33%;66,67%;0
24/02/20;0;0;60,00%;20,00%;20,00%
25/02/20;0;0;50,00%;50,00%;0
26/02/20;0;0;16,67%;83,33%;0
27/02/20;0;0;37,50%;37,50%;25,00%
28/02/20;0;0;27,27%;54,55%;18,18%
29/02/20;0;0;46,67%;53,33%;0
01/03/20;0;0;46,15%;38,46%;15,38%
02/03/20;0;0;28,00%;52,00%;20,00%
03/03/20;0;1,79%;44,64%;35,71%;17,86%
04/03/20;0;1,79%;35,71%;53,57%;8,93%
05/03/20;1,23%;2,47%;39,51%;46,91%;9,88%
06/03/20;0;4,50%;38,74%;43,24%;13,51%
07/03/20;0;2,38%;37,50%;45,24%;14,88%
08/03/20;0,56%;6,18%;38,20%;47,75%;7,30%
09/03/20;0;3,10%;42,92%;44,25%;9,73%
10/03/20;0;3,53%;40,99%;43,82%;11,66%
11/03/20;0;4,49%;44,55%;43,91%;7,05%
12/03/20;0,31%;2,47%;43,52%;44,75%;8,95%
13/03/20;0,53%;2,90%;43,01%;42,74%;10,82%
14/03/20;0;3,80%;43,18%;43,40%;9,62%
15/03/20;0,23%;4,14%;44,60%;39,31%;11,72%
16/03/20;0,78%;3,52%;46,29%;38,28%;11,13%
17/03/20;0;3,83%;45,57%;40,70%;9,91%
18/03/20;0,16%;4,34%;45,27%;41,24%;8,99%
19/03/20;0,61%;4,88%;46,49%;37,20%;10,82%
20/03/20;0,26%;5,03%;41,80%;43,12%;9,79%
21/03/20;0,37%;5,48%;45,92%;39,83%;8,40%
22/03/20;0,12%;4,66%;44,24%;39,83%;11,15%
23/03/20;0,23%;4,86%;46,64%;38,77%;9,49%
24/03/20;0,36%;4,50%;46,84%;38,69%;9,61%
25/03/20;0,11%;5,62%;47,36%;36,35%;10,55%
26/03/20;0,24%;4,76%;46,43%;37,98%;10,60%
27/03/20;0,23%;3,95%;42,71%;40,68%;12,43%
28/03/20;0,22%;5,39%;42,93%;38,94%;12,51%
