Data;0-39;40-59;60-79;80-89;>= 90
29/01/20;0;0;100,00%;0;0
30/01/20;0;0;0;0;0
31/01/20;0;0;0;0;0
01/02/20;0;0;0;0;0
02/02/20;0;0;0;0;0
03/02/20;0;0;0;0;0
04/02/20;0;0;0;0;0
05/02/20;0;0;0;0;0
06/02/20;100,00%;0;0;0;0
07/02/20;0;0;0;0;0
08/02/20;0;0;0;0;0
09/02/20;0;0;0;0;0
10/02/20;0;0;0;0;0
11/02/20;0;0;0;0;0
12/02/20;0;0;0;0;0
13/02/20;0;0;0;0;0
14/02/20;0;0;0;0;0
15/02/20;0;0;0;0;0
16/02/20;0;0;0;0;0
17/02/20;0;0;0;0;0
18/02/20;0;0;0;0;0
19/02/20;0;0;0;0;0
20/02/20;25,00%;50,00%;25,00%;0;0
21/02/20;16,22%;27,03%;45,95%;8,11%;2,70%
22/02/20;14,29%;35,71%;41,07%;7,14%;1,79%
23/02/20;22,08%;37,66%;28,57%;11,69%;0
24/02/20;27,06%;29,41%;34,12%;7,06%;2,35%
25/02/20;24,08%;29,84%;37,70%;7,33%;1,05%
26/02/20;14,44%;35,74%;33,21%;14,80%;1,81%
27/02/20;16,43%;32,17%;32,52%;13,99%;4,90%
28/02/20;13,22%;21,55%;41,95%;17,53%;5,75%
29/02/20;10,46%;29,76%;37,27%;19,57%;2,95%
01/03/20;8,54%;33,90%;38,54%;17,32%;1,71%
02/03/20;10,00%;29,52%;40,16%;17,30%;3,02%
03/03/20;9,71%;29,02%;41,10%;17,56%;2,62%
04/03/20;11,26%;28,37%;41,30%;16,56%;2,51%
05/03/20;9,61%;31,28%;40,28%;14,91%;3,92%
06/03/20;11,33%;30,65%;40,54%;14,47%;3,01%
07/03/20;10,30%;31,67%;38,17%;17,08%;2,77%
08/03/20;11,16%;27,75%;42,08%;16,12%;2,89%
09/03/20;12,03%;33,66%;37,06%;14,26%;3,00%
10/03/20;11,59%;30,68%;38,56%;15,67%;3,51%
11/03/20;12,61%;31,70%;37,32%;15,49%;2,88%
12/03/20;12,33%;31,73%;37,18%;15,86%;2,90%
13/03/20;13,08%;33,03%;35,91%;14,96%;3,02%
14/03/20;12,19%;30,83%;37,37%;15,45%;4,16%
15/03/20;12,32%;32,85%;37,03%;15,16%;2,63%
16/03/20;13,96%;33,15%;36,33%;13,63%;2,93%
17/03/20;12,75%;32,66%;38,03%;13,46%;3,11%
18/03/20;12,69%;34,87%;36,76%;13,13%;2,55%
19/03/20;12,50%;33,59%;36,39%;13,97%;3,56%
20/03/20;12,51%;34,69%;35,72%;13,45%;3,63%
21/03/20;10,98%;34,02%;34,08%;15,60%;5,33%
22/03/20;12,51%;31,10%;35,58%;16,30%;4,51%
23/03/20;12,53%;34,16%;34,70%;14,82%;3,79%
24/03/20;13,83%;33,43%;35,09%;14,11%;3,53%
25/03/20;13,84%;32,76%;33,24%;15,73%;4,43%
