Data;0-39;40-59;60-79;80-89;>= 90
28/01/20;0;0;58,33%;0;0
29/01/20;0;0;0;0;0
30/01/20;0;0;0;0;0
31/01/20;0;0;0;0;0
01/02/20;0;0;0;0;0
02/02/20;0;0;0;0;0
03/02/20;0;0;0;0;0
04/02/20;0;0;0;0;0
05/02/20;10,71%;0;0;0;0
06/02/20;0;0;0;0;0
07/02/20;0;0;0;0;0
08/02/20;0;0;0;0;0
09/02/20;0;0;0;0;0
10/02/20;0;0;0;0;0
11/02/20;0;0;0;0;0
12/02/20;0;0;0;0;0
13/02/20;0;0;0;0;0
14/02/20;0;0;0;0;0
15/02/20;0;0;0;0;0
16/02/20;0;0;0;0;0
17/02/20;0;0;0;0;0
18/02/20;0;0;0;0;0
19/02/20;6,98%;24,81%;50,39%;0;0
20/02/20;10,70%;26,63%;43,08%;15,67%;3,92%
21/02/20;8,25%;32,67%;43,56%;13,86%;1,65%
22/02/20;12,47%;33,33%;39,57%;12,74%;0
23/02/20;11,51%;28,45%;42,05%;15,27%;2,72%
24/02/20;11,76%;30,43%;42,03%;13,53%;2,25%
25/02/20;8,48%;28,41%;46,02%;15,68%;1,41%
26/02/20;6,64%;31,02%;44,16%;15,58%;2,60%
27/02/20;9,24%;29,31%;41,87%;16,38%;3,20%
28/02/20;7,79%;32,63%;42,43%;14,79%;2,36%
29/02/20;8,56%;31,14%;40,60%;17,11%;2,59%
01/03/20;9,63%;28,49%;42,18%;16,92%;2,78%
02/03/20;10,49%;28,91%;43,56%;14,59%;2,44%
03/03/20;9,36%;29,42%;41,25%;16,86%;3,10%
04/03/20;9,75%;31,65%;41,06%;14,74%;2,81%
05/03/20;10,94%;32,47%;39,32%;14,44%;2,83%
06/03/20;9,96%;33,68%;39,89%;14,25%;2,22%
07/03/20;11,07%;31,81%;39,86%;14,59%;2,67%
08/03/20;12,65%;33,30%;39,34%;12,53%;2,18%
09/03/20;12,62%;36,78%;35,23%;12,47%;2,90%
10/03/20;12,26%;34,26%;38,01%;12,79%;2,67%
11/03/20;15,42%;34,89%;35,72%;11,89%;2,08%
12/03/20;12,69%;36,05%;35,49%;13,07%;2,69%
13/03/20;13,10%;37,51%;33,66%;12,64%;3,09%
14/03/20;12,55%;35,53%;35,46%;13,46%;3,00%
15/03/20;14,83%;33,90%;34,71%;13,60%;2,97%
16/03/20;14,71%;36,03%;33,23%;13,18%;2,84%
17/03/20;12,96%;34,80%;35,37%;13,41%;3,47%
18/03/20;13,39%;34,47%;33,26%;14,77%;4,10%
19/03/20;14,19%;33,14%;34,55%;14,43%;3,70%
