Etˆ;Tutti;Maschi;Femmine
0;5;3;2
1;1;1;0
2;0;0;0
3;2;1;1
4;0;0;0
5;2;0;2
6;2;0;2
7;2;2;0
8;0;0;0
9;0;0;0
10;2;0;2
11;3;2;1
12;1;0;1
13;3;2;1
14;1;1;0
15;2;1;1
16;0;0;0
17;1;1;0
18;3;1;2
19;1;1;0
20;5;3;2
21;5;2;3
22;7;4;3
23;1;1;0
24;4;3;1
25;7;6;1
26;8;5;3
27;9;4;5
28;11;6;5
29;16;11;5
30;11;4;7
31;14;9;5
32;21;10;11
33;23;15;8
34;25;13;12
35;22;18;4
36;26;12;14
37;38;23;15
38;39;26;13
39;47;35;12
40;52;41;11
41;53;39;14
42;70;44;26
43;96;65;31
44;81;53;28
45;110;67;43
46;150;109;41
47;141;89;52
48;206;154;52
49;195;142;53
50;254;168;86
51;301;209;92
52;299;204;95
53;352;257;95
54;432;313;119
55;470;350;120
56;540;381;159
57;582;417;165
58;660;470;190
59;715;535;180
60;811;567;244
61;949;716;233
62;1022;754;268
63;1142;845;297
64;1221;888;333
65;1359;1005;354
66;1470;1072;398
67;1612;1159;453
68;1706;1219;487
69;1984;1387;597
70;2216;1609;607
71;2587;1828;759
72;2898;2040;858
73;3198;2220;978
74;3249;2165;1084
75;2996;2046;950
76;3377;2301;1076
77;3646;2405;1241
78;3939;2565;1374
79;4283;2724;1559
80;4785;3050;1735
81;4935;3020;1915
82;5305;3145;2160
83;5238;2992;2246
84;5331;2932;2399
85;5357;2811;2546
86;5450;2833;2617
87;5302;2654;2648
88;5086;2399;2687
89;4949;2235;2714
90;4669;2002;2667
91;4081;1685;2396
92;3515;1314;2201
93;3086;1035;2051
94;2507;785;1722
95;2009;572;1437
96;1559;430;1129
97;1246;326;920
98;834;189;645
99;600;133;467
100;364;66;298
101;159;36;123
102;75;8;67
103;55;4;51
104;30;5;25
105;22;3;19
106;13;3;10
107;12;1;11
108;6;2;4
109;2;;2
