Etˆ;Tutti;Maschi;Femmine
0;15832;8325;7507
1;19128;9943;9185
2;18620;9691;8929
3;20858;10804;10054
4;22368;11379;10989
5;24874;12838;12036
6;26667;13776;12891
7;28601;14839;13762
8;31762;16463;15299
9;34950;17997;16953
10;37463;19341;18122
11;38781;20238;18543
12;41209;21504;19705
13;43430;22461;20969
14;40344;20905;19439
15;42735;22169;20566
16;47004;24236;22768
17;51341;27087;24254
18;54643;28677;25966
19;52936;28337;24599
20;53570;28574;24996
21;54218;28679;25538
22;54015;28537;25478
23;54103;27935;26167
24;54192;27800;26392
25;54225;27586;26639
26;54178;27540;26637
27;55070;27671;27399
28;55230;27849;27381
29;55499;27671;27827
30;55507;27553;27954
31;55051;27343;27708
32;55079;27360;27717
33;53650;26452;27197
34;52879;25993;26886
35;54529;26664;27865
36;54190;26528;27661
37;55910;27141;28769
38;56654;27494;29160
39;57609;27605;30004
40;58399;28201;30197
41;60098;28534;31564
42;63078;30037;33041
43;65766;31318;34448
44;69067;32840;36227
45;72956;34611;38345
46;75913;36087;39826
47;76734;36459;40275
48;77884;37206;40678
49;78103;37377;40726
50;77853;37141;40712
51;78977;37966;41010
52;78421;37855;40565
53;77818;37631;40187
54;78045;38019;40026
55;77855;38544;39311
56;76720;38269;38451
57;71423;35574;35849
58;67761;33871;33890
59;64472;32493;31979
60;61218;31133;30085
61;57435;29668;27767
62;52460;27240;25220
63;49730;25673;24057
64;47956;24999;22957
65;45721;23843;21878
66;43171;22530;20641
67;40077;21097;18980
68;38439;20062;18376
69;37798;19750;18048
70;38476;20013;18463
71;38565;19972;18593
72;39361;20298;19063
73;38550;19832;18718
74;37659;19086;18573
75;30048;15377;14671
76;30457;15505;14952
77;30623;15162;15461
78;29926;14567;15359
79;29671;14329;15342
80;31312;14781;16531
81;30479;14025;16452
82;29752;13280;16471
83;27430;11878;15552
84;25579;10613;14966
85;25205;9951;15254
86;23811;9006;14804
87;22231;8053;14176
88;20581;6928;13653
89;19020;6086;12933
90;17971;5410;12561
91;14891;4173;10718
92;12708;3366;9342
93;10816;2572;8244
94;8592;1785;6807
95;6707;1332;5375
96;5089;959;4130
97;3985;690;3295
98;2735;438;2297
99;1909;300;1609
100;1194;180;1014
101;511;70;441
102;228;20;208
103;177;9;168
104;112;14;98
105;78;7;71
106;59;8;51
107;37;3;34
108;10;4;6
109;7;2;5
