Etˆ;Tutti;Maschi;Femmine
0;3,89%;3,99%;3,78%
1;4,45%;4,50%;4,39%
2;4,13%;4,17%;4,09%
3;4,49%;4,52%;4,45%
4;4,69%;4,66%;4,73%
5;5,04%;5,06%;5,03%
6;5,33%;5,36%;5,30%
7;5,48%;5,53%;5,43%
8;5,99%;6,04%;5,94%
9;6,39%;6,38%;6,40%
10;6,75%;6,77%;6,73%
11;6,90%;7,00%;6,79%
12;7,35%;7,44%;7,25%
13;7,73%;7,74%;7,73%
14;7,24%;7,28%;7,21%
15;7,61%;7,66%;7,54%
16;8,42%;8,43%;8,41%
17;9,23%;9,44%;9,01%
18;9,64%;9,76%;9,52%
19;9,08%;9,31%;8,83%
20;9,26%;9,42%;9,08%
21;9,27%;9,29%;9,25%
22;9,27%;9,35%;9,18%
23;9,25%;9,15%;9,35%
24;9,28%;9,15%;9,42%
25;9,17%;9,03%;9,32%
26;8,98%;8,88%;9,08%
27;8,75%;8,58%;8,93%
28;8,80%;8,69%;8,91%
29;8,67%;8,46%;8,89%
30;8,67%;8,49%;8,86%
31;8,42%;8,25%;8,59%
32;8,59%;8,45%;8,73%
33;8,31%;8,12%;8,51%
34;7,95%;7,76%;8,14%
35;8,04%;7,82%;8,27%
36;7,86%;7,65%;8,07%
37;7,84%;7,58%;8,09%
38;7,89%;7,66%;8,12%
39;7,83%;7,46%;8,19%
40;7,69%;7,43%;7,95%
41;7,51%;7,13%;7,90%
42;7,65%;7,30%;7,99%
43;7,63%;7,29%;7,97%
44;7,65%;7,31%;7,99%
45;7,76%;7,40%;8,13%
46;8,13%;7,79%;8,47%
47;8,14%;7,78%;8,50%
48;8,18%;7,90%;8,47%
49;8,27%;8,00%;8,54%
50;8,04%;7,76%;8,31%
51;8,21%;8,00%;8,41%
52;8,12%;7,97%;8,26%
53;7,99%;7,84%;8,14%
54;8,04%;7,95%;8,12%
55;7,91%;7,97%;7,86%
56;8,32%;8,49%;8,16%
57;8,03%;8,22%;7,86%
58;7,78%;8,00%;7,56%
59;7,66%;7,96%;7,37%
60;7,47%;7,84%;7,12%
61;7,34%;7,87%;6,85%
62;6,79%;7,33%;6,30%
63;6,59%;7,08%;6,14%
64;6,49%;7,06%;5,97%
65;6,30%;6,88%;5,77%
66;6,26%;6,83%;5,75%
67;5,93%;6,56%;5,37%
68;5,74%;6,31%;5,22%
69;5,48%;6,04%;4,97%
70;5,58%;6,13%;5,07%
71;5,39%;5,94%;4,91%
72;5,68%;6,25%;5,18%
73;5,63%;6,22%;5,11%
74;7,20%;7,90%;6,60%
75;5,66%;6,32%;5,09%
76;5,77%;6,51%;5,16%
77;5,94%;6,57%;5,42%
78;5,88%;6,47%;5,41%
79;5,42%;6,00%;4,97%
80;5,98%;6,52%;5,56%
81;6,20%;6,73%;5,82%
82;6,81%;7,29%;6,47%
83;7,02%;7,49%;6,69%
84;6,77%;7,06%;6,58%
85;7,36%;7,52%;7,26%
86;7,75%;7,81%;7,72%
87;8,17%;8,21%;8,14%
88;8,42%;8,11%;8,58%
89;8,50%;8,19%;8,65%
90;10,13%;9,61%;10,38%
91;10,09%;9,46%;10,37%
92;10,51%;9,76%;10,81%
93;11,39%;10,16%;11,84%
94;11,75%;9,85%;12,37%
95;12,11%;10,17%;12,71%
96;12,33%;10,35%;12,90%
97;13,67%;11,38%;14,27%
98;13,35%;11,01%;13,92%
99;14,25%;11,86%;14,81%
