Etˆ;Tutti;Maschi;Femmine
0;0,43%;0,46%;0,40%
1;0,13%;0,15%;0,11%
2;0,07%;0,08%;0,06%
3;0,05%;0,05%;0,05%
4;0,04%;0,04%;0,04%
5;0,04%;0,04%;0,04%
6;0,03%;0,04%;0,03%
7;0,04%;0,04%;0,03%
8;0,03%;0,04%;0,03%
9;0,04%;0,04%;0,04%
10;0,04%;0,04%;0,04%
11;0,04%;0,05%;0,04%
12;0,04%;0,05%;0,04%
13;0,05%;0,05%;0,05%
14;0,05%;0,05%;0,05%
15;0,06%;0,06%;0,06%
16;0,06%;0,06%;0,07%
17;0,08%;0,08%;0,08%
18;0,09%;0,09%;0,09%
19;0,09%;0,09%;0,10%
20;0,11%;0,11%;0,12%
21;0,13%;0,12%;0,14%
22;0,15%;0,14%;0,16%
23;0,15%;0,14%;0,17%
24;0,16%;0,14%;0,18%
25;0,18%;0,16%;0,21%
26;0,19%;0,18%;0,21%
27;0,20%;0,17%;0,23%
28;0,23%;0,19%;0,26%
29;0,22%;0,18%;0,27%
30;0,24%;0,19%;0,30%
31;0,24%;0,21%;0,28%
32;0,27%;0,24%;0,31%
33;0,27%;0,24%;0,30%
34;0,28%;0,26%;0,31%
35;0,28%;0,28%;0,28%
36;0,28%;0,29%;0,27%
37;0,29%;0,29%;0,28%
38;0,29%;0,32%;0,26%
39;0,30%;0,33%;0,26%
40;0,29%;0,34%;0,25%
41;0,30%;0,35%;0,25%
42;0,31%;0,38%;0,23%
43;0,32%;0,39%;0,26%
44;0,35%;0,44%;0,25%
45;0,37%;0,47%;0,27%
46;0,41%;0,51%;0,30%
47;0,44%;0,55%;0,33%
48;0,46%;0,60%;0,33%
49;0,50%;0,65%;0,35%
50;0,50%;0,64%;0,37%
51;0,57%;0,74%;0,40%
52;0,58%;0,76%;0,41%
53;0,60%;0,79%;0,42%
54;0,64%;0,83%;0,45%
55;0,67%;0,89%;0,46%
56;0,76%;1,02%;0,50%
57;0,77%;1,03%;0,53%
58;0,81%;1,08%;0,55%
59;0,84%;1,14%;0,57%
60;0,88%;1,16%;0,61%
61;0,94%;1,27%;0,62%
62;0,93%;1,27%;0,62%
63;0,97%;1,32%;0,64%
64;1,01%;1,38%;0,67%
65;1,06%;1,43%;0,71%
66;1,11%;1,51%;0,74%
67;1,12%;1,51%;0,77%
68;1,12%;1,53%;0,76%
69;1,19%;1,61%;0,82%
70;1,24%;1,67%;0,86%
71;1,29%;1,73%;0,90%
72;1,41%;1,87%;1,00%
73;1,48%;1,95%;1,07%
74;1,94%;2,53%;1,45%
75;1,65%;2,20%;1,19%
76;1,74%;2,32%;1,27%
77;1,84%;2,42%;1,38%
78;1,88%;2,45%;1,42%
79;1,82%;2,37%;1,40%
80;2,03%;2,65%;1,57%
81;2,12%;2,74%;1,65%
82;2,43%;3,10%;1,95%
83;2,58%;3,31%;2,08%
84;2,49%;3,16%;2,05%
85;2,67%;3,33%;2,26%
86;2,89%;3,62%;2,45%
87;2,98%;3,83%;2,51%
88;3,01%;3,79%;2,59%
89;3,01%;3,80%;2,62%
90;3,37%;4,24%;2,97%
91;3,34%;4,38%;2,90%
92;3,30%;4,30%;2,90%
93;3,47%;4,31%;3,16%
94;3,52%;4,31%;3,27%
95;3,37%;4,29%;3,09%
96;3,28%;4,45%;2,94%
97;3,38%;4,47%;3,09%
98;3,04%;3,89%;2,84%
99;3,25%;3,91%;3,09%
