Etˆ;Tutti;Maschi;Femmine
0;0,01%;0,01%;0,01%
1;0,00%;0,00%;0,00%
2;0,00%;0,00%;0,00%
3;0,00%;0,00%;0,00%
4;0,00%;0,00%;0,00%
5;0,00%;0,00%;0,00%
6;0,00%;0,00%;0,00%
7;0,00%;0,00%;0,00%
8;0,00%;0,00%;0,00%
9;0,00%;0,00%;0,00%
10;0,00%;0,00%;0,00%
11;0,00%;0,00%;0,00%
12;0,00%;0,00%;0,00%
13;0,00%;0,00%;0,00%
14;0,00%;0,00%;0,00%
15;0,00%;0,00%;0,00%
16;0,00%;0,00%;0,00%
17;0,00%;0,01%;0,00%
18;0,00%;0,01%;0,00%
19;0,00%;0,00%;0,00%
20;0,00%;0,00%;0,00%
21;0,01%;0,01%;0,00%
22;0,00%;0,00%;0,00%
23;0,01%;0,01%;0,00%
24;0,01%;0,01%;0,00%
25;0,01%;0,01%;0,00%
26;0,01%;0,01%;0,01%
27;0,01%;0,01%;0,01%
28;0,01%;0,01%;0,01%
29;0,01%;0,01%;0,01%
30;0,01%;0,01%;0,01%
31;0,01%;0,01%;0,01%
32;0,01%;0,02%;0,01%
33;0,02%;0,02%;0,01%
34;0,02%;0,02%;0,01%
35;0,02%;0,02%;0,01%
36;0,02%;0,02%;0,02%
37;0,02%;0,03%;0,01%
38;0,02%;0,03%;0,02%
39;0,03%;0,03%;0,02%
40;0,03%;0,04%;0,02%
41;0,03%;0,04%;0,01%
42;0,02%;0,04%;0,01%
43;0,03%;0,04%;0,02%
44;0,03%;0,05%;0,02%
45;0,04%;0,05%;0,02%
46;0,04%;0,06%;0,02%
47;0,05%;0,07%;0,03%
48;0,05%;0,08%;0,02%
49;0,06%;0,09%;0,03%
50;0,06%;0,09%;0,04%
51;0,07%;0,10%;0,04%
52;0,07%;0,11%;0,04%
53;0,08%;0,12%;0,04%
54;0,09%;0,13%;0,04%
55;0,10%;0,15%;0,05%
56;0,12%;0,18%;0,06%
57;0,12%;0,18%;0,06%
58;0,13%;0,21%;0,07%
59;0,14%;0,21%;0,07%
60;0,15%;0,22%;0,08%
61;0,18%;0,27%;0,09%
62;0,18%;0,29%;0,09%
63;0,20%;0,30%;0,10%
64;0,20%;0,31%;0,10%
65;0,21%;0,32%;0,12%
66;0,22%;0,34%;0,12%
67;0,25%;0,38%;0,14%
68;0,25%;0,38%;0,12%
69;0,25%;0,37%;0,15%
70;0,26%;0,39%;0,14%
71;0,27%;0,40%;0,15%
72;0,29%;0,44%;0,16%
73;0,30%;0,44%;0,18%
74;0,40%;0,57%;0,25%
75;0,30%;0,45%;0,18%
76;0,31%;0,47%;0,18%
77;0,31%;0,47%;0,19%
78;0,29%;0,43%;0,17%
79;0,26%;0,38%;0,17%
80;0,25%;0,35%;0,17%
81;0,23%;0,34%;0,16%
82;0,27%;0,38%;0,20%
83;0,27%;0,39%;0,19%
84;0,24%;0,33%;0,17%
85;0,23%;0,31%;0,18%
86;0,25%;0,33%;0,20%
87;0,24%;0,33%;0,19%
88;0,22%;0,29%;0,18%
89;0,21%;0,28%;0,18%
90;0,21%;0,28%;0,18%
91;0,21%;0,28%;0,17%
92;0,21%;0,27%;0,18%
93;0,21%;0,31%;0,18%
94;0,17%;0,16%;0,17%
95;0,17%;0,22%;0,15%
96;0,18%;0,17%;0,18%
97;0,19%;0,38%;0,14%
98;0,19%;0,27%;0,17%
99;0,14%;0,24%;0,12%
