Giorno;Operatori_sanitari;Operatori_sanitari_non_consolidati;Altri;Altri_non_consolidati
20/02/20;;;83;
21/02/20;1;;117;
22/02/20;7;;97;
23/02/20;7;;137;
24/02/20;12;;164;
25/02/20;18;;241;
26/02/20;19;;244;
27/02/20;18;;289;
28/02/20;23;;330;
29/02/20;9;;349;
01/03/20;14;;412;
02/03/20;38;;587;
03/03/20;25;;728;
04/03/20;45;;799;
05/03/20;40;;990;
06/03/20;62;;1081;
07/03/20;47;;1017;
08/03/20;40;;1013;
09/03/20;65;;1233;
10/03/20;84;;1352;
11/03/20;93;;1457;
12/03/20;88;;1601;
13/03/20;109;;1943;
14/03/20;100;;1689;
15/03/20;98;;1601;
16/03/20;154;;2100;
17/03/20;116;;2268;
18/03/20;127;;2292;
19/03/20;138;;2302;
20/03/20;121;;2358;
21/03/20;98;;2066;
22/03/20;73;;1831;
23/03/20;108;;2218;
24/03/20;95;;2175;
25/03/20;77;;1972;
26/03/20;103;;1767;
27/03/20;112;;1844;
28/03/20;78;;1459;
29/03/20;67;;1217;
30/03/20;76;;1406;
31/03/20;93;;1320;
01/04/20;79;;1263;
02/04/20;102;;1228;
03/04/20;83;;1036;
04/04/20;52;;839;
05/04/20;51;;694;
06/04/20;58;;865;
07/04/20;60;;839;
08/04/20;70;;873;
09/04/20;69;;849;
10/04/20;55;;760;
11/04/20;64;;646;
12/04/20;45;;546;
13/04/20;23;;523;
14/04/20;55;;697;
15/04/20;50;;569;
16/04/20;38;;594;
17/04/20;62;;593;
18/04/20;28;;482;
19/04/20;26;;391;
20/04/20;46;;536;
21/04/20;34;;485;
22/04/20;40;;492;
23/04/20;42;;470;
24/04/20;27;;464;
25/04/20;18;;352;
26/04/20;15;;303;
27/04/20;32;;366;
28/04/20;26;;363;
29/04/20;25;;357;
30/04/20;25;;309;
01/05/20;11;;247;
02/05/20;17;;197;
03/05/20;10;;158;
04/05/20;24;;242;
05/05/20;18;;236;
06/05/20;13;;257;
07/05/20;19;;222;
08/05/20;16;;237;
09/05/20;11;;143;
10/05/20;14;;134;
11/05/20;13;;202;
12/05/20;10;;159;
13/05/20;11;;154;
14/05/20;17;;155;
15/05/20;14;;160;
16/05/20;3;;120;
17/05/20;8;;98;
18/05/20;17;;122;
19/05/20;7;;124;
20/05/20;8;;122;
21/05/20;5;;96;
22/05/20;14;;84;
23/05/20;4;;76;
24/05/20;9;;66;
25/05/20;10;;121;
26/05/20;5;;92;
27/05/20;2;;88;
28/05/20;7;;65;
29/05/20;4;;83;
30/05/20;8;;67;
31/05/20;0;;44;
01/06/20;9;;88;
02/06/20;1;;54;
03/06/20;9;;63;
04/06/20;1;;66;
05/06/20;8;;65;
06/06/20;3;;36;
07/06/20;1;;38;
08/06/20;12;;68;
09/06/20;0;;62;
10/06/20;2;;57;
11/06/20;2;;46;
12/06/20;5;;54;
13/06/20;1;;46;
14/06/20;2;;39;
15/06/20;0;;62;
16/06/20;0;;48;
17/06/20;12;;41;
18/06/20;4;;57;
19/06/20;9;;57;
20/06/20;2;;28;
21/06/20;0;;35;
22/06/20;0;;64;
23/06/20;0;;44;
24/06/20;3;;54;
25/06/20;4;;44;
26/06/20;6;;59;
27/06/20;0;;35;
28/06/20;2;;27;
29/06/20;4;;65;
30/06/20;4;;53;
01/07/20;0;;48;
02/07/20;0;;54;
03/07/20;1;;60;
04/07/20;2;;31;
05/07/20;0;;39;
06/07/20;1;;53;
07/07/20;1;;43;
08/07/20;3;;51;
09/07/20;1;;43;
10/07/20;1;;57;
11/07/20;1;;41;
12/07/20;0;;34;
13/07/20;2;;55;
14/07/20;2;;42;
15/07/20;2;;48;
16/07/20;2;;47;
17/07/20;1;;70;
18/07/20;2;;39;
19/07/20;0;;31;
20/07/20;6;;50;
21/07/20;3;;60;
22/07/20;2;;51;
23/07/20;1;;54;
24/07/20;0;;54;
25/07/20;0;;49;
26/07/20;1;;37;
27/07/20;1;;45;
28/07/20;2;;51;
29/07/20;3;;43;
30/07/20;0;;47;
31/07/20;2;;63;
01/08/20;3;;59;
02/08/20;1;;47;
03/08/20;1;;71;
04/08/20;3;;55;
05/08/20;1;;67;
06/08/20;1;;48;
07/08/20;2;;59;
08/08/20;1;;48;
09/08/20;1;;53;
10/08/20;1;;71;
11/08/20;1;;54;
12/08/20;2;;80;
13/08/20;2;;72;
14/08/20;3;;65;
15/08/20;0;;56;
16/08/20;2;;52;
17/08/20;0;;72;
18/08/20;5;;86;
19/08/20;3;;117;
20/08/20;0;;69;
21/08/20;1;;79;
22/08/20;0;;101;
23/08/20;1;;82;
24/08/20;2;;111;
25/08/20;6;;130;
26/08/20;2;;124;
27/08/20;1;;121;
28/08/20;5;;118;
29/08/20;3;;94;
30/08/20;3;;102;
31/08/20;1;;108;
01/09/20;3;;134;
02/09/20;0;;145;
03/09/20;5;;149;
04/09/20;2;;148;
05/09/20;4;;128;
06/09/20;3;;102;
07/09/20;2;;173;
08/09/20;6;;153;
09/09/20;1;;153;
10/09/20;2;;176;
11/09/20;3;;159;
12/09/20;4;;144;
13/09/20;1;;145;
14/09/20;3;;180;
15/09/20;5;;201;
16/09/20;3;;197;
17/09/20;4;;203;
18/09/20;5;;197;
