Giorno;Operatori_sanitari;Operatori_sanitari_non_consolidati;Altri;Altri_non_consolidati
28/01/20;;;10;
29/01/20;1;;13;
30/01/20;1;;20;
31/01/20;1;;22;
01/02/20;5;;35;
02/02/20;4;;30;
03/02/20;2;;20;
04/02/20;2;;18;
05/02/20;1;;26;
06/02/20;2;;18;
07/02/20;3;;12;
08/02/20;0;;15;
09/02/20;0;;14;
10/02/20;3;;48;
11/02/20;3;;18;
12/02/20;1;;45;
13/02/20;2;;39;
14/02/20;5;;55;
15/02/20;9;;127;
16/02/20;1;;77;
17/02/20;8;;119;
18/02/20;9;;143;
19/02/20;11;;110;
20/02/20;22;;335;
21/02/20;32;;262;
22/02/20;34;;311;
23/02/20;33;;424;
24/02/20;69;;524;
25/02/20;54;;684;
26/02/20;46;;609;
27/02/20;82;;679;
28/02/20;84;;977;
29/02/20;83;;849;
01/03/20;152;;1946;
02/03/20;162;;1491;
03/03/20;149;;1704;
04/03/20;181;;1389;
05/03/20;230;;1916;
06/03/20;298;;2064;
07/03/20;309;;2198;
08/03/20;372;;2582;
09/03/20;538;;2910;
10/03/20;551;;4217;
11/03/20;485;;2728;
12/03/20;554;;3087;
13/03/20;641;;3455;
14/03/20;497;;3060;
15/03/20;631;;3911;
16/03/20;668;;3458;
17/03/20;506;;2980;
18/03/20;538;;3098;
19/03/20;497;;2713;
20/03/20;616;;4048;
21/03/20;401;;2411;
22/03/20;474;;2391;
23/03/20;541;;2792;
24/03/20;467;;2167;
25/03/20;482;;2360;
26/03/20;378;;2022;
27/03/20;395;;2204;
28/03/20;391;;1956;
29/03/20;348;;1513;
30/03/20;512;;2263;
31/03/20;372;;1576;
01/04/20;449;;2551;
02/04/20;331;;1594;
03/04/20;388;;1627;
04/04/20;268;;1383;
05/04/20;245;;1227;
06/04/20;337;;1419;
07/04/20;266;;1305;
08/04/20;280;;1342;
09/04/20;226;;1227;
10/04/20;281;;1694;
11/04/20;213;;969;
12/04/20;201;;1105;
13/04/20;207;;976;
14/04/20;211;;1177;
15/04/20;221;;1358;
16/04/20;226;;1035;
17/04/20;198;;1026;
18/04/20;147;;856;
19/04/20;112;;680;
20/04/20;229;;1255;
21/04/20;143;;788;
22/04/20;154;;792;
23/04/20;160;;726;
24/04/20;138;;632;
25/04/20;101;;569;
26/04/20;71;;477;
27/04/20;111;;748;
28/04/20;94;;516;
29/04/20;87;;488;
30/04/20;80;;450;
01/05/20;63;;456;
02/05/20;56;;323;
03/05/20;49;;249;
04/05/20;61;;355;
05/05/20;43;;396;
06/05/20;52;;310;
07/05/20;55;;288;
08/05/20;37;;348;
09/05/20;32;;176;
10/05/20;30;;226;
11/05/20;35;;277;
12/05/20;33;;278;
13/05/20;32;;231;
14/05/20;36;;196;
15/05/20;32;;241;
16/05/20;19;;156;
17/05/20;18;;122;
18/05/20;24;;219;
19/05/20;21;;182;
20/05/20;23;;194;
21/05/20;13;;148;
22/05/20;8;;134;
23/05/20;8;;95;
24/05/20;5;;77;
25/05/20;11;;163;
26/05/20;8;;131;
27/05/20;13;;140;
28/05/20;3;;108;
29/05/20;2;;103;
30/05/20;3;;89;
31/05/20;1;;55;
01/06/20;8;;117;
02/06/20;3;;50;
03/06/20;4;;102;
04/06/20;5;;79;
05/06/20;8;;102;
06/06/20;8;;62;
07/06/20;6;;52;
08/06/20;6;;105;
09/06/20;6;;83;
10/06/20;5;;84;
11/06/20;4;;74;
12/06/20;2;;93;
13/06/20;3;;58;
14/06/20;5;;65;
15/06/20;3;;96;
16/06/20;7;;81;
17/06/20;5;;71;
18/06/20;5;;68;
19/06/20;7;;61;
20/06/20;0;;57;
21/06/20;3;;49;
22/06/20;1;;76;
23/06/20;1;;62;
24/06/20;4;;86;
25/06/20;1;;69;
26/06/20;1;;81;
27/06/20;3;;53;
28/06/20;2;;46;
29/06/20;1;;83;
30/06/20;0;;64;
01/07/20;2;;98;
02/07/20;4;;69;
03/07/20;2;;62;
04/07/20;2;;62;
05/07/20;3;;54;
06/07/20;2;;86;
07/07/20;1;;91;
08/07/20;1;;96;
09/07/20;0;;78;
10/07/20;3;;97;
11/07/20;2;;76;
12/07/20;2;;63;
13/07/20;1;;93;
14/07/20;2;;95;
15/07/20;5;;86;
16/07/20;3;;77;
17/07/20;2;;93;
18/07/20;3;;78;
19/07/20;2;;79;
20/07/20;4;;123;
21/07/20;5;;106;
22/07/20;4;;105;
23/07/20;6;;109;
24/07/20;5;;93;
25/07/20;6;;111;
26/07/20;2;;91;
27/07/20;3;;117;
28/07/20;4;;123;
29/07/20;4;;118;
30/07/20;3;;105;
31/07/20;6;;108;
01/08/20;5;;146;
02/08/20;6;;108;
03/08/20;4;;189;
04/08/20;4;;172;
05/08/20;7;;181;
06/08/20;4;;183;
07/08/20;4;;179;
08/08/20;5;;217;
09/08/20;6;;180;
10/08/20;9;;243;
11/08/20;10;;221;
12/08/20;6;;233;
13/08/20;5;;259;
14/08/20;4;;252;
15/08/20;11;;305;
16/08/20;8;;307;
17/08/20;14;;495;
18/08/20;13;;537;
19/08/20;17;;490;
20/08/20;12;;494;
21/08/20;17;;530;
22/08/20;15;;494;
23/08/20;12;;512;
24/08/20;14;;589;
25/08/20;22;;537;
26/08/20;16;;510;
27/08/20;11;;479;
28/08/20;15;;465;
29/08/20;9;;368;
30/08/20;11;;368;
31/08/20;15;;463;
01/09/20;21;;584;
02/09/20;22;;499;
03/09/20;19;;464;
04/09/20;15;;528;
05/09/20;22;;422;
06/09/20;15;;429;
07/09/20;22;;660;
08/09/20;30;;526;
09/09/20;15;;564;
10/09/20;24;;594;
11/09/20;27;;511;
12/09/20;19;;528;
13/09/20;16;;492;
14/09/20;34;;695;
15/09/20;25;;716;
16/09/20;20;;655;
17/09/20;29;;670;
18/09/20;19;;657;
19/09/20;20;;614;
20/09/20;17;;650;
21/09/20;27;;735;
22/09/20;21;;737;
23/09/20;24;;699;
24/09/20;24;;628;
25/09/20;29;;770;
26/09/20;30;;731;
27/09/20;26;;778;
28/09/20;43;;1039;
29/09/20;43;;962;
30/09/20;60;;1261;
01/10/20;66;;1680;
02/10/20;66;;1671;
03/10/20;78;;1829;
04/10/20;75;;1775;
05/10/20;92;;2481;
06/10/20;121;;2245;
07/10/20;114;;2693;
08/10/20;113;;2837;
09/10/20;141;;3107;
10/10/20;176;;3401;
11/10/20;147;;2964;
12/10/20;236;;4666;
13/10/20;227;;4364;
14/10/20;229;;4755;
15/10/20;248;;5192;
16/10/20;305;;5782;
17/10/20;280;;5626;
18/10/20;271;;5836;
19/10/20;396;;7555;
20/10/20;429;;8249;
21/10/20;383;;7657;
22/10/20;413;;7739;
23/10/20;462;;8339;
24/10/20;425;;7947;
25/10/20;437;;8003;
26/10/20;486;;10165;
27/10/20;453;;8736;
28/10/20;440;;9081;
29/10/20;424;;8658;
30/10/20;469;;9199;
31/10/20;411;;7789;
01/11/20;450;;10006;
02/11/20;542;;11429;
03/11/20;445;;9657;
04/11/20;534;;9841;
05/11/20;462;;9693;
06/11/20;470;;10361;
07/11/20;465;;9160;
08/11/20;409;;8439;
09/11/20;521;;10890;
10/11/20;482;;10209;
11/11/20;434;;8779;
12/11/20;475;;8552;
13/11/20;472;;9244;
14/11/20;436;;8133;
15/11/20;407;;7756;
16/11/20;514;;8906;
17/11/20;403;;7449;
18/11/20;396;;7657;
19/11/20;357;;6249;
20/11/20;437;;7372;
21/11/20;339;;5751;
22/11/20;307;;4957;
23/11/20;452;;6794;
24/11/20;423;;5814;
25/11/20;386;;6016;
26/11/20;415;;5617;
27/11/20;427;;5923;
28/11/20;385;;5473;
29/11/20;322;;4145;
30/11/20;471;;6287;
01/12/20;439;;6579;
02/12/20;459;;5778;
03/12/20;453;;5448;
04/12/20;463;;5738;
05/12/20;384;;5007;
06/12/20;331;;4327;
07/12/20;452;;5667;
08/12/20;361;;5007;
09/12/20;475;;5632;
10/12/20;441;;5616;
11/12/20;383;;5308;
12/12/20;348;;5178;
13/12/20;327;;4579;
14/12/20;462;;6037;
15/12/20;408;;5465;
16/12/20;373;;5439;
17/12/20;352;;5043;
18/12/20;372;;5278;
19/12/20;365;;4885;
20/12/20;363;;5210;
