Giorno;Operatori_sanitari;Operatori_sanitari_non_consolidati;Altri;Altri_non_consolidati
20/02/20;;;4;
21/02/20;;;2;
22/02/20;;;2;
23/02/20;;;5;
24/02/20;;;8;
25/02/20;1;;43;
26/02/20;0;;18;
27/02/20;1;;24;
28/02/20;2;;38;
29/02/20;1;;44;
01/03/20;1;;53;
02/03/20;2;;72;
03/03/20;4;;81;
04/03/20;3;;90;
05/03/20;1;;99;
06/03/20;1;;130;
07/03/20;3;;107;
08/03/20;6;;102;
09/03/20;3;;135;
10/03/20;4;;131;
11/03/20;3;;158;
12/03/20;5;;166;
13/03/20;6;;207;
14/03/20;6;;193;
15/03/20;8;;182;
16/03/20;8;;199;
17/03/20;5;;244;
18/03/20;9;;262;
19/03/20;12;;216;
20/03/20;8;;227;
21/03/20;10;;203;
22/03/20;6;;242;
23/03/20;10;;250;
24/03/20;10;;251;
25/03/20;7;;277;
26/03/20;10;;200;
27/03/20;16;;213;
28/03/20;6;;165;
29/03/20;5;;166;
30/03/20;11;;182;
31/03/20;2;;162;
01/04/20;1;;164;
02/04/20;9;;170;
03/04/20;2;;128;
04/04/20;5;;110;
05/04/20;2;;89;
06/04/20;2;;112;
07/04/20;6;;119;
08/04/20;3;;125;
09/04/20;6;;138;
10/04/20;5;;97;
11/04/20;2;;84;
12/04/20;6;;56;
13/04/20;2;;50;
14/04/20;2;;69;
15/04/20;3;;67;
16/04/20;2;;67;
17/04/20;0;;83;
18/04/20;5;;74;
19/04/20;1;;77;
20/04/20;1;;91;
21/04/20;2;;65;
22/04/20;6;;83;
23/04/20;8;;77;
24/04/20;2;;72;
25/04/20;5;;69;
26/04/20;4;;65;
27/04/20;4;;51;
28/04/20;2;;53;
29/04/20;2;;61;
30/04/20;8;;49;
01/05/20;3;;49;
02/05/20;3;;42;
03/05/20;1;;32;
04/05/20;1;;41;
05/05/20;3;;36;
06/05/20;1;;55;
07/05/20;0;;32;
08/05/20;1;;36;
09/05/20;1;;25;
10/05/20;3;;17;
11/05/20;0;;27;
12/05/20;0;;19;
13/05/20;0;;28;
14/05/20;0;;33;
15/05/20;2;;27;
16/05/20;1;;23;
17/05/20;1;;19;
18/05/20;1;;12;
19/05/20;0;;20;
20/05/20;1;;16;
21/05/20;1;;17;
22/05/20;0;;12;
23/05/20;1;;14;
24/05/20;1;;12;
25/05/20;1;;13;
26/05/20;0;;16;
27/05/20;0;;10;
28/05/20;0;;4;
29/05/20;1;;13;
30/05/20;0;;8;
31/05/20;0;;6;
01/06/20;0;;7;
02/06/20;0;;7;
03/06/20;0;;3;
04/06/20;0;;9;
05/06/20;0;;9;
06/06/20;0;;10;
07/06/20;0;;7;
08/06/20;1;;5;
09/06/20;0;;10;
10/06/20;0;;11;
11/06/20;0;;8;
12/06/20;0;;5;
13/06/20;0;;4;
14/06/20;0;;5;
15/06/20;0;;8;
16/06/20;0;;9;
17/06/20;0;;4;
18/06/20;0;;6;
19/06/20;0;;9;
20/06/20;0;;6;
21/06/20;0;;5;
22/06/20;0;;7;
23/06/20;0;;1;
24/06/20;1;;9;
25/06/20;0;;6;
26/06/20;0;;8;
27/06/20;0;;2;
28/06/20;0;;3;
29/06/20;0;;2;
30/06/20;0;;5;
01/07/20;0;;5;
02/07/20;0;;4;
03/07/20;0;;0;
04/07/20;0;;4;
05/07/20;0;;2;
06/07/20;0;;2;
07/07/20;0;;2;
08/07/20;1;;2;
09/07/20;0;;3;
10/07/20;0;;4;
11/07/20;0;;0;
12/07/20;0;;2;
13/07/20;0;;3;
14/07/20;0;;4;
15/07/20;0;;3;
16/07/20;0;;3;
