Giorno;Positivi;Positivi_non_consolidati;Sintomatici;Sintomatici_non_consolidati
28/01/20;null;;null;
29/01/20;null;;null;
30/01/20;null;;null;
31/01/20;null;;null;
01/02/20;null;;null;
02/02/20;null;;null;
03/02/20;null;;null;
04/02/20;null;;null;
05/02/20;null;;null;
06/02/20;null;;null;
07/02/20;null;;null;
08/02/20;null;;null;
09/02/20;null;;null;
10/02/20;null;;null;
11/02/20;null;;null;
12/02/20;null;;null;
13/02/20;null;;null;
14/02/20;null;;null;
15/02/20;null;;null;
16/02/20;null;;null;
17/02/20;null;;null;
18/02/20;null;;null;
19/02/20;null;;null;
20/02/20;null;;null;
21/02/20;null;;null;
22/02/20;null;;null;
23/02/20;2,186344278;;2,233605054;
24/02/20;2,33255695;;2,380817549;
25/02/20;2,467296661;;2,512004927;
26/02/20;2,576678851;;2,616468651;
27/02/20;2,648748732;;2,678426936;
28/02/20;2,68995896;;2,710871152;
29/02/20;2,712402406;;2,728652123;
01/03/20;2,725460267;;2,736951449;
02/03/20;2,718449808;;2,72530298;
03/03/20;2,692161909;;2,693437961;
04/03/20;2,61594519;;2,610976564;
05/03/20;2,56399491;;2,553825426;
06/03/20;2,503820392;;2,489401005;
07/03/20;2,436131454;;2,419005743;
08/03/20;2,369843349;;2,351092982;
09/03/20;2,310916641;;2,289105365;
10/03/20;2,272807186;;2,249318434;
11/03/20;2,218692999;;2,194077726;
12/03/20;2,154637223;;2,128495922;
13/03/20;2,090018677;;2,063642075;
14/03/20;2,006381291;;1,98050669;
15/03/20;1,947362873;;1,921599145;
16/03/20;1,887506196;;1,862699881;
17/03/20;1,824350598;;1,800669332;
18/03/20;1,75313843;;1,730722732;
19/03/20;1,675032865;;1,653911251;
20/03/20;1,601151416;;1,580991689;
21/03/20;1,522258464;;1,503386115;
22/03/20;1,441505617;;1,424461328;
23/03/20;1,364229247;;1,34883671;
24/03/20;1,293956152;;1,279487936;
25/03/20;1,22687224;;1,212992729;
26/03/20;1,162999621;;1,14947415;
27/03/20;1,104012841;;1,090471904;
28/03/20;1,049974907;;1,036248603;
29/03/20;0,995006636;;0,981174644;
30/03/20;0,947471288;;0,933042143;
31/03/20;0,903792184;;0,888661071;
01/04/20;0,871369764;;0,855178271;
02/04/20;0,844016991;;0,826606065;
03/04/20;0,820803176;;0,802057202;
04/04/20;0,80361413;;0,783419945;
05/04/20;0,790517928;;0,768924647;
06/04/20;0,781168721;;0,757959875;
07/04/20;0,771388515;;0,746812411;
08/04/20;0,765639175;;0,740387267;
09/04/20;0,762900644;;0,737273954;
10/04/20;0,764216904;;0,738220049;
11/04/20;0,766682062;;0,740800983;
12/04/20;0,767604888;;0,742838713;
13/04/20;0,764589487;;0,741703394;
14/04/20;0,764142727;;0,743804138;
15/04/20;0,763697917;;0,745898207;
16/04/20;0,765822845;;0,751053211;
17/04/20;0,762518611;;0,750802316;
18/04/20;0,760334705;;0,752436546;
19/04/20;0,758109345;;0,753898361;
20/04/20;0,757304413;;0,756881221;
21/04/20;0,756419361;;0,759812516;
22/04/20;0,754485356;;0,761381614;
23/04/20;0,75392597;;0,763557066;
24/04/20;0,750309073;;0,761448079;
25/04/20;0,747363794;;0,759471477;
26/04/20;0,746707787;;0,758533111;
27/04/20;0,745646482;;0,756008435;
28/04/20;0,745457377;;0,753178887;
29/04/20;0,736474049;;0,739829257;
30/04/20;0,728017663;;0,725357422;
01/05/20;0,717872758;;0,709071555;
02/05/20;0,70774809;;0,692954802;
03/05/20;0,699513787;;0,678830562;
04/05/20;0,68776453;;0,66061545;
05/05/20;0,678366766;;0,645190298;
06/05/20;0,670497944;;0,630662948;
07/05/20;0,663440426;;0,618751323;
08/05/20;0,652458449;;0,605944068;
09/05/20;0,643779545;;0,596603;
10/05/20;0,63953162;;0,592195377;
11/05/20;0,637737156;;0,590218673;
12/05/20;0,638280677;;0,591592986;
13/05/20;0,634760273;;0,592361556;
14/05/20;0,630729043;;0,595017265;
15/05/20;0,628165757;;0,600023548;
16/05/20;0,629825581;;0,608800474;
