Data;>=80 anni;>=80 anni_non_consolidati;Altri;Altri_non_consolidati
20/02/20;44;;48;
21/02/20;46;;76;
22/02/20;24;;82;
23/02/20;34;;118;
24/02/20;47;;144;
25/02/20;74;;195;
26/02/20;95;;181;
27/02/20;102;;217;
28/02/20;119;;260;
29/02/20;114;;259;
01/03/20;120;;324;
02/03/20;198;;467;
03/03/20;234;;584;
04/03/20;206;;709;
05/03/20;273;;817;
06/03/20;284;;949;
07/03/20;320;;886;
08/03/20;286;;874;
09/03/20;337;;1117;
10/03/20;380;;1217;
11/03/20;399;;1356;
12/03/20;442;;1463;
13/03/20;537;;1791;
14/03/20;447;;1547;
15/03/20;453;;1448;
16/03/20;517;;1974;
17/03/20;519;;2150;
18/03/20;557;;2152;
19/03/20;574;;2212;
20/03/20;645;;2211;
21/03/20;596;;1944;
22/03/20;537;;1655;
23/03/20;621;;2090;
24/03/20;598;;2021;
25/03/20;637;;1692;
26/03/20;553;;1565;
27/03/20;619;;1607;
28/03/20;482;;1262;
29/03/20;431;;1005;
30/03/20;508;;1178;
31/03/20;442;;1134;
01/04/20;490;;1006;
02/04/20;423;;1039;
03/04/20;403;;854;
04/04/20;362;;653;
05/04/20;299;;538;
06/04/20;349;;663;
07/04/20;381;;633;
08/04/20;320;;715;
09/04/20;350;;643;
10/04/20;364;;535;
11/04/20;322;;486;
12/04/20;296;;365;
13/04/20;253;;369;
14/04/20;368;;469;
15/04/20;246;;442;
16/04/20;254;;441;
17/04/20;269;;437;
18/04/20;251;;318;
19/04/20;223;;238;
20/04/20;271;;377;
21/04/20;254;;325;
22/04/20;261;;323;
23/04/20;235;;339;
24/04/20;221;;320;
25/04/20;181;;244;
26/04/20;148;;201;
27/04/20;159;;263;
28/04/20;170;;246;
29/04/20;154;;247;
30/04/20;139;;214;
01/05/20;110;;160;
02/05/20;94;;140;
03/05/20;72;;108;
04/05/20;112;;172;
05/05/20;96;;179;
06/05/20;120;;161;
07/05/20;98;;166;
08/05/20;108;;166;
09/05/20;64;;100;
10/05/20;57;;97;
11/05/20;76;;149;
12/05/20;72;;105;
13/05/20;72;;106;
14/05/20;63;;124;
15/05/20;69;;122;
16/05/20;50;;84;
17/05/20;51;;64;
18/05/20;45;;104;
19/05/20;51;;92;
20/05/20;47;;91;
21/05/20;35;;73;
22/05/20;35;;76;
23/05/20;37;;51;
24/05/20;31;;50;
25/05/20;49;;89;
26/05/20;39;;64;
27/05/20;27;;70;
28/05/20;24;;52;
29/05/20;32;;61;
30/05/20;32;;47;
31/05/20;20;;27;
01/06/20;37;;63;
02/06/20;26;;33;
03/06/20;27;;53;
04/06/20;28;;43;
05/06/20;31;;47;
06/06/20;18;;28;
07/06/20;12;;30;
08/06/20;27;;65;
09/06/20;20;;44;
10/06/20;18;;50;
11/06/20;16;;37;
12/06/20;25;;41;
13/06/20;20;;38;
14/06/20;22;;26;
15/06/20;16;;48;
16/06/20;18;;32;
17/06/20;17;;39;
18/06/20;19;;43;
19/06/20;27;;42;
20/06/20;12;;22;
21/06/20;12;;28;
22/06/20;22;;48;
23/06/20;16;;34;
24/06/20;16;;49;
25/06/20;14;;50;
26/06/20;16;;53;
27/06/20;9;;27;
28/06/20;8;;21;
29/06/20;21;;49;
30/06/20;15;;44;
01/07/20;15;;34;
02/07/20;22;;42;
03/07/20;23;;46;
04/07/20;10;;26;
05/07/20;18;;29;
06/07/20;19;;37;
07/07/20;15;;30;
08/07/20;9;;46;
09/07/20;10;;34;
10/07/20;21;;40;
11/07/20;13;;32;
12/07/20;6;;29;
13/07/20;11;;47;
14/07/20;12;;36;
15/07/20;10;;43;
16/07/20;16;;37;
17/07/20;14;;61;
18/07/20;18;;26;
19/07/20;9;;25;
20/07/20;13;;47;
21/07/20;14;;51;
22/07/20;13;;43;
23/07/20;8;;51;
24/07/20;18;;38;
25/07/20;14;;44;
26/07/20;9;;32;
27/07/20;9;;41;
28/07/20;10;;47;
29/07/20;9;;41;
30/07/20;11;;41;
31/07/20;18;;53;
01/08/20;15;;50;
02/08/20;14;;34;
03/08/20;19;;57;
04/08/20;14;;45;
05/08/20;20;;53;
06/08/20;15;;38;
07/08/20;14;;51;
08/08/20;13;;44;
09/08/20;10;;50;
10/08/20;18;;61;
11/08/20;14;;44;
12/08/20;24;;63;
13/08/20;19;;58;
14/08/20;19;;60;
15/08/20;13;;47;
16/08/20;18;;44;
17/08/20;15;;66;
18/08/20;21;;82;
19/08/20;23;;104;
20/08/20;12;;65;
21/08/20;12;;79;
22/08/20;18;;93;
23/08/20;15;;74;
24/08/20;23;;94;
25/08/20;33;;106;
26/08/20;33;;109;
27/08/20;27;;108;
28/08/20;28;;107;
29/08/20;16;;91;
30/08/20;13;;100;
31/08/20;18;;104;
01/09/20;25;;126;
02/09/20;29;;136;
03/09/20;31;;148;
04/09/20;29;;135;
05/09/20;20;;127;
06/09/20;21;;99;
07/09/20;36;;164;
08/09/20;38;;132;
09/09/20;44;;135;
10/09/20;51;;149;
11/09/20;45;;142;
12/09/20;39;;142;
13/09/20;24;;149;
14/09/20;41;;166;
15/09/20;55;;173;
16/09/20;41;;185;
17/09/20;38;;195;
18/09/20;54;;182;
19/09/20;43;;146;
20/09/20;31;;137;
21/09/20;45;;195;
22/09/20;32;;216;
23/09/20;52;;189;
24/09/20;49;;191;
25/09/20;52;;208;
26/09/20;50;;168;
27/09/20;31;;160;
28/09/20;48;;210;
29/09/20;57;;220;
30/09/20;53;;189;
01/10/20;80;;236;
02/10/20;89;;254;
03/10/20;87;;269;
04/10/20;75;;247;
05/10/20;108;;316;
06/10/20;116;;353;
07/10/20;116;;346;
08/10/20;116;;396;
09/10/20;139;;416;
10/10/20;136;;429;
11/10/20;143;;443;
12/10/20;192;;544;
13/10/20;173;;633;
14/10/20;191;;636;
15/10/20;245;;698;
16/10/20;226;;718;
17/10/20;287;;823;
18/10/20;266;;776;
19/10/20;322;;959;
20/10/20;365;;1023;
21/10/20;359;;1050;
22/10/20;376;;1134;
23/10/20;438;;1268;
24/10/20;427;;1146;
25/10/20;441;;1220;
26/10/20;525;;1443;
27/10/20;532;;1431;
28/10/20;500;;1503;
29/10/20;564;;1538;
30/10/20;615;;1671;
31/10/20;588;;1483;
01/11/20;526;;1402;
02/11/20;670;;1753;
03/11/20;667;;1813;
04/11/20;736;;1863;
05/11/20;756;;1865;
06/11/20;715;;1845;
07/11/20;683;;1749;
08/11/20;632;;1553;
09/11/20;705;;1788;
10/11/20;780;;1746;
11/11/20;786;;1849;
12/11/20;757;;1777;
13/11/20;790;;1767;
14/11/20;709;;1609;
15/11/20;615;;1394;
