Data;>=80 anni;>=80 anni_non_consolidati;Altri;Altri_non_consolidati
28/01/20;2;;10;
29/01/20;4;;13;
30/01/20;1;;22;
31/01/20;5;;21;
01/02/20;3;;39;
02/02/20;7;;28;
03/02/20;8;;16;
04/02/20;9;;14;
05/02/20;5;;23;
06/02/20;4;;19;
07/02/20;4;;14;
08/02/20;7;;8;
09/02/20;5;;10;
10/02/20;15;;41;
11/02/20;9;;12;
12/02/20;11;;38;
13/02/20;8;;36;
14/02/20;17;;45;
15/02/20;24;;115;
16/02/20;16;;65;
17/02/20;21;;110;
18/02/20;25;;129;
19/02/20;23;;106;
20/02/20;75;;306;
21/02/20;47;;256;
22/02/20;54;;315;
23/02/20;86;;392;
24/02/20;98;;523;
25/02/20;133;;644;
26/02/20;126;;567;
27/02/20;159;;653;
28/02/20;196;;946;
29/02/20;198;;806;
01/03/20;446;;1817;
02/03/20;307;;1496;
03/03/20;405;;1623;
04/03/20;306;;1437;
05/03/20;409;;1958;
06/03/20;438;;2220;
07/03/20;491;;2354;
08/03/20;492;;2847;
09/03/20;604;;3328;
10/03/20;842;;4600;
11/03/20;518;;3192;
12/03/20;668;;3571;
13/03/20;743;;3982;
14/03/20;674;;3421;
15/03/20;860;;4336;
16/03/20;756;;3961;
17/03/20;681;;3356;
18/03/20;796;;3423;
19/03/20;686;;3072;
20/03/20;1115;;4234;
21/03/20;711;;2605;
22/03/20;701;;2650;
23/03/20;819;;2994;
24/03/20;728;;2331;
25/03/20;782;;2458;
26/03/20;658;;2111;
27/03/20;778;;2232;
28/03/20;733;;1953;
29/03/20;578;;1523;
30/03/20;828;;2251;
31/03/20;569;;1588;
01/04/20;985;;2371;
02/04/20;698;;1467;
03/04/20;686;;1561;
04/04/20;571;;1304;
05/04/20;522;;1165;
06/04/20;602;;1360;
07/04/20;591;;1221;
08/04/20;559;;1247;
09/04/20;502;;1117;
10/04/20;803;;1378;
11/04/20;464;;837;
12/04/20;560;;881;
13/04/20;449;;854;
14/04/20;518;;1039;
15/04/20;633;;1097;
16/04/20;459;;913;
17/04/20;413;;921;
18/04/20;405;;716;
19/04/20;328;;557;
20/04/20;578;;1019;
21/04/20;366;;644;
22/04/20;299;;733;
