Data;>=80 anni;>=80 anni_non_consolidati;Altri;Altri_non_consolidati
20/02/20;3;;2;
21/02/20;0;;2;
22/02/20;0;;3;
23/02/20;0;;5;
24/02/20;1;;9;
25/02/20;9;;37;
26/02/20;3;;16;
27/02/20;4;;22;
28/02/20;5;;35;
29/02/20;5;;43;
01/03/20;9;;48;
02/03/20;6;;71;
03/03/20;9;;85;
04/03/20;6;;100;
05/03/20;7;;102;
06/03/20;13;;130;
07/03/20;3;;125;
08/03/20;9;;110;
09/03/20;9;;148;
10/03/20;7;;149;
11/03/20;9;;182;
12/03/20;14;;184;
13/03/20;13;;233;
14/03/20;14;;213;
15/03/20;14;;200;
16/03/20;7;;231;
17/03/20;14;;272;
18/03/20;14;;295;
19/03/20;14;;260;
20/03/20;12;;276;
21/03/20;18;;231;
22/03/20;17;;279;
23/03/20;22;;303;
24/03/20;21;;286;
25/03/20;26;;313;
26/03/20;20;;225;
27/03/20;19;;245;
28/03/20;15;;185;
29/03/20;12;;184;
30/03/20;15;;208;
31/03/20;16;;174;
01/04/20;17;;175;
02/04/20;19;;170;
03/04/20;13;;133;
04/04/20;13;;111;
05/04/20;6;;93;
06/04/20;14;;112;
07/04/20;33;;105;
08/04/20;25;;116;
09/04/20;39;;115;
10/04/20;23;;88;
11/04/20;16;;72;
12/04/20;14;;54;
13/04/20;8;;47;
14/04/20;18;;62;
15/04/20;21;;60;
16/04/20;12;;60;
17/04/20;18;;70;
18/04/20;27;;57;
19/04/20;32;;53;
20/04/20;38;;57;
21/04/20;27;;46;
22/04/20;30;;61;
23/04/20;30;;59;
24/04/20;30;;46;
25/04/20;36;;42;
26/04/20;25;;49;
27/04/20;23;;35;
28/04/20;20;;38;
29/04/20;17;;53;
30/04/20;22;;35;
01/05/20;25;;28;
02/05/20;16;;31;
03/05/20;9;;25;
04/05/20;16;;27;
05/05/20;11;;32;
06/05/20;28;;33;
07/05/20;11;;24;
08/05/20;17;;21;
09/05/20;6;;21;
10/05/20;8;;13;
11/05/20;13;;14;
12/05/20;8;;12;
13/05/20;13;;18;
14/05/20;13;;20;
15/05/20;12;;20;
16/05/20;6;;19;
17/05/20;10;;10;
18/05/20;5;;9;
19/05/20;10;;12;
20/05/20;2;;16;
21/05/20;5;;13;
22/05/20;2;;11;
23/05/20;8;;7;
24/05/20;5;;8;
25/05/20;5;;10;
26/05/20;10;;6;
27/05/20;2;;8;
28/05/20;2;;4;
29/05/20;10;;8;
30/05/20;0;;9;
31/05/20;2;;5;
01/06/20;3;;6;
02/06/20;3;;5;
03/06/20;3;;2;
04/06/20;4;;5;
05/06/20;2;;8;
06/06/20;3;;8;
07/06/20;3;;4;
08/06/20;2;;4;
09/06/20;5;;5;
10/06/20;4;;8;
11/06/20;3;;5;
12/06/20;1;;5;
13/06/20;3;;1;
14/06/20;1;;4;
15/06/20;5;;3;
16/06/20;2;;7;
17/06/20;0;;4;
18/06/20;4;;5;
19/06/20;5;;5;
20/06/20;2;;4;
21/06/20;2;;3;
22/06/20;2;;5;
23/06/20;2;;0;
24/06/20;2;;8;
25/06/20;3;;3;
26/06/20;3;;5;
27/06/20;0;;2;
