Giorno;Operatori_sanitari;Altri;Operatori_sanitari_non_consolidati;Altri_non_consolidati
28/01/20;;;;
29/01/20;;;;
30/01/20;;;;
31/01/20;;;;
01/02/20;;;;
02/02/20;;;;
03/02/20;;;;
04/02/20;;;;
05/02/20;;;;
06/02/20;;;;
07/02/20;;;;
08/02/20;;;;
09/02/20;;;;
10/02/20;;;;
11/02/20;;;;
12/02/20;;;;
13/02/20;;;;
14/02/20;;;;
15/02/20;;;;
16/02/20;;;;
17/02/20;;;;
18/02/20;;;;
19/02/20;;;;
20/02/20;;83;;
21/02/20;1;116;;
22/02/20;7;97;;
23/02/20;7;137;;
24/02/20;12;164;;
25/02/20;18;240;;
26/02/20;19;244;;
27/02/20;18;289;;
28/02/20;23;330;;
29/02/20;9;349;;
01/03/20;14;412;;
02/03/20;38;587;;
03/03/20;25;728;;
04/03/20;45;799;;
05/03/20;40;989;;
06/03/20;62;1081;;
07/03/20;47;1016;;
08/03/20;40;1013;;
09/03/20;65;1233;;
10/03/20;84;1351;;
11/03/20;93;1455;;
12/03/20;88;1600;;
13/03/20;109;1943;;
14/03/20;100;1689;;
15/03/20;98;1601;;
16/03/20;154;2098;;
17/03/20;116;2269;;
18/03/20;126;2292;;
19/03/20;138;2301;;
20/03/20;122;2356;;
21/03/20;98;2063;;
22/03/20;73;1832;;
23/03/20;108;2218;;
24/03/20;94;2175;;
25/03/20;77;1970;;
26/03/20;103;1768;;
27/03/20;112;1844;;
28/03/20;78;1458;;
29/03/20;67;1217;;
30/03/20;77;1406;;
31/03/20;93;1318;;
01/04/20;78;1261;;
02/04/20;102;1228;;
03/04/20;83;1036;;
04/04/20;52;838;;
05/04/20;50;693;;
06/04/20;58;865;;
07/04/20;60;837;;
08/04/20;70;872;;
09/04/20;69;848;;
10/04/20;55;758;;
11/04/20;64;644;;
12/04/20;45;545;;
13/04/20;24;522;;
14/04/20;56;698;;
15/04/20;50;571;;
16/04/20;38;596;;
17/04/20;62;593;;
18/04/20;28;482;;
19/04/20;26;390;;
20/04/20;45;536;;
21/04/20;34;485;;
22/04/20;40;493;;
23/04/20;42;470;;
24/04/20;27;464;;
25/04/20;18;352;;
26/04/20;15;301;;
27/04/20;31;365;;
28/04/20;26;363;;
