Giorno;Positivi;Sintomatici;Positivi_non_consolidati;Sintomatici_non_consolidati
28/01/20;null;;null;
29/01/20;null;;null;
30/01/20;null;;null;
31/01/20;null;;null;
01/02/20;null;;null;
02/02/20;null;;null;
03/02/20;null;;null;
04/02/20;null;;null;
05/02/20;null;;null;
06/02/20;null;;null;
07/02/20;null;;null;
08/02/20;null;;null;
09/02/20;null;;null;
10/02/20;null;;null;
11/02/20;null;;null;
12/02/20;null;;null;
13/02/20;null;;null;
14/02/20;null;;null;
15/02/20;null;;null;
16/02/20;null;;null;
17/02/20;null;;null;
18/02/20;null;;null;
19/02/20;null;;null;
20/02/20;null;;null;
21/02/20;null;;null;
22/02/20;null;;null;
23/02/20;2,186344278;;2,229953388;
24/02/20;2,33255695;;2,376768562;
25/02/20;2,467296661;;2,508510278;
26/02/20;2,576678851;;2,613764471;
27/02/20;2,648748732;;2,676621516;
28/02/20;2,68995896;;2,710148952;
29/02/20;2,712402406;;2,728230599;
01/03/20;2,725460267;;2,7367512;
02/03/20;2,718449808;;2,725271083;
03/03/20;2,692140143;;2,693518926;
04/03/20;2,615908004;;2,611184285;
05/03/20;2,563947742;;2,554074132;
06/03/20;2,50376814;;2,489669802;
07/03/20;2,43607814;;2,419235704;
08/03/20;2,369803125;;2,351225662;
09/03/20;2,310898474;;2,289184713;
10/03/20;2,272799906;;2,24926953;
11/03/20;2,218696428;;2,194051704;
12/03/20;2,15465109;;2,128443518;
13/03/20;2,090048405;;2,063661171;
14/03/20;2,006419738;;1,980567597;
15/03/20;1,947414755;;1,921640032;
16/03/20;1,887570084;;1,862708015;
17/03/20;1,824408461;;1,800629742;
18/03/20;1,753188259;;1,730664419;
19/03/20;1,675073267;;1,653841267;
20/03/20;1,601188262;;1,580932446;
21/03/20;1,522289335;;1,503337874;
22/03/20;1,441535048;;1,424414772;
23/03/20;1,364260984;;1,348783201;
24/03/20;1,293985523;;1,279418653;
25/03/20;1,226904342;;1,212918857;
26/03/20;1,163032248;;1,149402859;
27/03/20;1,104045702;;1,09039821;
28/03/20;1,050005459;;1,036181722;
29/03/20;0,995034186;;0,98111699;
30/03/20;0,947494695;;0,932999305;
31/03/20;0,903813955;;0,888637698;
01/04/20;0,871388789;;0,855181377;
02/04/20;0,844032452;;0,82663482;
03/04/20;0,820813276;;0,802100977;
04/04/20;0,803619594;;0,783493886;
05/04/20;0,790508936;;0,769015115;
06/04/20;0,781143722;;0,758068451;
07/04/20;0,771351653;;0,746938831;
08/04/20;0,765589128;;0,740506003;
09/04/20;0,762840735;;0,737381784;
10/04/20;0,764147494;;0,738336335;
11/04/20;0,766609286;;0,740918309;
12/04/20;0,767529763;;0,742956869;
13/04/20;0,764520376;;0,741817437;
14/04/20;0,764077309;;0,74390338;
15/04/20;0,763639268;;0,746005802;
16/04/20;0,765780418;;0,751169744;
17/04/20;0,762488172;;0,750939773;
18/04/20;0,760318229;;0,752573921;
19/04/20;0,758113174;;0,754059444;
20/04/20;0,757327673;;0,757056648;
21/04/20;0,756461305;;0,760006282;
22/04/20;0,754535363;;0,761596056;
23/04/20;0,753989002;;0,763780586;
24/04/20;0,750382272;;0,761655362;
25/04/20;0,747443475;;0,759649264;
26/04/20;0,746799359;;0,758697405;
27/04/20;0,745741259;;0,75617828;
28/04/20;0,745556075;;0,753370895;
29/04/20;0,736571526;;0,740006977;
30/04/20;0,728104853;;0,725533772;
01/05/20;0,717946652;;0,709263449;
02/05/20;0,707805535;;0,693150555;
03/05/20;0,699565728;;0,679046214;
04/05/20;0,687810753;;0,660850594;
05/05/20;0,678405972;;0,645447829;
06/05/20;0,67052899;;0,630988759;
07/05/20;0,663455227;;0,619161847;
08/05/20;0,652459138;;0,606419071;
09/05/20;0,643767794;;0,59713813;
10/05/20;0,639500557;;0,592787212;
11/05/20;0,637681622;;0,590826945;
12/05/20;0,638214179;;0,592201005;
13/05/20;0,634667794;;0,592906953;
14/05/20;0,630607012;;0,595517162;
15/05/20;0,628020807;;0,600448551;
16/05/20;0,629664417;;0,609179844;
