Data;Studenti in quarantena;Personale scolastico in quarantena;Totale persone in quarantena nelle settimane di rilevazione ;Numero di classi in quarantena nella settimana di rilevazione ;Numero di classi in quarantena servizi educativi 0-3 anni ;Numero di classi in quarantena scuole infanzia 3-6 anni ;Numero di classi in quarantena scuola primaria ;Numero di classi in quarantena scuola secondaria di primo grado ;Numero di classi in quarantena scuola secondaria di secondo grado 
03/01/2022 - 09/01/2022;981;176;1.157;67;12;8;22;12;13
10/01/2022 - 16/01/2022;13133;395;13.528;969;122;286;340;67;154
17/01/2022 - 23/01/2022;36.344;1087;37.431;2334;202;690;882;252;308
24/01/2022 - 30/01/2022;61.537;945;62.482;3367;346;904;1372;341;404
31/01/2022 - 06/02/2022;43.535;588;44.123;2246;228;655;927;228;208
07/02/2022 - 13/02/2022;9.467;37;9.504;701;50;144;189;144;174
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
