Settimana di rilevazione;Numero totale di tamponi MOLECOLARI eseguiti (Studenti+Personale scolastico);Numero totale di tamponi MOLECOLARI eseguiti (Studenti);Numero totale di tamponi MOLECOLARI positivi (Studenti);Numero totale di tamponi MOLECOLARI eseguiti (Personale scolastico);Numero totale di tamponi MOLECOLARI positivi (Personale scolastico);Numero totale di tamponi ANTIGENICI eseguiti (Studenti+Personale scolastico);Numero totale di tamponi ANTIGENICI eseguiti (Studenti);Numero totale di tamponi ANTIGENICI positivi (Studenti);Numero totale di tamponi ANTIGENICI eseguiti (Personale scolastico);Numero totale di tamponi ANTIGENICI positivi (Personale scolastico);Numero totale di persone in QUARANTENA perché contatti stretti (Studenti+Personale scolastico);Numero totale di persone in QUARANTENA perché contatti stretti (Studenti);Numero totale di persone in QUARANTENA perché contatti stretti (Personale scolastico);Numero di FOCOLAI ATTIVI nelle scuole;Numero di FOCOLAI nelle scuole dal 13/09/2021;Numero di CLASSI in QUARANTENA nella settimana di rilevazione ;QUARANTENA SERV. EDUCATIVI 0-3 ann ;QUARANTENA SCUOLA INFANZIA 3-6 anni;QUARANTENA SCUOLA PRIMARIA;QUARANTENA SCUOLA SECONDARIA PRIMO GRADO;QUARANTENA SCUOLA SECONDARIA SECONDO GRADO;QUARANTENA UNIVERSITÀ;Numero delle PERSONE della scuola in QUARANTENA nella settimana di rilevazione ;Numero delle PERSONE della scuola in QUARANTENA nella settimana di rilevazione (Studenti);Numero delle PERSONE della scuola in QUARANTENA nella settimana di rilevazione (Personale scolastico)
13/09/2021 - 19/09/2021;3000;2501;187;499;28;60;58;0;2;0;1338;1247;91;21;25;60;7;21;15;6;11;0;1311;1222;89
20/09/2021 - 26/09/2021;9388;7817;380;1571;44;413;394;0;19;0;3334;3133;201;45;57;103;13;26;28;21;15;0;2859;2681;178
27/09/2021 - 03/10/2021;16398;13639;638;2759;71;969;940;23;29;0;5690;5329;361;91;124;126;12;43;38;19;14;0;3592;3389;203
04/10/2021 - 10/10/2021;24147;20204;886;3943;89;1611;1538;43;73;0;7741;7220;521;89;159;115;11;36;30;18;20;0;2874;2682;192
11/10/2021 - 17/10/2021;28599;23985;1041;4614;103;1935;1844;45;91;0;8405;7846;559;71;185;104;10;27;35;9;22;1;1868;1739;129
18/10/2021 - 24/10/2021;35634;29838;1379;5796;135;2156;2064;56;92;0;11022;10302;720;88;248;118;13;17;55;25;8;0;3245;3052;193
25/10/2021 - 31/10/2021;45625;38362;1775;7263;182;2660;2557;56;103;0;14015;12978;1037;126;328;183;16;21;83;32;31;0;3978;3601;377
01/11/2021 - 07/11/2021;55712;46910;2151;8802;241;2954;2835;59;119;0;17339;16049;1290;152;440;145;11;37;60;27;10;0;3811;3523;288
08/11/2021 - 14/11/2021;71043;60227;2914;10816;327;3833;3580;73;253;1;20724;19161;1563;169;553;190;17;47;66;38;22;0;4697;4327;370
15/11/2021 - 21/11/2021;96158;82793;4089;13365;448;4697;4259;88;438;1;25348;23345;2003;309;793;324;20;80;121;65;38;0;7318;6675;643
22/11/2021 - 28/11/2021;126166;110233;5507;15933;635;5687;5005;106;682;3;31353;28874;2479;431;1060;413;34;81;138;93;67;0;9752;9039;713
29/11/2021 - 05/12/2021;157795;139071;7289;18724;855;6720;5784;120;936;9;38451;35428;3023;540;1374;573;40;103;233;124;73;0;10378;9591;787
06/12/2021 - 12/12/2021;187808;166042;9331;21766;1122;8090;6904;158;1186;15;46118;42933;3185;582;1729;527;31;104;215;110;67;0;11193;10488;705
13/12/2021 - 19/12/2021;219253;195218;11624;24035;1359;9752;8432;194;1320;15;54648;50690;3958;683;2224;629;43;125;259;123;79;0;12906;12234;672
20/12/2021 - 26/12/2021;243200;217185;13982;26015;1689;11152;9742;224;1410;18;63157;58669;4488;588;2612;691;49;126;278;143;95;0;12280;11533;747
27/12/2021 - 02/01/2022;261519;233674;17276;27845;2081;11591;10147;243;1444;20;67642;62777;4865;614;3072;330;31;71;102;54;72;0;6440;5926;514
03/01/2022 - 09/01/2022;268571;240148;20187;28423;2475;11591;10147;243;1444;20;68166;63239;4927;191;3200;67;12;8;22;12;13;0;1157;981;176
10/01/2022 - 16/01/2022;282789;253242;24560;29547;2906;11591;10147;243;1444;20;79660;74478;5182;748;3944;969;122;286;340;67;154;0;13528;13133;395
17/01/2022 - 23/01/2022;303762;272912;34072;30850;3934;12561;11077;1760;1484;21;104546;98758;5788;2415;5593;2225;191;670;846;226;292;0;36717;35647;1070
