ATS;Scuola infanzia / nido;;;Scuola primaria;;;Scuola secondaria primo grado;;;Scuola secondaria - secondo grado;;;Non disponibile tipologia scuola;;;Totale;;
;classi;alunni;operatori scolastici;classi;alunni;operatori scolastici;classi;alunni;operatori scolastici;classi;alunni;operatori scolastici;classi;alunni;operatori scolastici;classi;alunni;operatori scolastici
321 - MILANO;471;6.243;707;681;7.323;421;280;2.268;35;406;3.133;4;0;0;0;1.838;18.967;1.167
Milano;450;5.985;673;632;6.787;392;267;2.246;35;394;3.071;4;0;0;0;1.743;18.089;1.104
Lodi;21;258;34;49;536;29;13;22;0;12;62;0;0;0;0;95;878;63
322 - INSUBRIA;286;3.856;355;272;3.342;179;145;1.663;6;202;1.475;39;0;0;0;905;10.336;579
Como;121;2.295;201;122;1.973;105;82;858;2;102;649;16;0;0;0;427;5.775;324
Varese;165;1.561;154;150;1.369;74;63;805;4;100;826;23;0;0;0;478;4.561;255
323 - MONTAGNA;61;1.014;63;55;800;18;15;276;6;25;327;2;0;0;0;156;2.417;89
Sondrio;38;467;59;30;429;18;9;147;5;25;327;2;0;0;0;102;1.370;84
Como;3;41;4;1;19;0;2;39;1;0;0;0;0;0;0;6;99;5
Brescia;20;506;0;24;352;0;4;90;0;0;0;0;0;0;0;48;948;0
324 - BRIANZA;197;2.545;272;263;3.292;168;154;1.511;18;259;2.353;1;0;0;0;873;9.701;459
Lecco;45;575;69;96;1.456;56;58;774;6;94;1.107;0;0;0;0;293;3.912;131
Monza;152;1.970;203;167;1.836;112;96;737;12;165;1.246;1;0;0;0;580;5.789;328
325 - BERGAMO;228;3.839;285;319;6.321;178;131;2.430;23;197;2.943;25;0;0;0;875;15.533;511
326 - BRESCIA;205;2.942;254;97;1.510;40;28;498;5;69;1.177;6;0;0;0;399;6.127;305
327 - VALPADANA;140;2.115;126;94;1.472;46;21;346;1;18;291;3;0;0;0;273;4.224;176
Cremona;73;1.087;75;33;522;31;4;63;0;10;156;2;0;0;0;120;1.828;108
Mantova;67;1.028;51;61;950;15;17;283;1;8;135;1;0;0;0;153;2.396;68
328 - PAVIA;37;46;18;24;47;8;11;14;0;19;16;3;5;5;5;96;128;34
Totale;2.780;38.373;3.603;3.170;40.336;1.890;785;15.070;160;2.105;19.294;132;5;5;5;9.460;113.078;5.790
