Data;Provincia;Nido;Materna;Elementari;Medie;Superiori
4-10 ottobre 2021;Alessandria;0;2;3;7;4
4-10 ottobre 2022;Asti;0;3;2;0;7
4-10 ottobre 2023;Biella;0;0;0;1;1
4-10 ottobre 2024;Cuneo;0;3;8;5;4
4-10 ottobre 2025;Novara;1;0;2;3;1
4-10 ottobre 2026;Torino Città;2;3;9;2;13
4-10 ottobre 2027;Torino Area Metropolitana;0;4;15;8;12
4-10 ottobre 2028;Vco;1;0;1;1;1
4-10 ottobre 2029;Vercelli;0;0;0;0;1
;;;;;;
11-17 ottobre 2021;Alessandria;2;2;2;2;2
11-17 ottobre 2021;Asti;1;0;0;0;1
11-17 ottobre 2021;Biella;0;0;0;1;2
11-17 ottobre 2021;Cuneo;2;2;11;6;10
11-17 ottobre 2021;Novara;0;0;4;0;2
11-17 ottobre 2021;Torino Città;0;2;3;2;14
11-17 ottobre 2021;Torino Area Metropolitana;0;6;18;12;14
11-17 ottobre 2021;Vco;0;1;1;0;2
11-17 ottobre 2021;Vercelli;0;0;0;0;0
;;;;;;
25-31 ottobre 2021;Alessandria;0;4;4;3;1
25-31 ottobre 2021;Asti;0;0;3;3;1
25-31 ottobre 2021;Biella;0;0;1;1;2
25-31 ottobre 2021;Cuneo;1;2;11;7;8
25-31 ottobre 2021;Novara;0;0;0;1;1
25-31 ottobre 2021;Torino Città;2;4;14;10;13
25-31 ottobre 2021;Torino Area Metropolitana;2;10;22;20;6
25-31 ottobre 2021;Vco;1;3;0;0;0
25-31 ottobre 2021;Vercelli;0;0;1;0;0
;;;;;;
8-14 novembre 2021;Alessandria;0;3;1;1;1
8-14 novembre 2021;Asti;0;3;4;3;0
8-14 novembre 2021;Biella;0;0;1;0;0
8-14 novembre 2021;Cuneo;1;4;4;16;8
8-14 novembre 2021;Novara;0;5;10;8;13
8-14 novembre 2021;Torino Città;1;4;15;12;16
8-14 novembre 2021;Torino Area Metropolitana;1;10;36;18;3
8-14 novembre 2021;Vco;0;1;3;0;2
8-14 novembre 2021;Vercelli;0;1;10;2;0
;;;;;;
15-21 novembre 2021;Alessandria;0;2;8;2;0
15-21 novembre 2021;Asti;0;2;4;5;1
15-21 novembre 2021;Biella;0;0;2;2;2
15-21 novembre 2021;Cuneo;1;3;14;9;5
15-21 novembre 2021;Novara;1;3;9;6;5
15-21 novembre 2021;Torino Città;1;4;10;11;19
15-21 novembre 2021;Torino Area Metropolitana;0;13;48;22;14
15-21 novembre 2021;Vco;0;1;2;2;1
15-21 novembre 2021;Vercelli;0;6;1;4;1
;;;;;;
22-28 novembre 2021;Alessandria;1;5;8;2;1
22-28 novembre 2021;Asti;0;0;17;0;5
22-28 novembre 2021;Biella;0;0;0;1;0
22-28 novembre 2021;Cuneo;1;8;19;17;6
22-28 novembre 2021;Novara;3;9;7;4;3
22-28 novembre 2021;Torino Città;0;9;26;4;10
22-28 novembre 2021;Torino Area Metropolitana;0;16;62;13;15
22-28 novembre 2021;Vco;0;1;1;1;0
22-28 novembre 2021;Vercelli;0;2;5;3;2
;;;;;;
29 novembre - 5 dicembre 2021;Alessandria;1;6;5;8;2
29 novembre - 5 dicembre 2021;Asti;0;1;10;3;5
29 novembre - 5 dicembre 2021;Biella;0;0;2;4;0
29 novembre - 5 dicembre 2021;Cuneo;5;16;38;19;7
29 novembre - 5 dicembre 2021;Novara;5;7;23;4;14
29 novembre - 5 dicembre 2021;Torino Città;9;14;29;11;16
29 novembre - 5 dicembre 2021;Torino Area Metropolitana;0;20;79;39;31
29 novembre - 5 dicembre 2021;Vco;0;0;6;4;0
29 novembre - 5 dicembre 2021;Vercelli;0;1;4;1;1
;;;;;;
6-12 dicembre 2021;Alessandria;1;2;8;6;4
6-12 dicembre 2021;Asti;0;3;10;5;0
6-12 dicembre 2021;Biella;0;3;7;7;6
6-12 dicembre 2021;Cuneo;1;17;48;30;25
6-12 dicembre 2021;Novara;2;11;41;11;11
6-12 dicembre 2021;Torino Città;8;21;39;19;44
6-12 dicembre 2021;Torino Area Metropolitana;1;29;119;56;58
6-12 dicembre 2021;Vco;0;1;6;5;2
6-12 dicembre 2021;Vercelli;0;1;4;1;1
;;;;;;
13-19 dicembre 2021;Alessandria;0;6;13;3;6
13-19 dicembre 2021;Asti;0;2;9;6;4
13-19 dicembre 2021;Biella;2;4;25;8;14
13-19 dicembre 2021;Cuneo;3;24;59;34;43
13-19 dicembre 2021;Novara;3;10;53;11;23
13-19 dicembre 2021;Torino Città;4;15;47;29;50
13-19 dicembre 2021;Torino Area Metropolitana;2;24;120;62;51
13-19 dicembre 2021;Vco;0;1;4;4;5
13-19 dicembre 2021;Vercelli;0;1;18;8;7
;;;;;;
20-26 dicembre 2021;Alessandria;2;10;33;19;25
20-26 dicembre 2021;Asti;0;3;10;2;6
20-26 dicembre 2021;Biella;0;7;14;12;10
