Istituto;Tipologia;N. classi;N. alunni
Ala Abramo Betta;Scuola Primaria;15;314
Ala - Serravalle;Scuola Primaria;6;102
CIVEZZANO Albiano;Scuola Primaria;6;104
"""ALDENO-MATTARELLO""";Scuola Primaria;10;156
ARCO - BOLOGNANO;Scuola Primaria;10;186
ARCO - MASSONE;Scuola Primaria;5;97
"ARCO - ""GIOVANNI SEGANTINI""";Scuola Primaria;16;329
ARCO - ROMARZOLLO;Scuola Primaria;13;225
GARDASCUOLA;Scuola Primaria;8;117
"""AVIO""";Scuola Primaria;6;110
AVIO - SABBIONARA;Scuola Primaria;5;86
"BASELGA DI PINE' ""G.DALLAFIOR""";Scuola Primaria;10;168
"BEDOLLO ""ABRAMO ANDREATTA""";Scuola Primaria;5;60
TELVE;Scuola Primaria;7;107
RONCEGNO;Scuola Primaria;5;81
RONCEGNO - MARTER;Scuola Primaria;5;60
SANT'ORSOLA;Scuola Primaria;5;46
SELLA GIUDICARIE - BREGUZZO;Scuola Primaria;5;77
"BORGO ""VITTORINO DA FELTRE""";Scuola Primaria;16;274
CADERZONE;Scuola Primaria;5;59
MADRUZZO - SARCHE;Scuola Primaria;5;80
MADRUZZO - CALAVINO;Scuola Primaria;5;85
"CALCERANICA AL LAGO""MARTINELLI""";Scuola Primaria;5;80
CALDES;Scuola Primaria;5;63
CALDONAZZO;Scuola Primaria;11;187
PRIMARIA DI CALLIANO;Scuola Primaria;4;59
"CALLIANO ""ARMINIO DE VALENTINI""";Scuola Primaria;7;101
"CAMPODENNO ""MARIO PEZZI""";Scuola Primaria;5;66
"CANAL S.BOVO ""FEDERICO LOSS""";Scuola Primaria;5;74
"CANAZEI ""GIOVANNI RIZZI""";Scuola Primaria;10;127
CAPRIANA;Scuola Primaria;2;19
VILLE DI FIEMME - CARANO;Scuola Primaria;4;48
CARISOLO;Scuola Primaria;5;75
BORGO D'ANAUNIA - CASTELFONDO;Scuola Primaria;3;31
CASTELLO DI FIEMME;Scuola Primaria;5;75
CASTELLO DI FIEMME - MOLINA;Scuola Primaria;4;47
CASTELNUOVO;Scuola Primaria;5;60
CAVALESE;Scuola Primaria;10;147
CAVALESE - MASI;Scuola Primaria;3;31
CAVARENO;Scuola Primaria;5;88
CAVEDINE;Scuola Primaria;5;104
CEMBRA LISIGNAGO - CEMBRA;Scuola Primaria;7;126
ALTOPIANO VIGOLANA - CENTA S.N.;Scuola Primaria;5;54
CIMONE;Scuola Primaria;4;46
"CIVEZZANO ""G.B.BORSIERI""";Scuola Primaria;6;111
CIVEZZANO - SEREGNANO;Scuola Primaria;5;73
CLES;Scuola Primaria;17;345
"BORGO CHIESE-CONDINO""PAPALEONI""";Scuola Primaria;6;89
PREDAIA - COREDO;Scuola Primaria;9;142
"CROVIANA ""BARTOLOMEO PEZZEN""";Scuola Primaria;5;71
PORTE DI RENDENA - DARE';Scuola Primaria;6;109
"DENNO ""MONS.SIMONE WEBER""";Scuola Primaria;5;90
DIMARO FOLGARIDA - DIMARO;Scuola Primaria;5;60
ALTAVALLE - FAVER;Scuola Primaria;5;59
FIAVE';Scuola Primaria;5;58
FIEROZZO - SAN FELICE;Scuola Primaria;5;31
CONTA' - FLAVON;Scuola Primaria;5;50
"FOLGARIA ""SIMONE LAUTON""";Scuola Primaria;5;84
BORGO D'ANAUNIA - FONDO;Scuola Primaria;6;99
"FORNACE ""AMABILE GIRARDI""";Scuola Primaria;5;70
GIOVO - VERLA;Scuola Primaria;7;117
"GIUSTINO ""VINCENZO GABRIOTTI""";Scuola Primaria;5;39
GRIGNO;Scuola Primaria;5;70
