codiceProvinciale,codiceMiur,denominazioneUfficiale,primaria,secondaria1grado,secondaria2grado,formazione_professionale,indirizzo,email,latitudeY,longitudeX,comune,alunni
221472101,TNEE80801B,"SCUOLA PRIMARIA ""M. MORANDINI DEGASPERI"" PREDAZZO",True,False,False,False,Corso Degasperi 8,,46.31315473,11.59937389,PREDAZZO,164
222262101,TNEE80802C,"SCUOLA PRIMARIA ""I. MASIA"" ZIANO DI FIEMME",True,False,False,False,Piazza Italia 4,,46.28638789,11.56250111,ZIANO DI FIEMME,88
222243001,TNMM86001B,"SCUOLA SECONDARIA DI PRIMO GRADO ""ALTA VALLAGARINA"" VOLANO",False,True,False,False,Via Manzoni 3,,45.89204617,11.03861331,ROVERETO,221
220132101,TNEE86001C,"SCUOLA PRIMARIA ""S. PELLICO"" BESENELLO",True,False,False,False,Via Degasperi 2,,45.94200887,11.10997247,BESENELLO,139
222242101,TNEE86003E,"SCUOLA PRIMARIA ""G. TOVAZZI"" VOLANO",True,False,False,False,Via Stazione 30,,45.91918788,11.0636503,VOLANO,137
220352101,TNEE86002D,"SCUOLA PRIMARIA ""A.DE VALENTINI"" CALLIANO",True,False,False,False,Via Degasperi 4,,45.93574493,11.09397761,CALLIANO,102
221612108,TNEE85905C,"SCUOLA PRIMARIA ""D. CHIESA"" NORIGLIO",True,False,False,False,Via Romani  42/1,,45.88372733,11.0705159,ROVERETO,100
221613004,TNMM859017,"SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI"" ROVERETO",False,True,False,False,Corso Bettini 67,,45.89580997,11.04425531,ROVERETO,338
221612112,TNEE85903A,"SCUOLA PRIMARIA ""M. K. GANDHI"" ROVERETO",True,False,False,False,Via Puccini 22,,45.90537614,11.04460322,ROVERETO,340
222059694,,SETTORE SERVIZI SERALE,False,False,False,True,Via Borsieri 2,,,,TRENTO,128
222059699,TNCF003001,SETTORE SERVIZI,False,False,False,True,Via Borsieri 2,,,,TRENTO,366
222059698,TNCF009001,SETTORE INDUSTRIA E ARTIGIANATO,False,False,False,True,Via Grazioli 2,,46.06774746,11.12659633,TRENTO,225
221619690,TNPSID500S,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,False,False,True,False,Piazzale Orsi 1,,45.89188064,11.03490562,ROVERETO,107
221619695,,SETTORE INDUSTRIA E ARTIGIANATO SERALE,False,False,False,True,Piazzale Orsi 1,,45.89188064,11.03490562,ROVERETO,44
221619699,TNCF002001,SETTORE INDUSTRIA E ARTIGIANATO,False,False,False,True,Piazzale Orsi 1,,45.89188064,11.03490562,ROVERETO,546
220069699,TNFP249STA,SETTORE INDUSTRIA E ARTIGIANATO,False,False,False,True,Via Gazzoletti 8,,45.91926761,10.89321493,ARCO,195
220229699,TNFP250STA,SETTORE INDUSTRIA E ARTIGIANATO,False,False,False,True,Via Giamaolle 15,,46.0492931,11.45845723,BORGO VALSUGANA,208
221537109,TNPC01000Q,LICEO LINGUISTICO,False,False,True,False,Via Alberti Lutti 7,,45.88747411,10.84478082,RIVA DEL GARDA,135
221399903,,EDUCAZIONE LIBERA PER ADULTI,False,False,False,False,Via S Pietro 4,,46.06192091,11.24535512,PERGINE VALSUGANA,0
221537108,TNPC01000Q,LICEO DELLE SCIENZE UMANE,False,False,True,False,Via Alberti Lutti 7,,45.88747411,10.84478082,RIVA DEL GARDA,215
221537107,TNPC01000Q,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,False,False,True,False,Via Alberti Lutti 7,,45.88747411,10.84478082,RIVA DEL GARDA,177
221537106,TNPC01000Q,LICEO SCIENTIFICO,False,False,True,False,Via Alberti Lutti 7,,45.88747411,10.84478082,RIVA DEL GARDA,302
221613050,TN1M00900P,"SCUOLA SECONDARIA DI PRIMO GRADO ""LA VELA"" ROVERETO",False,True,False,False,Via Saibanti 6,,,,ROVERETO,76
221613002,TNMM845019,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. DEGASPERI"" ROVERETO",False,True,False,False,Viale Della Vittoria 43,,45.88513624,11.02375982,ROVERETO,302
221612110,TNEE84502B,"SCUOLA PRIMARIA ""F.lli FILZI"" ROVERETO",True,False,False,False,Via Unione 23,,45.88846759,11.02521375,ROVERETO,399
220982101,TNEE84501A,"SCUOLA PRIMARIA ""R. LEVI MONTALCINI"" ISERA",True,False,False,False,Viale Provinciale  ,,45.88361061,11.00847269,ISERA,151
221613001,TNMM853018,"SCUOLA SECONDARIA DI PRIMO GRADO ""D. CHIESA"" ROVERETO",False,True,False,False,Corso Rosmini 86,,45.89043481,11.03661984,ROVERETO,360
221612102,TNEE85302A,"SCUOLA PRIMARIA ""REGINA ELENA"" ROVERETO",True,False,False,False,Via Dante 41,,45.88484561,11.04291837,ROVERETO,392
222102101,TNEE85306E,"SCUOLA PRIMARIA ""F. CAVALLIN"" VALLARSA RAOSSI",True,False,False,False,Frazione Raossi  ,,45.78259197,11.11918212,VALLARSA,42
222032101,TNEE85305D,SCUOLA PRIMARIA MOSCHERI TRAMBILENO,True,False,False,False,Frazione Moscheri  ,,45.8681,11.07413096,TRAMBILENO,40
221932101,TNEE85304C,"SCUOLA PRIMARIA ""N. VALDUGA"" TERRAGNOLO",True,False,False,False,Frazione Piazza di Terragnolo 18,,45.8788147,11.15053336,TERRAGNOLO,14
221613003,TNMM85501X,"SCUOLA SECONDARIA DI PRIMO GRADO ""F. HALBHERR"" ROVERETO",False,True,False,False,Via Livenza 1,,45.87026712,11.03059244,ROVERETO,333
221612104,TNEE855011,"SCUOLA PRIMARIA ""D. ALIGHIERI"" ROVERETO",True,False,False,False,Via Benacense 32,,45.87915257,11.03528881,ROVERETO,312
221612106,TNEE855033,"SCUOLA PRIMARIA ""A. ROSMINI"" MARCO",True,False,False,False,Via II Novembre 57,,45.84165973,11.00769233,ROVERETO,168
