data_rilevamento,num_classi_primaria,percentuale_classi_primaria,num_classi_secondaria_primo_grado,percentuale_classi_secondaria_primo_grado,num_classi_secondaria_secondo_grado,percentuale_classi_secondaria_grado
07/02/2022,136,7.8,69,6.9,31,1.6
31/01/2022,150,8.6,64,6.4,36,1.9
24/01/2022,112,6.4,69,6.9,143,7.4
17/01/2022,38,2.2,30,3.0,81,4.2
10/01/2022,0,0.0,0,0.0,0,0.0
27/12/2021,16,0.9,10,1.0,9,0.5
20/12/2021,21,1.2,10,1.0,8,0.4
13/12/2021,23,1.3,12,1.2,3,0.2
06/12/2021,13,0.7,12,1.2,3,0.2
29/11/2021,9,0.5,8,0.8,2,0.1
23/11/2021,8,0.5,4,0.4,4,0.2
15/11/2021,2,0.1,1,0.1,1,0.1
07/11/2021,1,0.1,0,0.0,0,0.0
02/11/2021,0,0.0,4,0.4,1,0.1
25/10/2021,2,0.1,2,0.2,1,0.1
18/10/2021,1,0.1,1,0.1,0,0.0
11/10/2021,1,0.1,1,0.1,1,0.1
04/10/2021,1,0.1,0,0.0,0,0.0
27/09/2021,1,0.1,0,0.0,0,0.0
20/09/2021,1,0.1,0,0.0,0,0.0
07/06/2021,9,0.5,7,0.7,6,0.3
31/05/2021,16,0.9,10,1.0,15,0.8
24/05/2021,22,1.3,12,1.2,20,1.0
17/05/2021,21,1.2,18,1.8,25,1.3
12/05/2021,18,1.0,13,1.3,18,0.9
03/05/2021,25,1.4,16,1.6,18,0.9
26/04/2021,32,1.8,21,2.1,22,1.1
19/04/2021,19,1.1,14,1.4,10,0.5
12/04/2021,4,0.2,3,0.3,5,0.3
06/04/2021,3,0.2,1,0.1,9,0.5
22/03/2021,26,1.5,20,2.0,28,1.5
15/03/2001,45,2.6,39,3.9,57,3.0
09/03/2001,12,0.7,19,1.9,38,2.0
01/03/2021,5,0.3,5,0.5,44,2.3
23/02/2021,1,0.1,3,0.3,35,1.8
16/02/2021,2,0.1,3,0.3,36,1.9
09/02/2021,6,0.3,2,0.2,17,0.9
