Data;Totale alunni;Alunni positivi ;Incidenza positivi;Alunni in quarantena;Incidenza quarantena
20/09/2021 - 27/09/2021;-;-;0,17%;-;-
27/09/2021 - 03/10/2021;-;-;0,17%;-;-
4/10/2021 - 10/10/2021;597.103;908;0,15%;-;-
11/10/2021 - 17/10/2021;639.854;885;0,14%;-;-
18/10/2021 - 24/10/2021;589.704;807;0,14%;-;-
01/11/2021 - 07/11/2021;632.867;951;0,15%;-;-
08/11/2021 - 14/11/2021;635.600;1.112;0,17%;-;-
15/11/2021 - 21/11/2021;-;-;0,22%;-;-
22/11/2021 - 28/11/2021;620.310;1.660;0,27%;-;-
29/11/2021 - 05/12/2021;619.573;1.946;0,31%;-;-
18/01/22;-;21.813;3,38%;17.216;2,67%
24/01/22;-;22.357;4,03%;27.876;4,55%
