Data;Provincia;Alunni assenti perché positivi;Alunni assenti perché in quarantena;Docenti positivi;Docenti in quarantena;ATA positivi;ATA in quarantena
19/02/22;Agrigento;2,94%;1,67%;3,46%;0,98%;4,11%;1,87%
19/02/22;Caltanissetta;3,96%;1,99%;3,78%;1,70%;3,83%;1,60%
19/02/22;Catania;3,98%;3,71%;3,72%;1,34%;4,47%;1,56%
19/02/22;Enna;2,12%;1,35%;3,39%;1,30%;5,42%;2,19%
19/02/22;Messina;3,10%;2,05%;3,03%;0,93%;3,47%;1,63%
19/02/22;Palermo;3,30%;3,14%;2,99%;0,70%;3,79%;1,15%
19/02/22;Ragusa;3,73%;3,01%;4,07%;1,06%;3,36%;1,12%
19/02/22;Siracusa;2,88%;1,56%;3,78%;1,14%;4,49%;125,00%
19/02/22;Trapani;3,15%;2,08%;3,23%;0,92%;3,61%;1,22%
19/02/22;Totale;3,38%;2,67%;3,40%;1,04%;3,99%;1,42%
