Data;N. Nuovi Positivi;N. Contatti
06/09/2021 - 12/09/2021;5;42
13/09/2021 - 19/09/2021;5;250
20/09/2021 - 26/09/2021;6;156
27/09/2021 - 03/10/2021;18;607
04/10/2021 - 10/10/2021;11;250
11/10/2021 - 17/10/2021;21;670
18/10/2021 - 24/10/2021;24;1.085
25/10/2021 - 31/10/2021;45;1.643
01/11/2021 - 07/11/2021;63;1.254
08/11/2021 - 14/11/2021;48;772
15/11/2021 - 21/11/2021;68;1.496
22/11/2021 - 28/11/2021;93;1.861
29/11/2021 - 05/12/2021;122;3.175
06/12/2021 - 12/12/2021;112;2.955
13/12/2021 - 19/12/2021;137;2.907
20/12/2021 - 26/12/2021;162;2.011
27/12/2021 - 02/01/2022;41;84
03/01/2022 - 09/01/2022;51;235
10/01/2022 - 16/01/2022;152;2.272
17/01/2022 - 23/01/2022;303;3.459
24/01/2022 - 30/01/2022;279;2.673
31/01/2022 - 06/02/2022;169;1.310
07/02/2022 - 13/02/2022;79;2
14/02/2022 - 20/02/2022;77;66
21/02/2022 - 27/02/2022;52;17
28/02/2022 - 06/03/2022;58;22
07/03/2022 - 13/03/2022;71;26
14/03/2022 - 20/03/2022;79;5
21/03/2022 - 27/03/2022;56;0
28/03/2022 -03/04/2022;21;0
04/04/2022 - 10/04/2022;12;0
