Settimana;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
06/09/2021 - 12/09/2027;581;2.802;20,74%;571.139;101,73;16.932;0,10%;3,40%
13/09/2021 - 19/09/2021;615;2.532;24,29%;571139;107,68;15761;0,11%;3,90%
20/09/2021 - 26/09/2021;453;1.962;23,09%;571.139;79,32;19.284;0,08%;2,30%
27/09/2021 - 03/10/2021;408;1.717;23,76%;571.139;71,44;28.029;0,07%;1,50%
04/10/2021 - 10/10/2021;323;1.454;22,21%;571.139;56,55;27.945;0,06%;1,20%
11/10/2021 - 17/10/2021;333;1.415;23,53%;571.139;58,3;28.605;0,06%;1,20%
18/10/2021 - 24/10/2021;332;1.638;20,27%;571.139;58,13;29.352;0,06%;1,10%
25/10/2021 - 31/10/2021;551;2.126;25,92%;571.139;96,47;31.453;0,10%;1,80%
01/11/2021 - 07/11/2021;583;2.282;25,55%;571.139;102,08;29.980;0,10%;1,90%
08/11/2021 - 14/11/2021;716;2.718;26,34%;571.139;125,36;35.403;0,13%;2,00%
15/11/2021 - 21/11/2021;727;2.771;26,24%;571.139;127,29;39.089;0,13%;1,90%
22/11/2021 - 28/11/2021;856;3.239;26,43%;571.139;149,88;36.601;0,15%;2,30%
29/11/2021 - 05/12/2021;1.109;4.078;27,19%;571.139;194,17;37.542;0,19%;3,00%
06/12/2021 - 12/12/2021;1.474;5.117;28,81%;571.139;258,08;36.870;0,26%;4,00%
13/12/2021 - 19/12/2021;1.905;7.502;25,39%;571.139;333,54;42.647;0,33%;4,50%
20/12/2021 - 26/12/2021;3.313;16.939;19,56%;571.139;580,07;42.531;0,58%;7,80%
27/12/2021 - 02/01/2022;11.645;68.677;16,96%;571.139;2.038,91;56.515;2,04%;20,60%
03/01/2022 - 09/01/2022;15.698;95.976;16,36%;571.139;2.748,54;63.290;2,75%;24,80%
10/01/2022 - 16/01/2022;17.396;82.479;21,09%;571.139;3.045,84;82.399;3,05%;21,10%
17/01/2022 - 23/01/2022;24.057;82.852;29,04%;571.139;4.212,11;97.743;4,21%;24,60%
24/01/2022 - 30/01/2022;21.919;70.950;30,89%;571.139;3.837,77;113.497;3,84%;19,30%
31/01/2022 - 06/02/2022;14.877;49.019;30,35%;571.139;2.604,79;95.410;2,60%;15,60%
07/02/2022 - 13/02/2022;9.194;30.829;29,82%;571.139;1.609,77;62.331;1,61%;14,80%
14/02/2022 - 20/02/2022;6.259;21.954;28,51%;571.139;1.095,88;37.828;1,10%;16,50%
21/02/2022 - 27/02/2022;4.847;18.017;26,90%;571.139;848,66;29.653;0,85%;16,30%
28/02/2022 - 06/03/2022;4.106;17.155;23,93%;571.139;718,91;25.013;0,72%;16,40%
07/03/2022 - 13/03/2022;5.546;24.470;22,66%;571.139;971,04;28.735;0,97%;19,30%
14/03/2022 - 20/03/2022;7.030;34.830;20,18%;571.139;1.230,87;36.175;1,23%;19,40%
21/03/2022 - 27/03/2022;6.734;34.037;19,78%;571.139;1.179,05;36.625;1,18%;18,40%
28/03/2022 -03/04/2022;5.967;32.249;18,50%;571.139;1.044,75;33.623;1,04%;17,70%
04/04/2022 - 10/04/2022;5.276;29.005;18,19%;571.139;923,77;29.333;0,92%;18,00%
