Data;Area Vasta;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
06/09/2021 - 12/09/2021;Area Vasta Sud-Est;134;594;22,56%;124.263;107,84;4.035;0,11%;3,30%
06/09/2021 - 12/09/2021;Area Vasta Nord-Ovest;149;685;21,75%;188.309;79,13;5.036;0,08%;3,00%
06/09/2021 - 12/09/2021;Area Vasta Centro;298;1.523;19,57%;258.567;115,25;7.861;0,12%;3,80%
06/09/2021 - 12/09/2021;Totale;581;2.802;20,74%;571.139;101,73;16.932;0,10%;3,40%
;;;;;;;;;
13/09/2021 - 19/09/2021;Area Vasta Sud-Est;112;478;23,43%;124.263;90,13;3.576;0,09%;3,10%
13/09/2021 - 19/09/2021;Area Vasta Nord-Ovest;148;594;24,92%;188.309;78,59;4.550;0,08%;3,30%
13/09/2021 - 19/09/2021;Area Vasta Centro;355;1460;24,32%;258.567;137,3;7.635;0,14%;4,60%
13/09/2021 - 19/09/2021;Totale;615;2532;24,29%;571.139;107,68;15.761;0,11%;3,90%
;;;;;;;;;
20/09/2021 - 26/09/2021;Area Vasta Sud-Est;83;360;23,06%;124.263;66,79;4.188;0,07%;2,00%
20/09/2021 - 26/09/2021;Area Vasta Nord-Ovest;100;453;22,08%;188.309;53,1;5.474;0,05%;1,80%
20/09/2021 - 26/09/2021;Area Vasta Centro;270;1149;23,50%;258.567;104,42;9.622;0,10%;2,80%
20/09/2021 - 26/09/2021;Totale;453;1.962;23,09%;571.139;79,32;19.284;0,08%;2,30%
;;;;;;;;;
27/09/2021 - 03/10/2021;Area Vasta Sud-Est;102;384;26,56%;124.263;82,08;7.217;0,08%;1,40%
27/09/2021 - 03/10/2021;Area Vasta Nord-Ovest;97;424;22,88%;188.309;51,51;7.654;0,05%;1,30%
27/09/2021 - 03/10/2021;Area Vasta Centro;209;909;22,99%;258.567;80,83;13.158;0,08%;1,60%
27/09/2021 - 03/10/2021;Totale;408;1717;23,76%;571.139;71,44;28.029;0,07%;1,50%
;;;;;;;;;
04/10/2021 - 10/10/2021;Area Vasta Sud-Est;67;280;23,93%;124.263;53,92;6.681;0,05%;1,00%
04/10/2021 - 10/10/2021;Area Vasta Nord-Ovest;75;380;19,74%;188.309;39,83;8.105;0,04%;0,90%
04/10/2021 - 10/10/2021;Area Vasta Centro;181;794;22,80%;258.567;70;13.159;0,07%;1,40%
04/10/2021 - 10/10/2021;Totale;323;1454;22,21%;571.139;56,55;27.945;0,06%;1,20%
;;;;;;;;;
11/10/2021 - 17/10/2021;Area Vasta Sud-Est;68;266;25,56%;124.263;54,72;6.607;0,05%;1,00%
11/10/2021 - 17/10/2021;Area Vasta Nord-Ovest;54;323;16,72%;188.309;28,68;8.387;0,03%;0,60%
11/10/2021 - 17/10/2021;Area Vasta Centro;211;826;25,54%;258.567;81,6;13.611;0,08%;1,60%
11/10/2021 - 17/10/2021;Totale;333;1415;23,53%;571.139;58,3;28.605;0,06%;1,20%
;;;;;;;;;
18/10/2021 - 24/10/2021;Area Vasta Sud-Est;71;288;24,65%;124.263;57,14;6.863;0,06%;1,00%
18/10/2021 - 24/10/2021;Area Vasta Nord-Ovest;91;504;18,06%;188.309;48,32;8.757;0,05%;1,00%
18/10/2021 - 24/10/2021;Area Vasta Centro;170;846;20,09%;258.567;65,75;13.732;0,07%;1,20%
18/10/2021 - 24/10/2021;Totale;332;1638;20,27%;571.139;58,13;29.352;0,06%;1,10%
;;;;;;;;;
25/10/2021 - 31/10/2021;Area Vasta Sud-Est;167;553;30,20%;124.263;134,39;7.464;0,13%;2,20%
25/10/2021 - 31/10/2021;Area Vasta Nord-Ovest;177;666;26,58%;188.309;93,99;9.607;0,09%;1,80%
25/10/2021 - 31/10/2021;Area Vasta Centro;207;907;22,82%;258.567;80,06;14.382;0,08%;1,40%
25/10/2021 - 31/10/2021;Totale;551;2126;25,92%;571.139;96,47;31.453;0,10%;1,80%
;;;;;;;;;
01/11/2021 - 07/11/2021;Area Vasta Sud-Est;176;632;27,85%;124.263;141,64;7.600;0,14%;2,30%
01/11/2021 - 07/11/2021;Area Vasta Nord-Ovest;187;744;25,13%;188.309;99,3;9.397;0,10%;2,00%
01/11/2021 - 07/11/2021;Area Vasta Centro;220;906;24,28%;258.567;85,08;12.983;0,09%;1,70%
01/11/2021 - 07/11/2021;Totale;583;2282;25,55%;571.139;102,08;29.980;0,10%;1,90%
;;;;;;;;;
08/11/2021 - 14/11/2021;Area Vasta Sud-Est;181;730;24,79%;124.263;145,66;8.789;0,15%;2,10%
08/11/2021 - 14/11/2021;Area Vasta Nord-Ovest;212;867;24,45%;188.309;112,58;10.928;0,11%;1,90%
08/11/2021 - 14/11/2021;Area Vasta Centro;323;1121;28,81%;258.567;124,92;15.686;0,12%;2,10%
08/11/2021 - 14/11/2021;Totale;716;2718;26,34%;571.139;125,36;35.403;0,13%;2,00%
;;;;;;;;;
15/11/2021 - 21/11/2021;Area Vasta Sud-Est;231;798;28,95%;124.263;185,9;9.159;0,19%;2,50%
15/11/2021 - 21/11/2021;Area Vasta Nord-Ovest;243;915;26,56%;188.309;129,04;12.244;0,13%;2,00%
15/11/2021 - 21/11/2021;Area Vasta Centro;253;1058;23,91%;258.567;97,85;17.686;0,10%;1,40%
15/11/2021 - 21/11/2021;Totale;727;2771;26,24%;571.139;127,29;39.089;0,13%;1,90%
;;;;;;;;;
22/11/2021 - 28/11/2021;Area Vasta Sud-Est;237;883;26,84%;124.263;190,72;9.425;0,19%;2,50%
22/11/2021 - 28/11/2021;Area Vasta Nord-Ovest;251;1075;23,35%;188.309;133,29;11.079;0,13%;2,30%
22/11/2021 - 28/11/2021;Area Vasta Centro;368;1281;28,73%;258.567;142,32;16.097;0,14%;2,30%
22/11/2021 - 28/11/2021;Totale;856;3239;26,43%;571.139;149,88;36.601;0,15%;2,30%
;;;;;;;;;
29/11/2021 - 05/12/2021;Area Vasta Sud-Est;333;1023;32,55%;124.263;267,98;9.524;0,27%;3,50%
29/11/2021 - 05/12/2021;Area Vasta Nord-Ovest;337;1371;24,58%;188.309;178,96;11.695;0,18%;2,90%
29/11/2021 - 05/12/2021;Area Vasta Centro;439;1684;26,07%;258.567;169,78;16.323;0,17%;2,70%
29/11/2021 - 05/12/2021;Totale;1109;4078;27,19%;571.139;194,17;37.542;0,19%;3,00%
;;;;;;;;;
06/12/2021 - 12/12/2021;Area Vasta Sud-Est;343;1132;30,30%;124.263;276,03;9.301;0,28%;3,70%
