Data;Provincia;Nuovi Positivi (0-18 anni);Nuovi Positivi Totali;Rapporto Nuovi Positivi 0-18 su Nuovi Positivi Totali;Popolazione (0-18 anni);Tasso Nuovi Positivi su 100.000 (0-18 anni);Tamponi Effettuati (0-18 anni);% Nuovi Positivi su Popolazione (0-18 anni);% Nuovi Positivi su Tamponi (0-18 anni)
06/09/2021 - 12/09/2021;Arezzo;44;171;25,73%;52.240;84,23;1.583;0,08%;2,80%
06/09/2021 - 12/09/2021;Firenze;173;777;22,27%;156.593;110,48;4.806;0,11%;3,60%
06/09/2021 - 12/09/2021;Grosseto;31;161;19,25%;31.106;99,66;925;0,10%;3,40%
06/09/2021 - 12/09/2021;Livorno;25;169;14,79%;48.911;51,11;1.197;0,05%;2,10%
06/09/2021 - 12/09/2022;Lucca;55;211;26,07%;57.349;95,9;1.738;0,10%;3,20%
06/09/2021 - 12/09/2023;Massa Carrara;34;115;29,57%;26.637;127,64;590;0,13%;5,80%
06/09/2021 - 12/09/2024;Pisa;47;262;17,94%;66.994;70,16;1.853;0,07%;2,50%
06/09/2021 - 12/09/2025;Prato;47;366;12,84%;44.793;104,93;1.411;0,10%;3,30%
06/09/2021 - 12/09/2026;Pistoia;66;308;21,43%;45.599;144,74;1.302;0,14%;5,10%
06/09/2021 - 12/09/2027;Siena;59;262;22,52%;40.917;144,19;1.527;0,14%;3,90%
06/09/2021 - 12/09/2027;Totale;581;2.802;20,74%;571.139;101,73;16.932;0,10%;3,40%
;;;;;;;;;
13/09/2021 - 19/09/2021;Arezzo;28;153;18,30%;52.240;53,6;1.359;0,05%;2,10%
13/09/2021 - 19/09/2021;Firenze;210;811;25,89%;156.593;134,11;4.737;0,13%;4,40%
13/09/2021 - 19/09/2021;Grosseto;27;106;25,47%;31.106;86,8;769;0,09%;3,50%
13/09/2021 - 19/09/2021;Livorno;54;206;26,21%;48.911;110,4;1.210;0,11%;4,50%
13/09/2021 - 19/09/2021;Lucca;43;185;23,24%;57.349;78,98;1.561;0,07%;2,80%
13/09/2021 - 19/09/2021;Massa Carrara;13;70;18,57%;26.637;48,8;429;0,05%;3,00%
13/09/2021 - 19/09/2021;Pisa;50;169;29,59%;66.994;74,63;1.697;0,07%;2,90%
13/09/2021 - 19/09/2021;Prato;75;340;22,06%;44.793;167,44;1.289;0,17%;5,80%
13/09/2021 - 19/09/2021;Pistoia;58;273;21,25%;45.599;127,2;1.262;0,13%;4,60%
13/09/2021 - 19/09/2021;Siena;57;219;26,03%;40.917;139,31;1.448;0,14%;3,90%
13/09/2021 - 19/09/2021;Totale;615;2.532;24,29%;571.139;107,68;15.761;0,11%;3,90%
;;;;;;;;;
20/09/2021 - 26/09/2021;Arezzo;29;127;22,83%;52.240;55,51;1.553;0,06%;1,90%
20/09/2021 - 26/09/2021;Firenze;165;651;25,35%;156.593;105,37;6.087;0,11%;2,70%
20/09/2021 - 26/09/2021;Grosseto;21;88;23,86%;31.106;67,51;884;0,07%;2,40%
20/09/2021 - 26/09/2021;Livorno;28;136;20,59%;48.911;57,25;1.364;0,06%;2,10%
20/09/2021 - 26/09/2021;Lucca;31;133;23,31%;57.349;54,05;1.947;0,05%;1,60%
20/09/2021 - 26/09/2021;Massa Carrara;6;50;12,00%;26.637;22,53;556;0,02%;1,10%
20/09/2021 - 26/09/2021;Pisa;37;152;24,34%;66.994;55,23;1.907;0,06%;1,90%
20/09/2021 - 26/09/2021;Prato;45;241;18,67%;44.793;100,46;1.517;0,10%;3,00%
20/09/2021 - 26/09/2021;Pistoia;58;239;24,27%;45.599;127,2;1.718;0,13%;3,40%
20/09/2021 - 26/09/2021;Siena;33;145;22,76%;40.917;80,65;1.751;0,08%;1,90%
20/09/2021 - 26/09/2021;Totale;453;1.962;23,09%;571.139;79,32;19.284;0,08%;2,30%
;;;;;;;;;
27/09/2021 - 03/10/2021;Arezzo;16;95;16,84%;52.240;30,63;2.417;0,03%;0,70%
27/09/2021 - 03/10/2021;Firenze;130;512;25,39%;156.593;83,02;8.173;0,08%;1,60%
27/09/2021 - 03/10/2021;Grosseto;20;84;23,81%;31.106;64,3;1.470;0,06%;1,40%
27/09/2021 - 03/10/2021;Livorno;19;99;19,19%;48.911;38,85;1.880;0,04%;1,00%
27/09/2021 - 03/10/2021;Lucca;26;122;21,31%;57.349;45,34;2.432;0,05%;1,10%
