Data;Infanzia;Elementari;Medie;Superiori
18/09/21;5;7;5;8
21/09/21;10;10;5;14
24/09/21;12;13;7;12
28/09/21;6;14;14;6
01/10/21;9;23;6;3
05/10/21;7;14;7;12
08/10/21;9;13;8;9
12/10/21;4;3;5;2
15/10/21;1;5;6;2
19/10/21;16;16;2;2
22/10/21;16;16;3;4
26/10/21;12;19;7;4
29/10/21;12;15;7;10
02/11/21;3;12;4;1
05/11/21;4;16;13;0
09/11/21;5;14;4;2
12/11/21;16;20;7;3
16/11/21;23;13;7;0
19/11/21;26;24;7;0
23/11/21;18;51;3;0
26/11/21;16;65;4;6
30/11/21;12;11;1;2
03/12/21;16;27;13;9
07/12/21;9;23;37;2
10/12/21;12;74;50;7
14/12/21;18;84;30;0
17/12/21;25;66;37;9
21/12/21;16;65;36;28
