Data;Infanzia;Elementari;Medie;Superiori
18/09/21;114;152;133;255
21/09/21;111;202;107;341
24/09/21;136;260;229;384
28/09/21;94;166;246;189
01/10/21;141;267;113;119
05/10/21;158;195;162;170
08/10/21;150;109;196;139
12/10/21;68;43;63;30
15/10/21;27;73;77;30
19/10/21;143;67;55;27
22/10/21;243;156;81;65
26/10/21;221;171;172;94
29/10/21;205;143;142;90
02/11/21;77;128;75;22
05/11/21;93;194;147;0
09/11/21;175;156;33;33
12/11/21;348;229;79;42
16/11/21;334;110;87;0
19/11/21;292;123;86;0
23/11/21;368;196;24;0
26/11/21;408;239;49;42
30/11/21;347;74;26;50
03/12/21;319;119;88;74
07/12/21;224;151;234;21
10/12/21;236;308;287;51
14/12/21;376;465;226;0
17/12/21;468;488;194;48
21/12/21;422;415;502;307
