Data;Infanzia;Elementari;Medie;Superiori
18/09/21;0;0;0;0
21/09/21;1;1;0;0
24/09/21;1;1;1;0
28/09/21;1;2;4;2
01/10/21;2;3;2;0
05/10/21;1;3;1;4
08/10/21;1;3;1;2
12/10/21;1;1;2;1
15/10/21;0;1;2;1
19/10/21;1;2;0;1
22/10/21;3;3;0;0
26/10/21;3;5;3;1
29/10/21;4;8;5;4
02/11/21;0;6;1;0
05/11/21;0;5;5;0
09/11/21;1;7;1;1
12/11/21;3;8;3;1
16/11/21;6;5;3;0
19/11/21;3;6;3;0
23/11/21;3;11;1;0
26/11/21;4;13;1;1
30/11/21;3;2;0;1
03/12/21;2;7;3;3
07/12/21;0;7;7;1
10/12/21;2;14;8;2
14/12/21;2;16;6;0
17/12/21;4;19;9;3
21/12/21;3;17;12;6
