Data;Infanzia;Elementari;Medie;Superiori
18/09/21;5;7;5;8
21/09/21;6;9;5;14
24/09/21;11;12;6;12
28/09/21;4;9;10;8
01/10/21;6;16;4;4
05/10/21;7;10;6;7
08/10/21;8;4;7;5
12/10/21;4;2;3;1
15/10/21;1;4;4;1
19/10/21;6;4;2;1
22/10/21;9;8;3;5
26/10/21;11;10;6;5
29/10/21;10;8;5;4
02/11/21;4;6;3;1
05/11/21;5;9;5;0
09/11/21;7;7;1;1
12/11/21;15;10;3;2
16/11/21;14;5;3;0
19/11/21;14;6;3;0
23/11/21;17;11;1;0
26/11/21;21;13;2;2
30/11/21;17;4;1;2
03/12/21;16;7;4;4
07/12/21;14;8;10;1
10/12/21;15;18;16;2
14/12/21;21;27;12;0
17/12/21;25;27;11;3
21/12/21;18;24;22;18
