Data;;n. Eventi;n. Studenti Positivi;n. Studenti in Monitoraggio;n. Studenti in Quarantena;n. Docenti/Op. Scolastici Positivi;n. Docenti/Op. Scolastici in Quarantena;n. Docenti/Op. Scolastici Positivi in Monitoraggio
29/09/21;Altro (es. scuole serali);8;19;85;80;3;9;5
29/09/21;Asilo Nido;17;18;0;245;7;4;42
29/09/21;Scuola dell'Infanzia;134;223;0;2304;23;17;232
29/09/21;Scuola primaria;192;225;2190;1088;13;194;84
29/09/21;Scuola secondaria di I grado;123;157;1460;755;1;45;19
29/09/21;Scuola secondaria di II grado;103;114;1532;525;4;54;7
29/09/21;Totale;577;756;5267;4997;51;323;389
;;;;;;;;
27/10/21;Altro (es. scuole serali);2;2;0;0;0;0;9
27/10/21;Asilo Nido;12;14;0;136;4;0;39
27/10/21;Scuola dell'Infanzia;94;147;0;1532;33;1;182
27/10/21;Scuola primaria;228;415;2197;1480;26;172;140
27/10/21;Scuola secondaria di I grado;151;216;1633;1112;5;92;49
27/10/21;Scuola secondaria di II grado;118;159;1666;588;2;42;11
27/10/21;Totale;605;953;5496;4848;70;307;430
;;;;;;;;
10/11/21;Altro (es. scuole serali);0;0;0;0;0;0;9
10/11/21;Asilo Nido;10;7;0;120;4;0;26
10/11/21;Scuola dell'Infanzia;116;173;0;1977;38;19;212
10/11/21;Scuola primaria;345;605;3278;2462;44;245;243
10/11/21;Scuola secondaria di I grado;215;371;2155;1630;14;117;72
10/11/21;Scuola secondaria di II grado;200;226;2781;1086;15;65;36
10/11/21;Totale;886;1382;8214;7275;115;446;598
;;;;;;;;
25/11/21;Altro (es. scuole serali);9;9;128;24;3;1;3
25/11/21;Asilo Nido;30;29;0;353;11;21;63
25/11/21;Scuola dell'Infanzia;202;310;0;3723;69;79;380
25/11/21;Scuola primaria;585;1121;5190;4117;89;414;370
25/11/21;Scuola secondaria di I grado;337;595;3391;2514;22;133;120
25/11/21;Scuola secondaria di II grado;400;570;5446;2458;25;152;50
25/11/21;Totale;1563;2634;14155;13189;219;800;986
;;;;;;;;
01/12/21;Altro (es. scuole serali);12;14;123;42;7;3;18
01/12/21;Asilo Nido;34;33;0;398;13;20;76
01/12/21;Scuola dell'Infanzia;237;415;0;4001;79;75;378
01/12/21;Scuola primaria;689;1459;5636;5261;107;429;426
01/12/21;Scuola secondaria di I grado;371;736;3471;3107;22;141;122
01/12/21;Scuola secondaria di II grado;492;712;6265;3407;35;178;75
01/12/21;Totale;1835;3369;15495;16216;263;846;1095
