Sessione_start;Sessione_end;Regione;Studenti testati;Positivi;Positivi ogni 100;Positivi ogni 100mila;Incidenza per 100mila;Tasso accettazione
11/10/21;24/10/21;Abruzzo;1250;1;0,08;80;77,5;51,00%
11/10/21;24/10/21;Basilicata;197;0;0;0;61,5;89,50%
11/10/21;24/10/21;Calabria;931;3;0,32;322,2;146,7;68,80%
11/10/21;24/10/21;Campania;702;0;0;0;154,5;18,50%
11/10/21;24/10/21;Emilia- Romagna;3620;1;0,03;27,6;205,2;51,20%
11/10/21;24/10/21;"Friuli- Venezia
Giulia";1108;1;0,09;90,3;175,5;52,60%
11/10/21;24/10/21;Lazio;4830;21;0,43;434,8;163,8;52,00%
11/10/21;24/10/21;Liguria;254;0;0;0;95,8;90,70%
11/10/21;24/10/21;Lombardia;8546;13;0,15;152,1;82,3;55,90%
11/10/21;24/10/21;Marche;481;0;0;0;96,8;23,40%
11/10/21;24/10/21;Molise;111;0;0;0;37,8;86,00%
11/10/21;24/10/21;Piemonte;1349;2;0,15;148,3;97;50,10%
11/10/21;24/10/21;"P.A.
Bolzano";712;0;0;0;223,2;89,90%
11/10/21;24/10/21;P.A. Trento;658;5;0,76;759,9;114;64,80%
11/10/21;24/10/21;Puglia;2212;0;0;0;100,3;82,20%
11/10/21;24/10/21;Sardegna;-;-;-;-;30,6;-
11/10/21;24/10/21;Sicilia;3196;13;0,41;406,8;164,4;60,80%
11/10/21;24/10/21;Toscana;1233;2;0,16;162,2;155,2;100,00%
11/10/21;24/10/21;Umbria;451;0;0;0;164,5;94,20%
11/10/21;24/10/21;"Valle
d'Aosta";113;0;0;0;119,7;90,40%
11/10/21;24/10/21;Veneto;7726;7;0,09;90,6;207,7;78,00%
11/10/21;24/10/21;Totale;39680;69;0,17;173,9;136,5;58,20%
25/10/21;07/11/21;Abruzzo;1347;1;0,07;74,2;213,4;59,40%
25/10/21;07/11/21;Basilicata;179;0;0;0;131,3;85,20%
25/10/21;07/11/21;Calabria;1186;3;0,25;253;257,3;72,80%
25/10/21;07/11/21;Campania;1299;3;0,23;230,9;310,1;36,30%
25/10/21;07/11/21;Emilia- Romagna;3624;10;0,28;275,9;295,3;57,60%
25/10/21;07/11/21;"Friuli- Venezia
Giulia";1193;1;0,08;83,8;570,9;50,60%
25/10/21;07/11/21;Lazio;5427;8;0,15;147,4;285,9;58,40%
25/10/21;07/11/21;Liguria;1056;1;0,09;94,7;140;51,10%
25/10/21;07/11/21;Lombardia;10592;15;0,14;141,6;141,3;54,00%
25/10/21;07/11/21;Marche;524;0;0;0;198,3;49,20%
25/10/21;07/11/21;Molise;169;0;0;0;151,2;86,20%
25/10/21;07/11/21;Piemonte;2237;1;0,04;44,7;147,9;44,00%
25/10/21;07/11/21;"P.A.
Bolzano";427;1;0,23;234,2;580,4;100,00%
25/10/21;07/11/21;P.A. Trento;441;1;0,23;226,8;211,7;47,00%
25/10/21;07/11/21;Puglia;1710;3;0,18;175,4;157,3;76,80%
25/10/21;07/11/21;Sardegna;1536;0;0;0;54,3;85,20%
25/10/21;07/11/21;Sicilia;3583;6;0,17;167,5;181,7;33,90%
25/10/21;07/11/21;Toscana;2179;5;0,23;229,5;304,9;100,00%
25/10/21;07/11/21;Umbria;794;3;0,38;377,8;281,3;87,10%
25/10/21;07/11/21;"Valle
d'Aosta";105;0;0;0;87,1;91,30%
25/10/21;07/11/21;Veneto;8481;5;0,06;59;321,4;68,90%
25/10/21;07/11/21;Totale;48089;67;0,14;139,3;233,4;56,50%
08/11/21;21/11/21;Abruzzo;1290;4;0,31;310,1;490,9;75,70%
08/11/21;21/11/21;Basilicata;104;0;0;0;156,5;90,40%
08/11/21;21/11/21;Calabria;1045;3;0,29;287,1;283,2;66,80%
08/11/21;21/11/21;Campania;1747;3;0,17;171,7;447,7;54,80%
08/11/21;21/11/21;Emilia- Romagna;3473;3;0,09;86,4;584,4;70,20%
08/11/21;21/11/21;"Friuli- Venezia
Giulia";1367;5;0,37;365,8;1036,8;39,80%
08/11/21;21/11/21;Lazio;4847;10;0,21;206,3;572,1;60,60%
08/11/21;21/11/21;Liguria;1278;5;0,39;391,2;594,8;48,40%
08/11/21;21/11/21;Lombardia;8863;22;0,25;248,2;417,5;46,30%
08/11/21;21/11/21;Marche;450;0;0;0;483,1;49,20%
08/11/21;21/11/21;Molise;-;-;-;-;302,4;
08/11/21;21/11/21;Piemonte;2321;6;0,26;258,5;329,7;52,90%
08/11/21;21/11/21;"P.A.
Bolzano";570;0;0;0;1372,9;98,80%
08/11/21;21/11/21;P.A. Trento;563;3;0,53;532,9;283,8;55,80%
08/11/21;21/11/21;Puglia;2523;6;0,24;237,8;166,4;96,80%
08/11/21;21/11/21;Sardegna;1276;1;0,08;78,4;186,6;79,10%
08/11/21;21/11/21;Sicilia;3924;7;0,18;178,4;292;30,70%
08/11/21;21/11/21;Toscana;2704;4;0,15;147,9;385,2;99,90%
08/11/21;21/11/21;Umbria;806;1;0,12;124,1;299,4;82,50%
08/11/21;21/11/21;"Valle
d'Aosta";115;1;0,87;869,6;1055,8;92,70%
08/11/21;21/11/21;Veneto;8285;8;0,1;96,6;687,3;67,10%
08/11/21;21/11/21;Totale;47551;92;0,19;193,5;450,2;56,10%
22/11/21;05/12/21;Abruzzo;1332;6;0,45;450,5;658,3;71,10%
22/11/21;05/12/21;Basilicata;179;0;0;0;335,3;91,80%
22/11/21;05/12/21;Calabria;507;0;0;0;497;45,80%
22/11/21;05/12/21;Campania;-;-;-;-;588,6;
22/11/21;05/12/21;Emilia- Romagna;2612;15;0,57;574,3;990,8;84,40%
22/11/21;05/12/21;"Friuli- Venezia
Giulia";601;2;0,33;332,8;1360,6;37,80%
22/11/21;05/12/21;Lazio;4308;11;0,26;255,3;803,5;74,50%
22/11/21;05/12/21;Liguria;854;0;0;0;903,2;45,50%
22/11/21;05/12/21;Lombardia;6897;21;0,3;304,5;725,6;47,10%
22/11/21;05/12/21;Marche;422;0;0;0;833,6;50,80%
22/11/21;05/12/21;Molise;;;;-;367,2;-
