Regione;Sessione 2;Sessione 3;Sessione 4;Sessione 5;Sessione 6;Sessione 7;Sessione 9;Sessione 10
Abruzzo;76,4;77,5;213,4;490,9;658,3;821,2;6182,8;8374,4
Basilicata;299,0;61,5;131,3;156,5;335,3;774,0;2844,4;7692,1
Calabria;171,1;146,7;257,3;283,2;497,0;763,9;1231,4;317,0
Campania;101,7;154,7;310,1;447,7;589,9;804,3;5050,0;1176,9
Emilia-Romagna;181,7;205,2;295,3;584,4;991,1;1486,4;6890,6;6100,9
"Friuli-Venezia
Giulia";113,7;175,5;570,9;1036,8;1358,1;1384,1;3355,2;10440,7
Lazio;123,9;163,8;285,9;572,1;803,0;1146,0;3952,0;4142,4
Liguria;116,9;95,8;140,0;594,8;903,2;1495,9;6272,0;6484,8
Lombardia;76,4;82,6;141,3;417,5;725,1;1151,9;6680,0;10387,1
Marche;141,9;96,8;198,3;483,1;833,6;968,0;3618,4;7329,6
Molise;43,2;37,8;151,2;302,4;367,2;145,8;3153,7;10419,1
Piemonte;82,5;97,0;147,9;329,7;702,3;1220,3;5425,1;4298,5
P.A. Bolzano;274,6;223,2;580,4;1372,9;2145,3;1982,4;817,1;8403,6
P.A. Trento;100,0;114,0;211,7;283,8;686,2;909,5;5861,6;6298,5
Puglia;64,4;100,6;157,3;166,4;217,1;433,4;5382,1;2441,9
Sardegna;59,2;30,6;54,3;186,6;308,1;567,8;1944,2;2565,6
Sicilia;172,4;163,9;181,7;292,0;454,2;682,1;1297,1;9779,8
Toscana;160,7;157,9;304,9;385,2;552,9;921,3;2628,4;9427,3
Umbria;108,6;167,8;281,3;299,4;439,2;880,0;6087,9;7293,6
Valle d'Aosta;272,1;119,7;87,1;1055,8;1284,4;1023,2;6748,7;8675,3
Veneto;169,7;207,7;321,4;687,3;1313,7;2028,2;5630,3;9199,5
Italia;122,5;136,7;233,4;450,2;726,2;1086,5;4748,8;6995,0
