;Sessione 6;;;Sessione 7;;;Sessione 9;;;Sessione 10;;;Sessione 11;;
Regione;Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati"
Abruzzo;1332;6;0,45;1350;6;0,44;232;4;1,72;1053;17;1,61;1267;13;1,03
Basilicata;179;0;0;-;-;-;-;-;-;-;-;-;-;-;-
Calabria;507;0;0;497;0;0;408;0;0;355;4;1,13;475;3;0,63
Campania;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Emilia- Romagna;2612;15;0,57;-;-;-;-;-;-;-;-;-;-;-;-
"Friuli- Venezia
Giulia";601;2;0,33;745;5;0,67;76;3;3,95;-;-;-;-;-;-
Lazio;4308;11;0,26;4252;16;0,38;1467;27;1,84;1313;30;2,28;-;-;-
Liguria;854;0;0;839;1;0,12;150;4;2,67;-;-;-;-;-;-
Lombardia;6897;21;0,3;5419;25;0,46;-;-;-;-;-;-;-;-;-
Marche;422;0;0;-;-;-;-;-;-;-;-;-;-;-;-
Molise;;;;-;-;-;-;-;-;-;-;-;-;-;-
Piemonte;2193;11;0,5;1981;25;1,26;64;1;1,56;777;38;4,89;936;14;1,5
"P.A.
Bolzano";539;4;0,74;353;2;0,57;285;4;1,4;340;5;1,47;335;4;1,19
"P.A.
Trento";532;10;1,88;554;11;1,99;656;37;5,64;234;18;7,69;-;-;-
Puglia;2728;5;0,18;;;;;-;-;-;-;-;-;-;-
Sardegna;1557;0;0;1467;2;0,14;623;5;0,8;-;-;-;-;-;-
Sicilia;2251;9;0,4;3075;14;0,46;71;0;0;1095;15;1,37;1691;30;1,77
Toscana;2877;10;0,35;2358;9;0,38;2677;54;2,02;3044;53;1,74;2202;22;1
Umbria;1117;11;0,98;448;3;0,67;-;-;-;-;-;-;-;-;-
Valle d'Aosta;95;4;4,21;81;2;2,47;69;2;2,9;82;2;2,44;-;-;-
Veneto;7591;29;0,38;7101;22;0,31;;;;;;;-;-;-
Totale;39192;148;0,37;30520;143;0,47;6778;141;2,08;8293;182;2,19;6906;86;1,25
