Regione;Sessione 4;;Sessione 5;;Sessione 6;;Sessione 7;;Sessione 9;;Sessione 10;;Sessione 11;
;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv;Monit.;Sorv.;Monit.;Sorv.
Abruzzo;74,20;213,4;310,10;490,9;450,5;658,3;444,4;821,2;1724,1;6232,2;1614,4;8447,4;1026,0;5257,2
Basilicata;0,00;131,3;0,00;156,5;0;335,3;-;774,0;-;2972,9;-;7708,9;-;5948,6
Calabria;253,00;257,3;287,10;283,9;0;497,0;0,0;767,6;0,0;1597,2;1126,8;1266,8;631,6;2032,2
Campania;230,90;310,1;171,70;445,7;-;588,6;-;802,7;-;5067,8;-;6104,3;-;4237,4
"Emilia-
Romagna";275,90;295,3;86,40;584,7;574,3;990,8;-;1486,7;-;6965,0;-;10456,8;-;4085,1
"Friuli- Venezia
Giulia";83,80;572,2;365,80;1036,8;332,8;1360,6;671,1;1385,3;3947,4;4148,5;-;4468,6;-;3819,8
Lazio;147,40;285,9;206,30;571,6;255,3;803,5;376,3;1145,8;1840,5;3989,1;2284,8;6494,7;-;4199,9
Liguria;94,70;140,0;391,20;594,8;0;903,2;119,2;1495,9;2666,7;6281,5;-;10389,2;-;4167,7
Lombardia;141,60;141,3;248,20;417,5;304,5;725,6;461,3;1152,7;-;6713,5;-;7332,9;-;2717,2
Marche;0,00;198,3;0,00;483,1;0;833,6;-;969,9;-;3787,6;-;10370,2;-;5392,8
Molise;0,00;151,2;-;302,4;-;367,2;-;145,8;-;3175,3;-;4298,5;-;5103,1
Piemonte;44,70;147,9;258,50;329,7;501,6;702,3;1262,0;1220,3;1562,5;5447,4;4890,6;8409,0;1495,7;3485,4
"P.A.
Bolzano";234,20;580,4;0,00;1372,9;742,1;2145,3;566,6;2002,5;1403,5;6018,5;1470,6;12197,8;1194,0;6311,0
P.A. Trento;226,80;211,7;532,90;283,8;1879,7;686,2;1985,6;909,5;5640,2;5856,9;7692,3;9422,7;-;3500,7
Puglia;175,40;157,3;237,80;168,5;183,3;218,8;-;436,6;-;5450,3;-;6344,9;-;4539,5
Sardegna;0,00;53,3;78,40;186,6;0;308,1;136,3;566,8;802,6;2221,7;-;2700,6;-;3872,7
Sicilia;167,50;182,0;178,40;292,0;399,8;454,2;455,3;682,4;0,0;2653,6;1369,9;2872,4;1774,1;3097,3
Toscana;229,50;296,3;147,90;372,7;347,6;531,8;381,7;903,3;2017,2;6627,1;1741,1;9845,6;999,1;4740,2
Umbria;377,80;279,6;124,10;301,0;984,8;439,2;669,6;881,7;-;6091,2;-;7295,2;-;5365,7
"Valle
d'Aosta";0,00;87,1;869,60;1045,0;4210,5;1273,5;2469,1;1023,2;2898,6;6759,6;2439,0;8675,3;-;2209,6
Veneto;59,00;321,4;96,60;687,3;382;1314,2;309,8;2029,8;-;5686,9;-;9249,6;-;4227,7
Italia;139,30;232,9;193,50;449,4;377,6;725,1;468,5;1086,2;2216,4;5218,9;1931,2;7173,5;1245,3;3864,6
