Regione;"Sessione
1";"Sessione
2";"Sessione
3";"Sessione
4";"Sessione
5";"Sessione
6";"Sessione
7";"Sessione
9"
Abruzzo;-;0,00;0,08;0,07;0,31;0,45;0,44;1,72
Basilicata;-;-;0,00;0,00;0,00;0,00;-;-
Calabria;0,00;0,09;0,32;0,25;0,29;0,00;0,00;0,00
Campania;0,00;0,00;0,00;0,23;0,17;-;-;-
Emilia-Romagna;-;0,00;0,03;0,28;0,09;0,57;-;-
Friuli-Venezia Giulia;-;0,11;0,09;0,08;0,37;0,33;0,67;3,95
Lazio;0,05;0,06;0,43;0,15;0,21;0,26;-;-
Liguria;-;0,34;0,00;0,09;0,39;0,00;0,12;2,67
Lombardia;0,06;0,10;0,15;0,14;0,25;0,30;0,46;-
Marche;0,16;0,00;0,00;0,00;0,00;0,00;-;-
Molise;-;0,00;0,00;0,00;;;-;-
Piemonte;-;-;0,15;0,04;0,26;0,50;1,26;-
P.A. Bolzano;-;0,00;0,00;0,23;0,00;0,74;0,57;1,40
P.A. Trento;0,16;0,00;0,76;0,23;0,53;1,88;1,99;5,64
Puglia;0,43;0,05;0,00;0,18;0,24;0,18;-;-
Sardegna;-;-;-;0,00;0,08;0,00;0,14;-
Sicilia;0,29;0,37;0,41;0,17;0,18;0,40;0,46;-
Toscana;-;0,00;0,16;0,23;0,15;0,35;0,38;2,02
Umbria;-;-;0,00;0,38;0,12;0,98;0,67;-
Valle d'Aosta;0,00;0,00;0,00;0,00;0,87;4,21;2,47;2,90
Veneto;0,00;0,00;0,09;0,06;0,10;0,38;0,31;-
Totale;0,08;0,06;0,17;0,14;0,19;0,38;0,49;2,51
