Regione;Sessione 1;Sessione 2;Sessione 3;Sessione 4;Sessione 5;Sessione 6;Sessione 7;Sessione 8;Sessione 9
Abruzzo;-;941;1250;1347;1290;1332;1350;-;232
Basilicata;-;-;197;179;104;179;-;-;-
Calabria;157;1083;931;1186;1045;507;371;-;166
Campania;259;724;702;1299;1747;;-;-;-
"Emilia-
Romagna";-;2867;3620;3624;3473;2612;-;-;-
"Friuli-Venezia
Giulia";-;889;1108;1193;1367;601;745;-;76
Lazio;4126;4874;4830;5427;4847;4308;-;-;-
Liguria;-;297;254;1056;1278;854;839;-;150
Lombardia;3211;7228;8546;10592;8863;6897;5419;1343;-
Marche;640;513;481;524;450;422;-;-;-
Molise;-;72;111;169;-;-;-;-;-
Piemonte;-;-;1349;2237;2321;2193;1981;-;-
P.A. Bolzano;-;681;712;427;570;539;353;144;285
P.A. Trento;624;651;658;441;563;532;554;-;656
Puglia;230;1857;2212;1710;2523;2728;-;-;-
Sardegna;-;-;-;1536;1276;1557;1467;-;-
Sicilia;349;809;3196;3583;3924;2251;3075;-;-
Toscana;-;716;1233;2179;2704;2877;2358;-;2677
Umbria;-;-;451;794;806;1117;448;-;-
Valle d'Aosta;71;97;113;105;115;95;81;-;69
Veneto;303;3697;7726;8481;8285;7591;7101;-;-
Totale;9970;27996;39680;48089;47551;39192;26142;1487;4311
