"data","eta","casi","ospedalizzazioni","ricoveri_in_ti","deceduti"
"31/03/21","<3","36657",0,0,4
"31/03/21","3_5","46699",0,0,3
"31/03/21","6_10","116361",0,0,4
"31/03/21","11_13","92176",0,0,5
"31/03/21","14_19","203391",0,0,8
"07/04/21","<3","38670",0,0,4
"07/04/21","3_5","48869",0,0,3
"07/04/21","6_10","121268",0,0,3
"07/04/21","11_13","95897",0,0,5
"07/04/21","14_19","211924",0,0,7
"14/04/21","<3","40391",0,0,4
"14/04/21","3_5","50808",0,0,3
"14/04/21","6_10","125577",0,0,3
"14/04/21","11_13","98955",0,0,5
"14/04/21","14_19","218589",0,0,7
"21/04/21","<3","42273",0,0,4
"21/04/21","3_5","53109",0,0,3
"21/04/21","6_10","130483",0,0,3
"21/04/21","11_13","102439",0,0,5
"21/04/21","14_19","225608",0,0,7
"28/04/21","<3","44125",0,0,4
"28/04/21","3_5","56171",0,0,3
"28/04/21","6_10","135935",0,0,3
"28/04/21","11_13","105891",0,0,5
"28/04/21","14_19","232418",0,0,9
"05/05/21","<3","45938",0,0,4
"05/05/21","3_5","58973",0,0,3
"05/05/21","6_10","140920",0,0,3
"05/05/21","11_13","109096",0,0,5
"05/05/21","14_19","238337",0,0,10
"12/05/21","<3","47387",0,0,5
"12/05/21","3_5","61197",0,0,3
"12/05/21","6_10","145076",0,0,3
"12/05/21","11_13","111745",0,0,6
"12/05/21","14_19","243196",0,0,10
"19/05/21","<3","48518",0,0,4
"19/05/21","3_5","62674",0,0,3
"19/05/21","6_10","147962",0,0,3
"19/05/21","11_13","113663",0,0,6
"19/05/21","14_19","247111",0,0,10
"26/05/21","<3","49211",0,0,4
"26/05/21","3_5","63629",0,0,3
"26/05/21","6_10","149869",0,0,3
"26/05/21","11_13","115074",0,0,7
"26/05/21","14_19","249960",0,0,10
"01/06/21","<3","49677",0,0,4
"01/06/21","3_5","64246",0,0,3
"01/06/21","6_10","151124",0,0,5
"01/06/21","11_13","116017",0,0,7
"01/06/21","14_19","252101",0,0,10
"09/06/21","<3","50027",0,0,4
"09/06/21","3_5","64669",0,0,3
"09/06/21","6_10","152005",0,0,5
"09/06/21","11_13","116675",0,0,7
"09/06/21","14_19","253667",0,0,7
"16/06/21","<3","50293",0,0,4
"16/06/21","3_5","64974",0,0,4
"16/06/21","6_10","152621",0,0,5
"16/06/21","11_13","117079",0,0,7
"16/06/21","14_19","254752",0,0,7
"23/06/21","<3","50466",0,0,5
"23/06/21","3_5","65135",0,0,4
"23/06/21","6_10","152996",0,0,5
"23/06/21","11_13","117314",0,0,7
"23/06/21","14_19","255534",0,0,8
"30/06/21","<3","50602",0,0,4
"30/06/21","3_5","65232",0,0,4
"30/06/21","6_10","153220",0,0,5
"30/06/21","11_13","117481",0,0,7
"30/06/21","14_19","256087",0,0,9
"07/07/21","<3","50724",0,0,4
"07/07/21","3_5","65329",0,0,4
"07/07/21","6_10","153444",0,0,5
"07/07/21","11_13","117659",0,0,7
"07/07/21","14_19","256898",0,0,8
"14/07/21","<3","50846",0,0,4
"14/07/21","3_5","65448",0,0,4
"14/07/21","6_10","153760",0,0,5
"14/07/21","11_13","117914",0,0,7
"14/07/21","14_19","258475",0,0,8
"21/07/21","<3","51360",0,0,4
"21/07/21","3_5","65983",0,0,4
"21/07/21","6_10","155005",0,0,5
"21/07/21","11_13","119020",0,0,7
"21/07/21","14_19","264589",0,0,8
"28/07/21","<3","51818",0,0,6
"28/07/21","3_5","66428",0,0,4
"28/07/21","6_10","156156",0,0,5
"28/07/21","11_13","120104",0,0,7
"28/07/21","14_19","271351",0,0,8
"04/08/21","<3","52426",0,0,6
"04/08/21","3_5","67062",0,0,4
"04/08/21","6_10","157583",0,0,5
"04/08/21","11_13","121499",0,0,7
"04/08/21","14_19","278473",0,0,8
"11/08/21","<3","53149",0,0,6
"11/08/21","3_5","67892",0,0,4
"11/08/21","6_10","159407",0,0,6
"11/08/21","11_13","123067",0,0,7
"11/08/21","14_19","285733",0,0,8
"18/08/21","<3","54022",0,0,6
"18/08/21","3_5","68836",0,0,4
"18/08/21","6_10","161410",0,0,6
"18/08/21","11_13","124857",0,0,7
"18/08/21","14_19","291860",0,0,8
"25/08/21","<3","54952",0,0,6
"25/08/21","3_5","69738",0,0,4
"25/08/21","6_10","163660",0,0,6
"25/08/21","11_13","126650",0,0,7
"25/08/21","14_19","296898",0,0,8
"01/09/21","<3","55938",0,0,6
"01/09/21","3_5","70881",0,0,4
"01/09/21","6_10","166144",0,0,7
"01/09/21","11_13","128539",0,0,7
"01/09/21","14_19","301937",0,0,8
"08/09/21","<3","55888",0,0,6
"08/09/21","3_5","71948",0,0,4
"08/09/21","6_10","168433",0,0,6
"08/09/21","11_13","130134",0,0,7
"08/09/21","14_19","305522",0,0,8
"15/09/21","<3","57797",0,0,6
"15/09/21","3_5","72994",0,0,4
"15/09/21","6_10","170655",0,0,6
"15/09/21","11_13","131638",0,0,7
"15/09/21","14_19","308272",0,0,10
"22/09/21","<3","58614",0,0,6
"22/09/21","3_5","74059",0,0,4
"22/09/21","6_10","172728",0,0,7
"22/09/21","11_13","132883",0,0,7
"22/09/21","14_19","310331",0,0,10
"29/09/21","<3","59319",0,0,6
"29/09/21","3_5","75078",0,0,5
"29/09/21","6_10","174598",0,0,7
"29/09/21","11_13","134045",0,0,7
"29/09/21","14_19","311849",0,0,10
"06/10/21","<3","59855",0,0,6
"06/10/21","3_5","76001",0,0,5
"06/10/21","6_10","176507",0,0,6
"06/10/21","11_13","135095",0,0,7
"06/10/21","14_19","313171",0,0,11
"13/10/21","<3","60305",0,0,6
"13/10/21","3_5","76704",0,0,5
"13/10/21","6_10","178069",0,0,6
"13/10/21","11_13","135934",0,0,7
"13/10/21","14_19","314238",0,0,11
"20/10/21","<3","60737",0,0,6
"20/10/21","3_5","77430",0,0,5
"20/10/21","6_10","179660",0,0,6
"20/10/21","11_13","136784",0,0,7
"20/10/21","14_19","315308",0,0,11
"27/10/21","<3","61247",0,0,6
"27/10/21","3_5","78263",0,0,5
"27/10/21","6_10","182150",0,0,6
"27/10/21","11_13","138121",0,0,7
"27/10/21","14_19","316725",0,0,11
"03/11/21","<3","61765",0,0,6
"03/11/21","3_5","79201",0,0,5
"03/11/21","6_10","185113",0,0,6
"03/11/21","11_13","139665",0,0,7
"03/11/21","14_19","318252",0,0,12
"10/11/21","<3","62409",0,0,6
"10/11/21","3_5","80364",0,0,5
"10/11/21","6_10","189067",0,0,6
"10/11/21","11_13","141636",0,0,7
"10/11/21","14_19","320517",0,0,12
"17/11/21","<3","63261",3047,64,5
"17/11/21","3_5","81882",734,19,5
"17/11/21","6_11","241739",1407,36,9
"17/11/21","12_15","192273",1301,58,8
"17/11/21","16_19","229073",2068,74,7
"24/11/21","<3","64291",3081,64,6
"24/11/21","3_5","83928",744,19,5
"24/11/21","6_11","251221",1423,36,9
"24/11/21","12_15","195637",1306,58,8
"24/11/21","16_19","231697",2078,74,7
"01/12/21","<3","65603",3123,64,6
"01/12/21","3_5","86444",756,19,5
"01/12/21","6_11","263256",1453,36,9
"01/12/21","12_15","200114",1314,59,8
"01/12/21","16_19","235157",2088,74,7
"07/12/21","<3","67007",3166,64,5
"07/12/21","3_5","88941",766,19,5
"07/12/21","6_11","275625",1475,37,9
"07/12/21","12_15","204734",1321,58,8
"07/12/21","16_19","238698",2097,74,7
"15/12/21","<3","69085",3234,64,5
"15/12/21","3_5","92877",783,20,5
"15/12/21","6_11","295027",1501,37,10
"15/12/21","12_15","211680",1338,59,8
"15/12/21","16_19","244394",2119,74,7
"21/12/21","<3","71278",3291,65,5
"21/12/21","3_5","97260",794,20,5
"21/12/21","6_11","314738",1536,38,10
"21/12/21","12_15","219112",1354,60,8
"21/12/21","16_19","252269",2143,75,7
"28/12/21","<3","74832",3409,67,5
"28/12/21","3_5","103657",820,23,5
"28/12/21","6_11","343634",1605,38,9
"28/12/21","12_15","231681",1388,60,9
"28/12/21","16_19","271159",2201,75,7
"05/01/22","<3","83286",3700,68,5
"05/01/22","3_5","114185",871,24,6
"05/01/22","6_11","392040",1711,39,9
"05/01/22","12_15","266173",1462,61,9
"05/01/22","16_19","326410",2338,76,7
"12/01/22","<3","96265",3993,71,5
"12/01/22","3_5","130491",919,24,6
"12/01/22","6_11","456677",1824,40,9
"12/01/22","12_15","319292",1534,64,9
"12/01/22","16_19","400915",2469,79,8
"19/01/22","<5","218698",5048,90,9
"19/01/22","5_11","622548",2303,54,11
"19/01/22","12_15","385747",1630,65,9
"19/01/22","16_19","471280",2592,82,9
"26/01/22","<5","273320",5492,91,9
"26/01/22","5_11","759797",2470,58,11
"26/01/22","12_15","450956",1708,64,9
"26/01/22","16_19","525789",2695,87,10
"02/02/22","<5","327610",5853,98,11
"02/02/22","5_11","901606",2632,62,13
"02/02/22","12_15","520538",1786,65,10
"02/02/22","16_19","582477",2784,87,10
"09/02/22","<5","364001",6158,101,11
"09/02/22","5_11","988175",2765,66,13
"09/02/22","12_15","562160",1858,65,10
"09/02/22","16_19","613688",2851,91,10
"16/02/22","<5","391.599",6.425,108,13
"16/02/22","5_11","1.049.773",2.883,68,13
"16/02/22","12_15","591.491",1.905,66,10
"16/02/22","16_19","636.058",2.898,92,10
"23/02/22","<5","416.284",6.673,109,14
"23/02/22","5_11","1.109.158",2.974,70,14
"23/02/22","12_15","619.993",1.947,67,10
"23/02/22","16_19","659.885",2.95,93,10
"02/03/22","<5","431.235",6.867,111,15
"02/03/22","5_11","1.144.009",3.039,71,14
"02/03/22","12_15","636.896",1.986,68,10
"02/03/22","16_19","674.629",2.986,94,10
"09/03/22","<5","443.313",7.028,112,15
"09/03/22","5_11","1.175.529",3.105,71,15
"09/03/22","12_15","654.771",2.029,69,10
"09/03/22","16_19","693.288",3.038,98,10
"16/03/22","<5","459.012",7.214,112,15
"16/03/22","5_11","1.217.769",3.183,75,15
"16/03/22","12_15","678.455",2.066,70,10
"16/03/22","16_19","717.284",3.069,98,10
"23/03/22","<5","477.670",7.44,115,16
"23/03/22","5_11","1.268.073",3.275,74,15
"23/03/22","12_15","705.278",2.103,72,10
"23/03/22","16_19","743.247",3.114,99,10
"30/03/22","<5","498.063",7.639,117,17
"30/03/22","5_11","1.319.644",3.362,76,15
"30/03/22","12_15","731.722",2.131,73,11
"30/03/22","16_19","765.922",3.164,100,10
"06/04/22","<5","515.932",7.89,118,17
"06/04/22","5_11","1.363.382",3.434,76,15
"06/04/22","12_15","754.686",2.165,74,11
"06/04/22","16_19","784.325",3.201,103,10
"13/04/22","<5","532.869",8.109,118,17
"13/04/22","5_11","1.405.173",3.501,81,15
"13/04/22","12_15","776.433",2.199,76,11
"13/04/22","16_19","801.465",3.228,105,10
"20/04/22","<5","546.269",8.319,120,17
"20/04/22","5_11","1.435.852",3.558,82,15
"20/04/22","12_15","793.427",2.228,79,11
"20/04/22","16_19","816.005",3.264,107,10
"27/04/22","<5","558.862",8.497,121,17
"27/04/22","5_11","1.463.301",3.619,84,16
"27/04/22","12_15","811.421",2.258,79,11
