Regione;Sessione 1;Sessione 2;Sessione 3;Sessione 4;Sessione 5;Sessione 6
Abruzzo;-;0;0,08;0,07;0,31;0,45
Basilicata;-;-;0;0;0;0
Calabria;0;0,09;0,32;0,25;0,29;0
Campania;0;0;0;0,23;0,17;-
Emilia-Romagna;-;0;0,03;0,28;0,09;0,57
"Friuli-Venezia
Giulia";-;0,11;0,09;0,08;0,37;0,33
Lazio;0,05;0,06;0,43;0,15;0,21;0,26
Liguria;-;0,34;0;0,09;0,39;0
Lombardia;0,06;0,1;0,15;0,14;0,25;0,3
Marche;0,16;0;0;0;0;0
Molise;-;0;0;0;-;-
Piemonte;-;-;0,15;0,04;0,26;0,5
P.A. Bolzano;-;0;0;0,23;0;0,74
P.A. Trento;0,16;0;0,76;0,23;0,53;1,88
Puglia;0,43;0,05;0;0,18;0,24;-
Sardegna;-;-;-;0;0,08;0
Sicilia;0,29;0,37;0,41;0,17;0,18;0,4
Toscana;-;0;0,16;0,23;0,15;0,35
Umbria;-;-;0;0,38;0,12;0,98
Valle d'Aosta;0;0;0;0;0,87;4,21
Veneto;0;0;0,09;0,06;0,1;0,38
Totale;0,08;0,06;0,17;0,14;0,19;0,4
