Regioni;Sessione 1;;Sessione 2;;Sessione 3;;Sessione 4;;Sessione 5;;Sessione 6;
;Monitoraggio;Sorv Integrata;Monitoraggio;Sorv Integrata;Monitoraggio;Sorv Integrata;Monitoraggio;Sorv Integrata;Monitoraggio;Sorv Integrata;Monitoraggio;Sorv Integrata
Abruzzo;-;96,6;0;76,4;80;77,5;74,2;213,4;310,1;490,9;450,5;658,3
Basilicata;-;136,9;-;299;0;61,5;0;131,3;0;156,5;0;335,3
Calabria;0;179,9;92,3;171,8;322,2;146,7;253;257,3;287,1;280,9;0;266,2
Campania;0;131,6;0;101,7;0;154,5;230,9;310,1;171,7;447,9;-;589,7
"Emilia-
Romagna";-;208;0;181,4;27,6;205,2;275,9;295,3;86,4;584,1;574,3;987,7
"Friuli- Venezia
Giulia";-;153,2;112,5;113,7;90,3;175,5;83,8;570,9;365,8;1036,8;332,8;1340,8
Lazio;48,5;131,9;61,6;123,7;434,8;163,8;147,4;286,1;206,3;571,6;255,3;799,7
Liguria;-;101,1;336,7;116,9;0;95,8;94,7;140;391,2;594,8;0;902,2
Lombardia;62,3;98,8;96,8;75,6;152,1;82,3;141,6;140,9;248,2;416,5;304,5;723
Marche;156,3;156;0;141,9;0;96,8;0;198,3;0;483,1;0;832,7
Molise;-;75,6;0;43,2;0;37,8;0;151,2;-;302,4;-;367,2
Piemonte;-;104,8;-;82,5;148,3;97;44,7;148,9;258,5;330,4;501,6;702,3
P.A. Bolzano;-;357,2;0;274,6;0;223,2;234,2;576;0;1370,7;742,1;2109,6
P.A. Trento;160,3;100;0;100;759,9;114;226,8;211,7;532,9;283,8;1879,7;686,2
Puglia;434,8;70,7;53,9;63,7;0;100,3;175,4;156,5;237,8;165;-;212,8
Sardegna;-;66,2;-;59,2;-;30,6;0;54,3;78,4;186,6;0;305,1
Sicilia;286,5;240,6;370,8;172,4;406,8;164,4;167,5;181,7;178,4;292,2;399,8;453,4
Toscana;-;199,9;0;158,7;162,2;155,2;229,5;302,5;147,9;382,5;347,6;549,8
Umbria;-;182,6;-;108,6;0;164,5;377,8;282,9;124,1;301;984,8;389,8
"Valle
d'Aosta";0;54,4;0;272,1;0;119,7;0;87,1;869,6;1055,8;4210,5;1284,4
Veneto;0;207,2;0;170,5;90,6;207,7;59;321,4;96,6;687,3;382;1309,7
Italia;80;147,2;60;122,3;173,9;136,5;139,3;233,3;193,5;449,7;396,1;715,7
