Regione;Sessione 1;Sessione 2;Sessione 3;Sessione 4;Sessione 5;Sessione 6;Sessione 7
Abruzzo;-;64,4%;51,0%;59,4%;75,7%;71,1%;74,5%
Basilicata;-;-;89,5%;85,2%;90,4%;91,8%;-
Calabria;54,9%;81,7%;68,8%;72,8%;66,8%;69,8%;70,0%
Campania;7,0%;11,6%;18,5%;36,3%;54,8%;-;-
"Emilia-
Romagna";-;56,3%;51,2%;57,6%;70,2%;84,4%;-
"Friuli- Venezia
Giulia";-;52,6%;52,6%;50,6%;39,8%;37,8%;40,0%
Lazio;49,7%;52,6%;52,0%;58,4%;60,6%;74,5%;-
Liguria;-;91,4%;90,7%;51,1%;48,4%;45,5%;42,5%
Lombardia;53,0%;56,8%;55,9%;54,0%;46,3%;47,1%;47,0%
Marche;46,7%;46,2%;23,4%;49,2%;49,2%;50,8%;-
Molise;-;100,0%;86,0%;86,2%;-;-;-
Piemonte;-;-;50,1%;44,0%;52,9%;51,5%;-
"P.A.
Bolzano";-;87,6%;89,9%;100,0%;98,8%;84,0%;60,3%
P.A. Trento;66,5%;64,5%;64,8%;47,0%;55,8%;52,4%;48,0%
Puglia;52,8%;79,5%;82,2%;76,8%;96,8%;92,6%;-
Sardegna;-;-;-;85,2%;79,1%;90,7%;93,7%
Sicilia;100,0%;55,1%;60,8%;33,9%;30,7%;34,2%;31,8%
Toscana;-;45,1%;100,0%;100,0%;99,9%;87,1%;82,4%
Umbria;-;-;94,2%;87,1%;82,5%;96,6%;100,0%
"Valle
d’Aosta";88,8%;77,6%;90,4%;91,3%;92,7%;87,2%;67,5%
Veneto;86,1%;69,9%;78,0%;68,9%;67,1%;67,0%;57,3%
Italia;45.6%;54,0%;58.2%;56.5%;56,1%;60,0%;51,3%
