Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2008-42;13-19 ottobre 2008;846;309;1.098.775;0,28;66.354;25;0,38;133.471;41;0,31;681.075;181;0,27;217.875;62;0,28
2008-43;20-26 ottobre 2008;859;302;1.120.921;0,27;67.414;22;0,33;136.870;55;0,40;694.467;171;0,25;222.170;54;0,24
2008-44;27 ottobre-2 novembre 2008;895;380;1.169.369;0,32;68.825;48;0,70;140.717;33;0,23;727.582;217;0,30;232.245;82;0,35
2008-45;3-9 novembre 2008;913;510;1.187.706;0,43;73.275;78;1,06;148.402;84;0,57;731.950;256;0,35;234.079;92;0,39
2008-46;10-16 novembre 2008;901;566;1.170.373;0,48;71.818;82;1,14;146.304;95;0,65;721.281;290;0,40;230.970;99;0,43
2008-47;17-23 novembre 2008;923;740;1.199.961;0,62;72.644;121;1,67;148.447;130;0,88;741.688;382;0,52;237.182;107;0,45
2008-48;24-30 novembre 2008;932;930;1.215.980;0,76;72.512;113;1,56;147.952;165;1,12;753.992;520;0,69;241.524;132;0,55
2008-49;1-7 dicembre 2008;930;1.078;1.212.677;0,89;73.370;154;2,10;148.309;209;1,41;750.832;578;0,77;240.166;137;0,57
2008-50;8-14 dicembre 2008;937;1.400;1.220.694;1,15;74.578;208;2,79;151.008;253;1,68;753.406;764;1,01;241.702;175;0,72
2008-51;15-21 dicembre 2008;926;1.886;1.207.894;1,56;72.835;271;3,72;147.440;395;2,68;746.537;1.037;1,39;241.082;183;0,76
2008-52;22-28 dicembre 2008;899;2.350;1.174.447;2,00;70.511;337;4,78;142.975;521;3,64;726.209;1.254;1,73;234.752;238;1,01
2009-01;29 dicembre 2008-4 gennaio 2009;921;3.823;1.202.722;3,18;70.053;411;5,87;142.085;606;4,27;749.814;2.309;3,08;240.770;497;2,06
2009-02;5-11 gennaio 2009;948;5.446;1.236.473;4,40;73.961;542;7,33;150.693;847;5,62;766.539;3.492;4,56;245.280;565;2,30
2009-03;12-18 gennaio 2009;948;7.748;1.233.964;6,28;74.537;1.166;15,64;151.844;1.654;10,89;762.573;4.193;5,50;245.010;735;3,00
2009-04;19-25 gennaio 2009;939;10.061;1.222.667;8,23;74.794;1.801;24,08;152.162;2.745;18,04;753.387;4.697;6,23;242.324;818;3,38
2009-05;26 gennaio-1 febbraio 2009;941;9.375;1.227.083;7,64;73.717;1.739;23,59;150.592;2.571;17,07;759.146;4.331;5,71;243.628;734;3,01
2009-06;2-8 febbraio 2009;928;8.012;1.205.860;6,64;72.099;1.444;20,03;147.780;1.999;13,53;746.579;3.872;5,19;239.402;697;2,91
2009-07;9-15 febbraio 2009;937;6.265;1.220.852;5,13;73.874;1.117;15,12;149.484;1.580;10,57;755.383;2.999;3,97;242.111;569;2,35
2009-08;16-22 febbraio 2009;915;4.973;1.193.113;4,17;72.401;817;11,28;145.999;1.156;7,92;737.263;2.543;3,45;237.450;457;1,92
2009-09;23 febbraio-1 marzo 2009;905;4.405;1.178.157;3,74;71.484;715;10,00;143.093;1.073;7,50;730.661;2.197;3,01;232.919;420;1,80
2009-10;2-8 marzo 2009;900;3.417;1.174.522;2,91;69.990;552;7,89;143.323;880;6,14;727.978;1.727;2,37;233.231;258;1,11
2009-11;9-15 marzo 2009;891;2.502;1.162.785;2,15;70.310;418;5,95;142.762;644;4,51;720.057;1.220;1,69;229.656;220;0,96
2009-12;16-22 marzo 2009;884;1.984;1.148.544;1,73;70.421;324;4,60;143.121;533;3,72;708.188;973;1,37;226.814;154;0,68
2009-13;23-29 marzo 2009;866;1.607;1.118.649;1,44;70.260;276;3,93;139.740;461;3,30;686.782;723;1,05;221.867;147;0,66
2009-14;30 marzo-5 aprile 2009;853;1.293;1.116.091;1,16;65.395;209;3,20;131.913;344;2,61;695.416;629;0,90;223.367;111;0,50
2009-15;6-12 aprile 2009;810;803;1.058.547;0,76;63.609;149;2,34;126.864;214;1,69;655.550;352;0,54;212.524;88;0,41
2009-16;13-19 aprile 2009;799;609;1.043.951;0,58;62.603;115;1,84;125.222;138;1,10;647.778;278;0,43;208.348;78;0,37
2009-17;20-26 aprile 2009;803;521;1.062.890;0,49;63.174;84;1,33;127.415;113;0,89;660.151;248;0,38;212.150;76;0,36
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
