Settimana n.;Settimana;Virus;N.;N. campioni
2012-46;12-18 novembre 2012;FLU A;;1
2012-46;12-18 novembre 2012;A;;1
2012-46;12-18 novembre 2012;A(H3N2) ;;1
2012-46;12-18 novembre 2012;A(H1N1) pdm09 ;;1
2012-46;12-18 novembre 2012;FLU B;;1
2012-47;19-25 novembre 2012;FLU A;;52
2012-47;19-25 novembre 2012;A;;52
2012-47;19-25 novembre 2012;A(H3N2);;52
2012-47;19-25 novembre 2012;A(H1N1) pdm09 ;;52
2012-47;19-25 novembre 2012;FLU B;;52
2012-48;26 novembre-2 dicembre 2012;FLU A;;
2012-48;26 novembre-2 dicembre 2012;A;;
2012-48;26 novembre-2 dicembre 2012;A(H3N2);;
2012-48;26 novembre-2 dicembre 2012;A(H1N1) pdm09 ;;
2012-48;26 novembre-2 dicembre 2012;FLU B;;
2012-49;3-9 dicembre 2012;FLU A;;55
2012-49;3-9 dicembre 2012;A;;55
2012-49;3-9 dicembre 2012;A(H3N2);;55
2012-49;3-9 dicembre 2012;A(H1N1) pdm09 ;;55
2012-49;3-9 dicembre 2012;FLU B;;55
2012-50;10-16 dicembre 2012;FLU A;;70
2012-50;10-16 dicembre 2012;A;;70
2012-50;10-16 dicembre 2012;A(H3N2);;70
2012-50;10-16 dicembre 2012;A(H1N1) pdm09 ;;70
2012-50;10-16 dicembre 2012;FLU B;;70
2012-51;17-23 dicembre 2012;FLU A;;68
2012-51;17-23 dicembre 2012;A;;68
2012-51;17-23 dicembre 2012;A(H3N2);;68
2012-51;17-23 dicembre 2012;A(H1N1) pdm09 ;;68
2012-51;17-23 dicembre 2012;FLU B;;68
2012-52;24-30 dicembre 2012;FLU A;;20
2012-52;24-30 dicembre 2012;A;;20
2012-52;24-30 dicembre 2012;A(H3N2);;20
2012-52;24-30 dicembre 2012;A(H1N1) pdm09 ;;20
2012-52;24-30 dicembre 2012;FLU B;;20
2013-01;31 dicembre 2012-6 gennaio 2013;FLU A;;57
2013-01;31 dicembre 2012-6 gennaio 2013;A;;57
2013-01;31 dicembre 2012-6 gennaio 2013;A(H3N2);;57
2013-01;31 dicembre 2012-6 gennaio 2013;A(H1N1) pdm09 ;;57
2013-01;31 dicembre 2012-6 gennaio 2013;FLU B;;57
2013-02;7-13 gennaio 2013;FLU A;;195
2013-02;7-13 gennaio 2013;A;;195
2013-02;7-13 gennaio 2013;A(H3N2);;195
2013-02;7-13 gennaio 2013;A(H1N1) pdm09 ;;195
2013-02;7-13 gennaio 2013;FLU B;;195
2013-03;14-20 gennaio 2013;FLU A;;267
2013-03;14-20 gennaio 2013;A;;267
2013-03;14-20 gennaio 2013;A(H3N2);;267
2013-03;14-20 gennaio 2013;A(H1N1) pdm09 ;;267
2013-03;14-20 gennaio 2013;FLU B;;267
2013-04;21-27 gennaio 2013;FLU A;;297
2013-04;21-27 gennaio 2013;A;;297
2013-04;21-27 gennaio 2013;A(H3N2);;297
2013-04;21-27 gennaio 2013;A(H1N1) pdm09 ;;297
2013-04;21-27 gennaio 2013;FLU B;;297
2013-05;28 gennaio-3 febbraio 2013;FLU A;;
2013-05;28 gennaio-3 febbraio 2013;A;;
2013-05;28 gennaio-3 febbraio 2013;A(H3N2);;
2013-05;28 gennaio-3 febbraio 2013;A(H1N1) pdm09 ;;
2013-05;28 gennaio-3 febbraio 2013;FLU B;;
2013-06;4-10 febbraio 2013;FLU A;;
2013-06;4-10 febbraio 2013;A;;
2013-06;4-10 febbraio 2013;A(H3N2);;
2013-06;4-10 febbraio 2013;A(H1N1) pdm09 ;;
2013-06;4-10 febbraio 2013;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
;;FLU A;;
;;A;;
;;A(H3N2);;
;;A(H1N1) pdm09 ;;
;;FLU B;;
