Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2014-42;14-20 ottobre 2013;888;415;1.170.185;0,35;<2;74.573;47;0,63;145.915;62;0,42;695.899;242;0,35;253.798;64;0,25
2014-43;21-27 ottobre 2013;937;596;1.239.826;0,48;<2;78.908;96;1,22;153.934;94;0,61;734.837;336;0,46;272.147;70;0,26
2014-44;28 ottobre-3 novembre 2013;963;832;1.277.547;0,65;<2;79.503;116;1,46;156.795;103;0,66;759.059;465;0,61;282.190;148;0,52
2014-45;4-10 novembre 2013;980;1.040;1.289.699;0,81;<2;82.303;164;1,99;162.922;137;0,84;761.019;584;0,77;283.455;155;0,55
2014-46;11-17 novembre 2013;986;1.091;1.288.281;0,85;<2;85.109;182;2,14;166.985;174;1,04;751.812;622;0,83;284.375;113;0,4
2014-47;18-24 novembre 2013;1.001;1.348;1.305.350;1,03;<2;84.956;268;3,15;167.955;243;1,45;763.201;702;0,92;289.238;135;0,47
2014-48;25 novembre-1 dicembre 2013;1.001;1.605;1.302.857;1,23;<2;80.535;294;3,65;165.252;263;1,59;769.432;911;1,18;287.638;137;0,48
2014-49;2-8 dicembre 2013;1.013;1.885;1.326.715;1,42;<2;84.651;376;4,44;169.391;302;1,78;777.298;1.039;1,34;295.375;168;0,57
2014-50;9-15 dicembre 2013;1.019;2.326;1.330.494;1,75;<2;85.905;472;5,49;171.167;463;2,7;777.980;1.187;1,53;295.442;204;0,69
2014-51;16-22 dicembre 2013;1.002;2.942;1.308.574;2,25;<5;84.819;586;6,91;169.442;596;3,52;764.460;1.507;1,97;289.853;253;0,87
2014-52;23-29 dicembre 2013;978;3.369;1.280.676;2,63;<5;81.089;581;7,16;161.547;671;4,15;752.718;1.790;2,38;285.322;327;1,15
2015-01;30 dicembre 2013-5 gennaio 2014;968;5.181;1.265.357;4,09;<5;79.512;733;9,22;158.177;878;5,55;745.634;2.921;3,92;282.034;649;2,3
2015-02;6-12 gennaio 2014;1.032;8.292;1.349.399;6,14;<9;85.988;963;11,2;171.904;1.261;7,34;791.941;5.157;6,51;299.566;911;3,04
2015-03;13-19 gennaio 2014;1.034;12.096;1.352.350;8,94;<9;88.072;2.021;22,95;174.219;2.522;14,48;791.161;6.393;8,08;298.898;1.160;3,88
2015-04;20-26 gennaio 2014;1.026;14.601;1.343.495;10,87;>=9;86.822;2.493;28,71;172.726;3.614;20,92;785.556;7.329;9,33;298.391;1.165;3,9
2015-05;27 gennaio-2 febbraio 2014;1.029;14.253;1.346.764;10,58;>=9;88.634;2.347;26,48;174.831;3.572;20,43;785.336;7.139;9,09;297.963;1.195;4,01
2015-06;3-9 febbraio 2014;1.016;13.289;1.331.269;9,98;>=9;83.769;1.894;22,61;169.467;2.951;17,41;781.917;7.214;9,23;296.116;1.230;4,15
2015-07;10-16 febbraio 2014;1.020;10.971;1.335.114;8,22;<9;87.453;1.625;18,58;171.865;2.420;14,08;780.665;5.859;7,51;295.131;1.067;3,62
2015-08;17-23 febbraio 2014;1.004;9.059;1.313.972;6,89;<9;85.746;1.317;15,36;170.018;1.965;11,56;767.459;4.877;6,35;290.749;900;3,1
2015-09;24 febbraio-2 marzo 2014;985;7.079;1.293.391;5,47;<9;83.723;972;11,61;164.131;1.492;9,09;758.336;3.921;5,17;287.201;694;2,42
2015-10;3-9 marzo 2014;972;5.541;1.273.824;4,35;<5;82.251;804;9,77;161.082;1.129;7,01;747.037;3.094;4,14;283.454;514;1,81
2015-11;10-16 marzo 2014;954;4.669;1.252.074;3,73;<5;76.480;585;7,65;155.967;927;5,94;738.369;2.715;3,68;281.258;442;1,57
2015-12;17-23 marzo 2014;943;3.974;1.238.646;3,21;<5;75.111;491;6,54;155.408;791;5,09;730.815;2.305;3,15;277.312;387;1,4
2015-13;24-30 marzo 2014;924;2.974;1.217.884;2,44;<5;72.428;380;5,25;150.092;560;3,73;721.605;1.731;2,4;273.759;303;1,11
2015-14;31 marzo-6 aprile 2014;857;2.148;1.128.669;1,9;<2;66.564;284;4,27;136.265;390;2,86;670.746;1.233;1,84;255.094;241;0,94
2015-15;7-13 aprile 2014;812;1.589;1.071.439;1,48;<2;63.670;214;3,36;132.772;250;1,88;632.724;937;1,48;242.273;188;0,78
2015-16;14-20 aprile 2014;761;1.148;1.001.441;1,15;<2;60.173;169;2,81;123.248;178;1,44;592.402;658;1,11;225.618;143;0,63
2015-17;21-27 aprile 2014;639;631;842.408;0,75;<2;49.829;92;1,85;102.411;122;1,19;498.642;330;0,66;191.526;87;0,45
