Settimana n.;Settimana;Virus;N.;N. campioni;N. campioni analizzati
2016-46;14-20 novembre 2016;FLU A;12;184;184
2016-46;14-20 novembre 2016;A;;184;184
2016-46;14-20 novembre 2016;A(H3N2) ;12;184;184
2016-46;14-20 novembre 2016;A(H1N1) pdm09 ;;184;184
2016-46;14-20 novembre 2016;FLU B;0;184;184
2016-47;21-27 novembre 2016;FLU A;22;182;182
2016-47;21-27 novembre 2016;A;;182;182
2016-47;21-27 novembre 2016;A(H3N2);21;182;182
2016-47;21-27 novembre 2016;A(H1N1) pdm09 ;1;182;182
2016-47;21-27 novembre 2016;FLU B;2;182;182
2016-48;28 novembre-4 dicembre 2016;FLU A;51;233;233
2016-48;28 novembre-4 dicembre 2016;A;;233;233
2016-48;28 novembre-4 dicembre 2016;A(H3N2);51;233;233
2016-48;28 novembre-4 dicembre 2016;A(H1N1) pdm09 ;;233;233
2016-48;28 novembre-4 dicembre 2016;FLU B;0;233;233
2016-49;5-11 dicembre 2016;FLU A;82;199;199
2016-49;5-11 dicembre 2016;A;1;199;199
2016-49;5-11 dicembre 2016;A(H3N2);78;199;199
2016-49;5-11 dicembre 2016;A(H1N1) pdm09 ;3;199;199
2016-49;5-11 dicembre 2016;FLU B;0;199;199
2016-50;12-18 dicembre 2016;FLU A;156;410;410
2016-50;12-18 dicembre 2016;A;6;410;410
2016-50;12-18 dicembre 2016;A(H3N2);150;410;410
2016-50;12-18 dicembre 2016;A(H1N1) pdm09 ;;410;410
2016-50;12-18 dicembre 2016;FLU B;1;410;410
2016-51;19-25 dicembre 2016;FLU A;273;521;521
2016-51;19-25 dicembre 2016;A;18;521;521
2016-51;19-25 dicembre 2016;A(H3N2);247;521;521
2016-51;19-25 dicembre 2016;A(H1N1) pdm09 ;8;521;521
2016-51;19-25 dicembre 2016;FLU B;0;521;521
2016-52;26 dicembre 2016-1 gennaio 2017;FLU A;363;568;568
2016-52;26 dicembre 2016-1 gennaio 2017;A;21;568;568
2016-52;26 dicembre 2016-1 gennaio 2017;A(H3N2);337;568;568
2016-52;26 dicembre 2016-1 gennaio 2017;A(H1N1) pdm09 ;5;568;568
2016-52;26 dicembre 2016-1 gennaio 2017;FLU B;0;568;568
2017-01;2-8 gennaio 2017;FLU A;409;648;648
2017-01;2-8 gennaio 2017;A;17;648;648
2017-01;2-8 gennaio 2017;A(H3N2);389;648;648
2017-01;2-8 gennaio 2017;A(H1N1) pdm09 ;3;648;648
2017-01;2-8 gennaio 2017;FLU B;2;648;648
2017-02;9-15 gennaio 2017;FLU A;443;834;834
2017-02;9-15 gennaio 2017;A;27;834;834
2017-02;9-15 gennaio 2017;A(H3N2);411;834;834
2017-02;9-15 gennaio 2017;A(H1N1) pdm09 ;5;834;834
2017-02;9-15 gennaio 2017;FLU B;9;834;834
2017-03;16-22 gennaio 2017;FLU A;439;810;810
2017-03;16-22 gennaio 2017;A;24;810;810
2017-03;16-22 gennaio 2017;A(H3N2);407;810;810
2017-03;16-22 gennaio 2017;A(H1N1) pdm09 ;8;810;810
2017-03;16-22 gennaio 2017;FLU B;3;810;810
2017-04;23-29 gennaio 2017;FLU A;383;848;848
2017-04;23-29 gennaio 2017;A;27;848;848
2017-04;23-29 gennaio 2017;A(H3N2);355;848;848
2017-04;23-29 gennaio 2017;A(H1N1) pdm09 ;1;848;848
2017-04;23-29 gennaio 2017;FLU B;10;848;848
2017-05;30 gennaio-5 febbraio 2017;FLU A;332;638;638
2017-05;30 gennaio-5 febbraio 2017;A;32;638;638
2017-05;30 gennaio-5 febbraio 2017;A(H3N2);299;638;638
2017-05;30 gennaio-5 febbraio 2017;A(H1N1) pdm09 ;1;638;638
2017-05;30 gennaio-5 febbraio 2017;FLU B;13;638;638
2017-06;6-12 febbraio 2017;FLU A;176;615;615
2017-06;6-12 febbraio 2017;A;5;615;615
2017-06;6-12 febbraio 2017;A(H3N2);169;615;615
2017-06;6-12 febbraio 2017;A(H1N1) pdm09 ;2;615;615
2017-06;6-12 febbraio 2017;FLU B;14;615;615
2017-07;13-19 febbraio 2017;FLU A;98;486;486
2017-07;13-19 febbraio 2017;A;1;486;486
2017-07;13-19 febbraio 2017;A(H3N2);93;486;486
2017-07;13-19 febbraio 2017;A(H1N1) pdm09 ;4;486;486
2017-07;13-19 febbraio 2017;FLU B;27;486;486
2017-08;20-26 febbraio 2017;FLU A;52;506;506
2017-08;20-26 febbraio 2017;A;2;506;506
2017-08;20-26 febbraio 2017;A(H3N2);50;506;506
2017-08;20-26 febbraio 2017;A(H1N1) pdm09 ;;506;506
2017-08;20-26 febbraio 2017;FLU B;18;506;506
2017-09;27 febbraio-5 marzo 2017;FLU A;18;343;343
2017-09;27 febbraio-5 marzo 2017;A;4;343;343
2017-09;27 febbraio-5 marzo 2017;A(H3N2);13;343;343
