Settimana n.;Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Assistiti (0-4 anni);Casi (0-4 anni);Inc (0-4 anni);Assistiti (5-14 anni);Casi (5-14 anni);Inc (5-14 anni);Assistiti (15-64 anni);Casi (15-64 anni);Inc (15-64 anni);Assistiti (65 anni e oltre);Casi (65 anni e oltre);Inc (65 anni e oltre)
2018-42;15-21 ottobre 2018;1.072;1.088;1.383.696;0,79;<2,74 ;79.199;100;1,26;184.077;117;0,64;808.992;691;0,85;311.428;180;0,58
2018-43;22-28 ottobre 2018;1.078;1.319;1.393.870;0,95;<2,74 ;78.586;155;1,97;184.646;148;0,80;816.245;855;1,05;314.393;161;0,51
2018-44;29 ottobre-4 novembre 2018;1.089;1.421;1.409.120;1,01;<2,74 ;79.391;134;1,69;188.167;163;0,87;823.678;909;1,10;317.884;215;0,68
2018-45;5-11 novembre 2018;1.089;2.073;1.408.965;1,47;<2,74 ;79.862;235;2,94;189.535;249;1,31;822.265;1.266;1,54;317.303;323;1,02
2018-46;12-18 novembre 2018;1.101;2.529;1.425.042;1,77;<2,74 ;81.136;329;4,05;192.038;355;1,85;830.910;1.499;1,80;320.958;346;1,08
2018-47;19-25 novembre 2018;1.102;3.031;1.426.304;2,13;<2,74 ;81.422;355;4,36;192.999;405;2,10;830.976;1.894;2,28;320.907;377;1,17
2018-48;26 novembre-2 dicembre 2018;1.104;3.405;1.430.097;2,38;<2,74 ;80.921;473;5,85;191.495;523;2,73;835.130;2.014;2,41;322.551;395;1,22
2018-49;3-9 dicembre 2018;1.101;3.922;1.425.673;2,75;<8,41 ;80.752;543;6,72;191.552;618;3,23;831.948;2.280;2,74;321.421;481;1,50
2018-50;10-16 dicembre 2018;1.104;4.723;1.428.727;3,31;<8,41 ;81.988;710;8,66;192.867;732;3,80;832.414;2.698;3,24;321.458;583;1,81
2018-51;17-23 dicembre 2018;1.096;5.266;1.418.940;3,71;<8,41 ;80.031;785;9,81;189.557;833;4,39;829.301;3.044;3,67;320.051;604;1,89
2018-52;24-30 dicembre 2018;1.070;5.897;1.384.353;4,26;<8,41 ;78.669;780;9,91;185.784;927;4,99;808.162;3.395;4,20;311.738;795;2,55
2019-01;31 dicembre 2018-6 gennaio 2019;1.088;8.041;1.405.198;5,72;<8,41 ;81.056;969;11,95;191.122;1.089;5,70;817.823;4.973;6,08;315.197;1.010;3,20
2019-02;7-13 gennaio 2019;1.105;10.907;1.430.734;7,62;<8,41 ;81.877;1.364;16,66;193.566;1.680;8,68;833.570;6.608;7,93;321.721;1.255;3,90
2019-03;14-20 gennaio 2019;1.099;14.269;1.421.136;10,04;<12,89 ;81.747;2.385;29,18;192.189;2.750;14,31;827.210;7.712;9,32;319.990;1.422;4,44
2019-04;21-27 gennaio 2019;1.098;17.714;1.421.086;12,47;<12,89 ;81.561;3.016;36,98;192.093;3.686;19,19;827.694;9.566;11,56;319.738;1.446;4,52
2019-05;28 gennaio-3 febbraio 2019;1.094;19.893;1.415.062;14,06;<15,56 ;81.383;3.386;41,61;192.175;4.521;23,53;823.332;10.320;12,53;318.172;1.666;5,24
2019-06;4-10 febbraio 2019;1.088;18.664;1.407.883;13,26;<15,56 ;80.781;3.095;38,31;190.698;4.262;22,35;819.698;9.649;11,77;316.706;1.658;5,24
2019-07;11-17 febbraio 2019;1.077;15.613;1.394.174;11,20;<12,89 ;79.960;2.530;31,64;188.052;3.502;18,62;812.485;8.123;10,00;313.677;1.458;4,65
2019-08;18-24 febbraio 2019;1.065;12.457;1.378.714;9,04;<12,89 ;79.089;2.121;26,82;185.438;2.826;15,24;804.225;6.356;7,90;309.962;1.154;3,72
2019-09;25 febbraio-3 marzo 2019;1.055;8.976;1.365.823;6,57;<8,41 ;77.493;1.541;19,89;182.504;1.987;10,89;798.341;4.577;5,73;307.485;871;2,83
2019-10;4-10 marzo 2019;1.035;6.424;1.342.497;4,79;<8,41 ;75.631;1.007;13,31;177.839;1.304;7,33;786.058;3.442;4,38;302.969;671;2,21
2019-11;11-17 marzo 2019;1.017;4.855;1.316.556;3,69;<8,41 ;75.074;831;11,07;175.906;990;5,63;768.483;2.542;3,31;297.093;492;1,66
2019-12;18-24 marzo 2019;992;3.745;1.285.491;2,91;<8,41 ;72.391;593;8,19;170.333;771;4,53;751.379;1.995;2,66;291.388;386;1,32
2019-13;25-31 marzo 2019;968;2.994;1.255.687;2,38;<2,74 ;70.522;450;6,38;166.940;535;3,20;733.217;1.676;2,29;285.008;333;1,17
2019-14;1-7 aprile 2019;914;2.318;1.183.747;1,96;<2,74 ;67.308;359;5,33;157.367;387;2,46;691.181;1.258;1,82;267.891;314;1,17
2019-15;8-14 aprile 2019;840;1.722;1.092.580;1,58;<2,74 ;57.370;286;4,99;135.367;311;2,30;648.819;929;1,43;251.024;196;0,78
2019-16;15-21 aprile 2019;740;1.223;962.102;1,27;<2,74 ;48.267;200;4,14;114.638;199;1,74;576.716;651;1,13;222.481;173;0,78
2019-17;22-28 aprile 2019;609;747;790.242;0,95;<2,74 ;41.375;82;1,98;97.181;102;1,05;472.534;473;1,00;179.152;90;0,50
