Settimana;N. medici sentinella;0_4;5_14;15_64;65 e oltre;Totale 
2020-49;698;3,42;1,53;1,9;1,39;1,93
2020-50;643;3,71;1,37;1,83;1,37;1,88
2020-51;673;3,51;1,24;1,71;1,18;1,72
2020-52;663;3,03;1,12;1,46;1,25;1,53
2020-53;647;2,91;0,98;1,36;1,1;1,41
2021-01;718;2,24;0,9;1,43;1,17;1,43
2021-02;738;2,95;1,15;1,42;1,05;1,49
2021-03;752;3,89;1,54;1,4;1,03;1,48
2021-04;716;3,76;1,58;1,38;0,87;1,42
2021-05;750;4,5;2,15;1,62;0,81;1,68
2021-06;761;4,57;1,93;1,47;0,74;1,56
2021-07;868;4,86;2,16;1,61;0,8;1,67
2021-08;802;4,48;1,88;1,77;0,9;1,75
2021-09;639;4,57;1,93;1,86;1,02;1,86
2021-10;765;3,43;1,61;1,76;0,96;1,65
2021-11;636;3,03;1,22;1,62;0,93;1,49
2021-12;739;2,09;0,83;1,3;0,83;1,17
2021-13;671;1,76;0,75;1,22;0,79;1,09
2021-14;901;1,58;0,67;1,04;0,6;0,92
2021-15;723;1,78;0,76;0,98;0,63;0,92
2021-16;811;2,07;0,72;0,89;0,53;0,85
