Settimana n.;Settimana;Casi stimati in Italia
2020-42;12-18 ottobre 2020;80.300
2020-43;19-25 ottobre 2020;103.900
2020-44;26 ottobre-1 novembre 2020;116.400
2020-45;2-8 novembre 2020;122.700
2020-46;9-15 novembre 2020;116.200
2020-47;16-22 novembre 2020;110.900
2020-48;23-29 novembre 2020;101.100
2020-49;30 novembre-6 dicembre 2020 ;92.500
2020-50;7-13 dicembre 2020;83.800
2020-51;14-20 dicembre 2020;85.500
2020-52;21-27 dicembre 2020;75.200
2020-53;28 dicembre 2020- 3 gennaio 2021;76.500
2021-01;4-10 gennaio  2021;78.400
2021-02;11-17 gennaio  2021;81.100
2021-03;18-24 gennaio 2021;84.900
2021-04;25-31 gennaio 2021;84.900
2021-05;1-7 febbraio 2021;91.900
2021-06;8-14 febbraio 2021;89.500
2021-07;15-21 febbraio 2021;95.300
2021-08;22-28 febbraio 2021;99.000
2021-09;1-7 marzo 2021;97.300
2021-10;8-14 marzo 2021;93.700
2021-11;15-21 marzo 2021;84.000
2021-12;22-28 marzo 2021;69.600
2021-13;29 marzo-4 aprile 2021;59.500
2021-14;5-11 aprile 2021;54.200
2021-15;12-18 aprile 2021;51.600
2021-16;19-25 aprile 2021;51.200
;Totale;2.431.100
