Regione;Settimana;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;43;44;45;46;47;48;49;50;51;52;53;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Piemonte; <9,37; <9,37; <9,37; <9,37; <9,37; <9,37; <9,37;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16; <9,37;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
Valle d'Aosta;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16; <9,37;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16; <9,37;<3,16;<3,16;<3,16
Lombardia;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
P.A. Bolzano;;;;;;;;;;;;;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
P.A. Trento;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
Veneto;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
Friuli V. G.;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
Liguria;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
Emilia R.;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
Toscana;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16
