Regione;Data;43;44;45;46;47;48;49;50;51;52;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;
;18-24 ottobre 2021;25-31 ottobre 2021;1-7 novembre 2021;8-14 novembre 2021;15-21 novembre 2021;22-28 novembre 2021;29 novembre-5 dicembre 2021;6-12 dicembre 2021;13-19 dicembre 2021;20-26 dicembre 2021;27 dicembre 2021-2 gennaio 2022;3-9 gennaio 2022;10-16 gennaio 2022;17-23 gennaio 2022;24-30 gennaio 2022;31 gennaio-6 febbraio 2022;7-13 febbraio 2022;14-20 febbraio 2022;21-27 febbraio 2022;28 febbraio-6 marzo 2022;7-13 marzo 2022;14-20 marzo 2022;21-27 marzo 2022;28 marzo-3 aprile 2022;4-10 aprile 2022;11-17 aprile 2022;18-24 aprile 2022;25 aprile-1 maggio 2022;
Piemonte;<3,16;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<14,37 ;<9,37 ;<14,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;
Valle d'Aosta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lombardia;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;
P.A. Bolzano;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37 ;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37 ;<3,16;<9,37 ;<3,16;<3,16;<3,16;<3,16;<9,37 ;<9,37 ;
P.A. Trento;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37 ;<3,16;<3,16;<3,16;
Veneto;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;
Friuli V. G.;<3,16;<3,16;<3,16;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<3,16;<3,16;<3,16;<9,37 ;<9,37 ;<9,37 ;<3,16;<3,16;<3,16;<3,16;<9,37 ;<3,16;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<3,16;<9,37 ;
Liguria;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37 ;<9,37 ;<3,16;<3,16;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<3,16;<9,37 ;
Emilia R.;<3,16;<3,16;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<3,16;<3,16;<3,16;<3,16;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;<9,37 ;
