Settimana;Data;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;18-24 ottobre 2021;97.331;228.025;988.110;399.775;1.713.241
2021-43;25-31 ottobre 2021;97.292;228.185;993.696;401.451;1.720.624
2021-44;1-7 novembre 2021;97.099;228.271;997.531;402.242;1.725.143
2021-45;8-14 novembre 2021;96.862;227.900;1.013.525;409.297;1.747.584
2021-46;15-21 novembre 2021;96.706;227.388;1.011.179;406.651;1.741.924
2021-47;22-28 novembre 2021;97.382;229.234;1.018.487;410.101;1.755.204
2021-48;29 novembre-5 dicembre 2021;95.581;224.781;1.005.047;403.981;1.729.390
2021-49;6-12 dicembre 2021;94.239;222.056;1.006.490;405.956;1.728.741
2021-50;13-19 dicembre 2021;94.982;223.595;993.493;401.395;1.713.465
2021-51;20-26 dicembre 2021;94.416;221.978;977.407;394.810;1.688.611
2021-52;27 dicembre 2021-2 gennaio 2022;93.134;219.511;963.737;387.319;1.663.701
2022-01;3-9 gennaio 2022;92.480;217.416;961.187;387.028;1.658.111
2022-02;10-16 gennaio 2022;92.288;216.931;949.140;382.751;1.641.110
2022-03;17-23 gennaio 2022;92.297;216.688;945.885;380.840;1.635.710
2022-04;24-30 gennaio 2022;91.701;215.193;932.231;377.035;1.616.160
2022-05;31 gennaio-6 febbraio 2022;89.188;210.099;921.739;371.815;1.592.841
2022-06;7-13 febbraio 2022;88.831;209.442;916.907;369.471;1.584.651
2022-07;14-20 febbraio 2022;87.171;205.560;909.728;366.680;1.569.139
2022-08;21-27 febbraio 2022;87.149;206.049;899.514;362.978;1.555.690
2022-09;28 febbraio-6 marzo 2022;86.405;203.828;891.614;360.326;1.542.173
2022-10;7-13 marzo 2022;86.219;203.563;882.565;355.697;1.528.044
2022-11;14-20 marzo 2022;84.638;200.263;865.407;348.666;1.498.974
2022-12;21-27 marzo 2022;83.878;198.488;849.497;342.625;1.474.488
2022-13;28 marzo-3 aprile 2022;81.342;193.103;822.006;331.405;1.427.856
2022-14;4-10 aprile 2022;75.810;180.586;796.893;321.941;1.375.230
2022-15;11-17 aprile 2022;72.974;173.201;755.278;305.480;1.306.933
2022-16;18-24 aprile 2022;69.615;164.636;693.638;280.684;1.208.573
2022-17;25 aprile-1 maggio 2022;58.571;138.524;574.073;230.425;1.001.593
