Settimana;Casi stimati in Italia
2021 -42;148,400
2021 -43;17 1.7 00
2021 -44;192,800
2021 -45;227 .200
2021 -46;249,600
2021 -47;265,100
2021 -48;261 .400
2021 -49;245,200
2021 -50;263.7 00
2021 -51;281 .300
2021 -52;306,400
2022-01;292,300
2022-02;290,300
2022-03;27 1 .400
2022-04;226,000
2022-05;191.7 00
2022-06;166,600
2022-07;159,200
2022-08;166,400
2022-09;181,400
2022-10;232,900
2022-11;280,800
2022-12;308.7 00
2022-13;328,400
2022-14;272,900
2022-15;
2022-16;
2022-17;
Totale;5 .981.800
