Settimana;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-42;1.305;4.272;1.709.097;2,5;866;8,93;612;2,69;2.303;2,34;491;1,23
2021-43;1.310;4.966;1.716.480;2,89;1.168;12,05;697;3,06;2.576;2,6;525;1,31
2021-44;1.314;5.590;1.720.999;3,25;1.285;13,29;829;3,64;2.844;2,86;632;1,57
2021-45;1.329;6.673;1.743.440;3,83;1.605;16,63;1.053;4,63;3.243;3,21;772;1,89
2021-46;1.321;7.301;1.737.780;4,2;1.760;18,27;1.157;5,1;3.563;3,53;821;2,02
2021-47;1.333;7.820;1.752.060;4,46;1.697;17,43;1.252;5,46;3.907;3,85;964;2,35
2021-48;1.312;7.589;1.726.246;4,4;1.476;15,44;1.192;5,3;3.969;3,96;952;2,36
2021-49;1.311;7.120;1.725.597;4,13;1.266;13,43;1.065;4,8;3.852;3,84;937;2,31
2021-50;1.302;7.589;1.710.321;4,44;1.220;12,84;1.115;4,99;4.248;4,29;1.006;2,51
2021-51;1.284;7.972;1.685.467;4,73;1.031;10,92;1.077;4,85;4.822;4,95;1.042;2,64
2021-52;1.265;8.581;1.660.557;5,17;817;8,77;1.038;4,73;5.580;5,8;1.146;2,96
2022-01;1.260;8.138;1.654.967;4,92;704;7,61;992;4,56;5.344;5,57;1.098;2,84
2022-02;1.249;7.999;1.637.966;4,88;701;7,6;998;4,6;5.262;5,56;1.038;2,72
2022-03;1.242;7.442;1.630.333;4,56;751;8,14;1.024;4,73;4.753;5,05;914;2,41
2022-04;1.229;6.113;1.609.255;3,8;732;7,98;923;4,29;3.729;4,02;729;1,94
2022-05;1.210;5.114;1.585.936;3,22;652;7,31;801;3,82;3.090;3,37;571;1,54
2022-06;1.203;4.417;1.576.801;2,8;657;7,42;687;3,29;2.529;2,77;544;1,48
2022-07;1.186;4.161;1.555.402;2,68;738;8,54;669;3,29;2.259;2,5;495;1,36
2022-08;1.176;4.301;1.538.343;2,8;775;8,96;749;3,66;2.257;2,54;520;1,45
2022-09;1.157;4.631;1.515.616;3,06;817;9,72;820;4,12;2.498;2,85;496;1,4
2022-10;1.145;5.848;1.496.916;3,91;955;11,48;1.070;5,41;3.220;3,72;603;1,72
2022-11;1.113;6.868;1.456.408;4,72;1.133;13,94;1.290;6,65;3.782;4,49;663;1,95
2022-12;1.083;7.385;1.417.209;5,21;1.294;16,12;1.503;7,88;3.845;4,71;743;2,25
2022-13;1.030;7.309;1.347.608;5,42;1.308;16,98;1.507;8,17;3.762;4,87;732;2,34
2022-14;932;5.588;1.222.118;4,57;972;14,3;1.105;6,79;2.920;4,14;591;2,06
2022-15;751;4.038;990.519;4,08;767;13,61;784;5,77;2.029;3,57;458;1,99
