Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;51;396;72.328;5,48;115;28,45;76;8,45;169;4,04;36;2,06
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;175;1.287;236.448;5,44;396;22,56;181;4,60;595;4,63;115;2,26
P.A. di Bolzano;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
P. A. di Trento;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Veneto;18;22;24.813;0,89;5;3,52;-;-;15;1,10;2;0,33
Friuli V.G.;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Liguria;10;8;12.624;0,63;-;-;-;-;7;0,91;1;0,26
Emilia Romagna;44;208;53.748;3,87;68;25,14;22;3,34;105;3,32;13;1,01
Toscana;27;110;44.188;2,49;29;14,02;19;3,44;52;2,24;10;0,75
Umbria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Marche;7;26;8.487;3,06;-;-;2;2,34;23;4,27;1;0,50
Lazio;184;757;241.530;3,13;114;12,08;79;3,20;464;3,08;100;1,76
Abruzzo;35;112;38.525;2,91;23;6,56;25;3,30;53;2,66;11;1,47
Molise;10;8;7.461;1,07;-;-;1;2,02;5;1,08;2;0,95
Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Puglia;88;260;110.177;2,36;63;10,09;52;3,86;109;1,69;36;1,39
Basilicata;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;108;263;129.877;2,02;42;8,80;32;2,37;140;1,75;49;1,56
Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
