Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;92.788;218.232;951.899;386.074;1.648.993
2021-43;92.796;218.421;959.554;389.294;1.660.065
2021-44;92.603;218.415;963.560;390.482;1.665.060
2021-45;92.132;217.375;978.098;396.371;1.683.976
2021-46;90.714;214.126;969.627;391.469;1.665.936
2021-47;90.444;214.162;970.859;392.723;1.668.188
2021-48;87.171;206.489;945.199;381.574;1.620.433
2021-49;85.509;202.373;929.669;377.374;1.594.925
2021-50;84.803;199.888;894.683;364.038;1.543.412
2021-51;82.850;194.802;848.078;344.513;1.470.243
2021-52;80.043;188.364;794.053;322.064;1.384.524
2022-01;74.612;173.500;727.425;297.561;1.273.098
2022-02;55.588;129.711;556.771;227.643;969.713
2022-03;;;;;
2022-04;;;;;
2022-05;;;;;
2022-06;;;;;
2022-07;;;;;
2022-08;;;;;
2022-09;;;;;
2022-10;;;;;
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;
